subject,session,outer_fold,V_total,V_within,V_between,delta_trial,absolute_beta,beta_squared,SOURCE_WITHIN_CORRECTED_PROJECTED_VARIANCE,TOTAL_PROJECTED_VARIANCE,SYMMETRIC_TWO_COMPONENT_MIXTURE,UNORDERED_TWO_MEANS_SEPARATION
1,0,2,0.27226824236141117,0.21005125315867629,0.062216989202734864,0.24943333618972197,0.025679777241787112,0.00065945095918780732,0.16298951722588073,0.27226824236141117,0,0.16398854043412833
1,1,2,0.21350767249024771,0.14377134117108459,0.069736331319163125,0.26407637402683931,0.040345043749463044,0.0016277225551460872,0.094674331016071991,0.21350767249024771,0,0.14391269564026024
2,0,3,0.085091240149450534,0.040754522607627727,0.044336717541822827,0.21056285888499621,0.007652593296781654,5.8562184165947506e-05,0,0.085091240149450534,0.037919532137653277,0.057513986913914371
2,1,3,0.12183195957379388,0.073170049303199952,0.048661910270593932,0.22059444750626417,0.022697048937913741,0.00051515603049005125,0,0.12183195957379388,0.062173305784100061,0.084251935797835492
3,0,4,0.38991007909884184,0.14153343831423734,0.2483766407846045,0.49837399689851847,0.27631012863651339,0.076347287187126578,0.27716307625331044,0.38991007909884184,0.28589471854815129,0.30116801924805253
3,1,4,0.49153882212717165,0.16716706820647531,0.32437175392069634,0.56953643774625728,0.34439955414597256,0.11861105289594469,0.39251862756142319,0.49153882212717165,0.32729658850018278,0.36628546681336538
4,0,0,0.22759562002403172,0.21643788792803892,0.011157732095992714,0.10563016660023175,0.096753699677277788,0.0093612784012408641,0,0.22759562002403172,0,1.9599179267245175
4,1,0,0.020829182023175061,0.019303876174529,0.0015253058486460606,0.039055164173845955,0.16640360835599297,0.027690160873894691,0,0.020829182023175061,0.0082275861813088137,0.014521564737393019
5,0,5,0.18078972581969729,0.067961229218609948,0.1128284966010874,0.3358995334934054,0.11391541232677831,0.012976721165579914,0.06803182316784312,0.18078972581969729,0.10720140285561967,0.13013241194996358
5,1,5,0.2013381820840425,0.088771720027985584,0.11256646205605685,0.33550925777995583,0.11536204688588932,0.013308401861702126,0.098731022175084907,0.2013381820840425,0.13407527115734091,0.15282047040623359
6,0,5,0.11410912849010431,0.10968178581303656,0.0044273426770677594,0.066538279787410781,0.14800402562201129,0.021905191600320974,0.0013512258382501335,0.11410912849010431,0,0.070485663728737824
6,1,5,0.095383255835418873,0.079281963612556891,0.016101292222861972,0.1268908673737475,0.086332044063502242,0.0074532218321824925,0,0.095383255835418873,0.020253709304357447,0.059322899578149305
7,0,4,0.28467143752872259,0.28455105836189221,0.00012037916683040525,0.010971744019544261,0.20149771067185673,0.040601327405999289,0.17192443468319119,0.28467143752872259,0.20657155517249456,0.22178596006787676
7,1,4,0.43760424133683395,0.40340164578636184,0.034202595550472135,0.18493943752069794,0.034424447610701348,0.0011850425933019218,0.33858404677108545,0.43760424133683395,0.24910420129523,0.33574791126840542
8,0,2,0.20857481280630047,0.18425738179795786,0.024317431008342633,0.1559404726437067,0.062993233796770798,0.0039681475041746265,0.099296087670770042,0.20857481280630047,0,0.13954043355892545
8,1,2,0.24497283623711955,0.21863522497255294,0.02633761126456656,0.1622886664698634,0.057275978138901257,0.0032805376717678948,0.12613949476294384,0.24497283623711955,0,0.146182765515497
9,0,2,0.15538196514845373,0.087046010451980155,0.068335954696473605,0.26141146626816814,0.03898667670623783,0.0015199609605967073,0.046103240012923305,0.15538196514845373,0.0907769564287111,0.11071041656818149
9,1,2,0.11290207673356453,0.075257409489086269,0.037644667244478278,0.19402233697303584,0.026882540459909073,0.00072267098157864824,0,0.11290207673356453,0.012311050497575471,0.071435341222000098
10,0,0,0.20982418327197422,0.18181540475770486,0.028008778514269389,0.16735823407968126,0.038551866067766186,0.0014862463773069818,0,0.20982418327197422,0,0.14185647313009717
10,1,0,0.06374388026616068,0.057583588371878366,0.0061602918942823166,0.07848752699813083,0.13038075626712065,0.016999141604786321,0,0.06374388026616068,0,0.042729289520964366
11,0,0,0.059402613726497577,0.058983615461584114,0.00041899826491345051,-0.020469447108152447,0.22112582851266308,0.048896632035411676,0,0.059402613726497577,0.0224008756928488,0.039090634936031071
11,1,0,0.047246400440278433,0.046569482209396759,0.0006769182308816945,-0.02601765229381188,0.23019471580814035,0.052989607185990502,0,0.047246400440278433,0.01314702452228962,0.030512358383797126
12,0,3,0.071262273173849325,0.061988512172923532,0.009273761000925777,0.096300368643768841,0.10421105073131047,0.010859943094523764,0,0.071262273173849325,0.0133795925496418,0.049090288399046986
12,1,3,0.10932387561350262,0.094271450799602086,0.015052424813900563,0.12268832386947245,0.072491484922993774,0.005255015386340634,0,0.10932387561350262,0,0.077998059113813314
13,0,3,0.075018589162916011,0.067145269859579679,0.0078733193033363475,0.088731726588274773,0.11427912051805322,0.013059717386379734,0,0.075018589162916011,0.018431668944517855,0.049324055608187277
13,1,3,0.082092475846252885,0.079732397645101039,0.0023600782011518307,0.048580636071914811,0.14732265566011177,0.021703964870747862,0,0.082092475846252885,0,0.050261653786407914
14,0,2,0.057190134207690563,0.048809342749830925,0.0083807914578596168,0.091546662734692946,0.1249878112303674,0.015621952956157955,0,0.057190134207690563,0,0.036195457976788588
14,1,2,0.11751629116891538,0.098368614401821958,0.019147676767093426,0.13837513059467524,0.080097095354504141,0.0064155446842285293,0,0.11751629116891538,0.013433447175298893,0.071782083998682425
15,0,4,0.093578575973539996,0.088829577497122933,0.004748998476417049,-0.068912977561683186,0.27640175071634165,0.076397927799058671,0,0.093578575973539996,0,0.48962524443499372
15,1,4,0.069942253717294248,0.068347922304705641,0.0015943314125886083,0.039929079786398883,0.17204540551533803,0.029599621558937108,0,0.069942253717294248,0.031965964065930288,0.048149222112057764
16,0,1,0.27280695983633518,0.26207700381240906,0.010729956023926084,0.10358550103139957,0.094646871419125464,0.0089580302694284679,0.15860857523128435,0.27280695983633518,0,0.16228228173241316
16,1,1,0.10808749227664077,0.10805074295230113,3.6749324339617511e-05,-0.0060621220987058244,0.18706490293346617,0.034993277909507119,0,0.10808749227664077,0,0.054625261408681826
17,0,2,0.082460381841867963,0.046249267832776685,0.036211114009091279,0.19029218063044862,0.027801827145877374,0.000772941592649244,0,0.082460381841867963,0.02634941087220714,0.053738453223054872
17,1,2,0.13194213414779829,0.093649388833426522,0.03829274531437174,0.19568532217407555,0.023915886804823133,0.00057196964166111321,0.013108792673622569,0.13194213414779829,0.059335910504155674,0.090245414768674842
