omitted_subject,session,spearman,pearson
1,0,0.99766166747298823,0.99927502533358536
1,1,0.99169488792130289,0.99864357289184325
2,0,0.99774229962909211,0.99925564297361602
2,1,0.99185615223351076,0.99862718529993222
3,0,0.99766166747298823,0.99921817465619078
3,1,0.99169488792130289,0.99856976314885071
4,0,0.99774229962909211,0.99924714374412338
4,1,0.99185615223351076,0.99859790994096642
5,0,0.99766166747298823,0.99925299535931333
5,1,0.99177552007740677,0.998618369645903
6,0,0.99798419609740352,0.99924477089644315
6,1,0.99209804870182228,0.99861436750646937
7,0,0.99766166747298823,0.99923561472562639
7,1,0.99169488792130289,0.99863207424991851
8,0,0.99774229962909211,0.99926007427658581
8,1,0.9920174165457184,0.99863382339983597
9,0,0.99766166747298823,0.99926627824977832
9,1,0.99169488792130289,0.99863776922203551
10,0,0.99766166747298823,0.99924437394086618
10,1,0.99306563457506858,0.99860451672698292
11,0,0.99766166747298823,0.99923085904960263
11,1,0.99177552007740677,0.99858639804741067
12,0,0.99790356394129975,0.9992522254127949
12,1,0.99225931301402992,0.99862805827518097
13,0,0.99782293178519588,0.99924324336885784
13,1,0.9929850024189647,0.99861367802619638
14,0,0.99798419609740352,0.99925209229028511
14,1,0.99250120948234155,0.99863010025063392
15,0,0.99766166747298823,0.9992157725057178
15,1,0.9923399451701338,0.99860580695441781
16,0,0.99774229962909211,0.99926331033078042
16,1,0.99177552007740677,0.99868084546814839
17,0,0.99782293178519588,0.99925475592328561
17,1,0.99169488792130289,0.99863239019750605
18,0,0.99766166747298823,0.99920350737799324
18,1,0.99177552007740677,0.99860435834673456
19,0,0.99766166747298823,0.99925357070915588
19,1,0.99193678438961452,0.99863256463102679
20,0,0.99766166747298823,0.99924847112947224
20,1,0.9920174165457184,0.99862398957100629
21,0,0.99766166747298823,0.99920971342800646
21,1,0.99169488792130289,0.9984718080091971
22,0,0.99774229962909211,0.99924697053252087
22,1,0.99169488792130289,0.9986162881695011
23,0,0.99766166747298823,0.99923852428903726
23,1,0.99169488792130289,0.99861889093409983
24,0,0.99798419609740352,0.99924578373794215
24,1,0.99258184163844543,0.99860410823478829
25,0,0.99798419609740352,0.99925110349191248
25,1,0.99169488792130289,0.99861877668673305
26,0,0.99782293178519588,0.99923115341833846
26,1,0.99258184163844543,0.99861099006823084
27,0,0.99766166747298823,0.99924202155258435
27,1,0.99177552007740677,0.99859223051648005
28,0,0.99766166747298823,0.9992531527782812
28,1,0.99169488792130289,0.99862054787589583
29,0,0.99766166747298823,0.99925419493334433
29,1,0.99169488792130289,0.99864879072271673
30,0,0.99766166747298823,0.99927188165891323
30,1,0.99346879535558774,0.99869858724128346
31,0,0.99790356394129975,0.99924156537411579
31,1,0.99258184163844543,0.99859973216197118
32,0,0.99766166747298823,0.99914767901742552
32,1,0.99169488792130289,0.99856138045905418
33,0,0.99766166747298823,0.99923017581132056
33,1,0.99169488792130289,0.99862551590956739
34,0,0.99782293178519588,0.99923906271627916
34,1,0.99169488792130289,0.99858198003331466
35,0,0.99798419609740352,0.99923527174554416
35,1,0.99169488792130289,0.99859073729023939
36,0,0.99766166747298823,0.99895840615454512
36,1,0.99169488792130289,0.99782633136428656
37,0,0.99766166747298823,0.99919747676999382
37,1,0.99169488792130289,0.99858588445310392
38,0,0.99766166747298823,0.99928631104981203
38,1,0.99266247379454908,0.99869992146473729
39,0,0.99766166747298823,0.99924304112799622
39,1,0.99185615223351076,0.99861900848488139
40,0,0.99766166747298823,0.99924186532916881
40,1,0.99258184163844543,0.99861518976364583
41,0,0.99790356394129975,0.99924526029657867
41,1,0.99306563457506858,0.99862330045401171
42,0,0.99782293178519588,0.99925104438974355
42,1,0.99266247379454908,0.99862458811192656
43,0,0.99766166747298823,0.99924513991995567
43,1,0.99177552007740677,0.99861056316919938
44,0,0.99766166747298823,0.99923284142016877
44,1,0.99169488792130289,0.99854082962015078
45,0,0.99766166747298823,0.99923866676520001
45,1,0.99169488792130289,0.99858757004634091
46,0,0.99782293178519588,0.99924632669139646
46,1,0.99193678438961452,0.99860626074640435
47,0,0.99774229962909211,0.99924366214422011
47,1,0.99177552007740677,0.99862542027139256
48,0,0.99798419609740352,0.99924744910354724
48,1,0.99169488792130289,0.99859622812541415
49,0,0.99774229962909211,0.99927810669234118
49,1,0.9923399451701338,0.99870168918636781
50,0,0.99766166747298823,0.99923969529539303
50,1,0.99177552007740677,0.99860706064794735
51,0,0.99790356394129975,0.99927515767860742
51,1,0.99314626673117234,0.9987006879600977
52,0,0.99790356394129975,0.99928137709795184
52,1,0.99225931301402992,0.99869657318045935
53,0,0.99774229962909211,0.99923647929300674
53,1,0.99306563457506858,0.99861254000820288
54,0,0.99846798903402678,0.99928430257056133
54,1,0.99314626673117234,0.99869892613198141
