outer_fold,session,omitted_subject,absolute_cosine,principal_angle_degrees
0,0,1,0.99819980812607068,3.4384459454885219
0,1,1,0.99867953406571552,2.9447540780876751
0,0,2,0.99939148450363435,1.9989202922742391
0,1,2,0.9996807732956523,1.4477673935959585
0,0,3,0.99433802480916134,6.0999565007420751
0,1,3,0.99758065061777512,3.9863417058173298
0,0,5,0.99749124620455376,4.059359253702838
0,1,5,0.99708133961576118,4.3785982416969267
0,0,6,0.99993675799955684,0.64438098819078515
0,1,6,0.99923302034278827,2.2441780726759903
0,0,7,0.99992162075008406,0.71736637866280573
0,1,7,0.99966971763803814,1.4726253599234587
0,0,8,0.99998281433133318,0.33590886806986031
0,1,8,0.99989048436522643,0.84796837630134114
0,0,9,0.99962554994873121,1.568007480209213
0,1,9,0.99940090296884865,1.9833889913420861
0,0,12,0.99995349343461881,0.55258163476667965
0,1,12,0.99986750401746838,0.93270387389665455
0,0,13,0.99925457358283321,2.2124170751388359
0,1,13,0.99951053399931777,1.7927371213113401
0,0,14,0.99995228893496924,0.55969175933132531
0,1,14,0.99970124120056403,1.4005828238825335
0,0,15,0.99972625389920489,1.3406688193172596
0,1,15,0.99940277737531635,1.9802835175054456
0,0,16,0.9994717342530679,1.862442941906985
0,1,16,0.99990028640053263,0.80913024626141972
0,0,17,0.9998086716967195,1.1208155946934379
0,1,17,0.99996679526803833,0.46691606994164242
0,0,19,0.99919330733682266,2.3015524861165626
0,1,19,0.99752149265977752,4.0348043085283942
0,0,20,0.99998594482158187,0.30377800133421595
0,1,20,0.99968783656691806,1.4316601697779672
0,0,21,0.99496402086614022,5.7525714017319016
0,1,21,0.99692703510234948,4.4929098743326144
0,0,22,0.99988726855045085,0.86032839291357266
0,1,22,0.99934892875975734,2.0676425072571947
0,0,23,0.99757870756941314,3.987942803096745
0,1,23,0.99655011895711121,4.7606321449387501
0,0,24,0.99933148564722596,2.0951600065768603
0,1,24,0.99950201331002952,1.8082751838933162
0,0,25,0.9991366863700003,2.3809659155414495
0,1,25,0.99975209730894488,1.275813587602048
0,0,26,0.99974558817660064,1.2924551560927753
0,1,26,0.99855058134608221,3.0852262909578108
0,0,27,0.99924878490618707,2.2209918969656401
0,1,27,0.99854062025204926,3.0958122805813098
0,0,28,0.99785374368877844,3.7545347566373817
0,1,28,0.99801197439000555,3.613437879140784
0,0,29,0.99643877328080355,4.8368922309379911
0,1,29,0.99810269675205943,3.5299999149071866
0,0,30,0.99823466230348157,3.4049868435011188
0,1,30,0.99987828687669844,0.89394487482422536
0,0,32,0.99632038466056017,4.9166817760188097
0,1,32,0.99615436842935179,5.0264427887140366
0,0,33,0.99688274207968752,4.5251906449982622
0,1,33,0.99580981773252075,5.2469370275750835
0,0,34,0.99877780709030684,2.8330337789599942
0,1,34,0.99957096721051641,1.6784113248888826
0,0,35,0.99844124102323883,3.1995105277245304
0,1,35,0.99929724820204424,2.1481472590581441
0,0,36,0.99462455773412994,5.9434616785231746
0,1,36,0.99722561534211895,4.268953524983889
0,0,38,0.9989980268318801,2.5650860887536311
0,1,38,0.99990822360656473,0.77625863695683561
0,0,39,0.99971315239793945,1.3723776098712854
0,1,39,0.99833499748612664,3.3067803928782267
0,0,40,0.99934507929984417,2.0737466343397211
0,1,40,0.99886991360972188,2.7241709679997625
0,0,41,0.99951615212725553,1.7824180062885142
0,1,41,0.99839172628680739,3.2499436773080648
0,0,42,0.9997608017680939,1.2532140929135924
0,1,42,0.99951043637634518,1.7929159058255995
0,0,44,0.99424478066069921,6.1500277956133802
0,1,44,0.99633001417574474,4.9102401632341381
0,0,47,0.99996194947491823,0.49982656498459282
0,1,47,0.99920807926662281,2.2803796235407239
0,0,48,0.99953212373071409,1.7527503957974839
0,1,48,0.99973887685789309,1.3093922392939816
0,0,49,0.99991559488875836,0.74443204277158681
0,1,49,0.99994878092192829,0.57990300931140126
0,0,50,0.99866690341518627,2.9588074008235359
0,1,50,0.99930604070382345,2.1346650892439429
0,0,51,0.99977510934690761,1.2151544243036558
0,1,51,0.99911260353576503,2.4139518234766912
0,0,52,0.99995499761951878,0.54357190598310312
0,1,52,0.99998109878183217,0.35227612604993408
0,0,53,0.99963738927994261,1.5430182903315788
0,1,53,0.99897043014571041,2.6001763728211507
0,0,54,0.99974360450457089,1.2974842818661052
0,1,54,0.99950043596695481,1.8111369596365021
1,0,1,0.99855097877366672,3.0848031784183396
1,1,1,0.99910872059608369,2.4192281505469544
1,0,2,0.99930798459670811,2.1316728751017027
1,1,2,0.9997212790682346,1.3527966234220585
1,0,3,0.99512984797109216,5.6569886030995695
1,1,3,0.9981810696083524,3.4563007151759662
1,0,4,0.99915218161501862,2.3594986521851808
1,1,4,0.99956416651253421,1.6916624254928179
1,0,5,0.99773968711824323,3.8530420409830213
1,1,5,0.99766936776133841,3.9125408908228683
1,0,6,0.99993966768107767,0.62938273135542089
1,1,6,0.99933111119849349,2.0957467610989715
1,0,7,0.99995006646866091,0.57257921369587683
1,1,7,0.99944828469748259,1.903334476713902
1,0,8,0.99999653854241632,0.15075345098263174
1,1,8,0.99997438841714748,0.41006883743857947
1,0,9,0.99979163131596471,1.1696647345515478
1,1,9,0.99932516755106837,2.1050384593916496
1,0,10,0.99953304549870448,1.751022854002646
1,1,10,0.99991408040537744,0.75108112737933996
1,0,11,0.99897825682495223,2.5902726978999473
1,1,11,0.99853052779717011,3.1065011172237185
1,0,12,0.99997668843851284,0.39122279946145205
1,1,12,0.99960286510539242,1.6148085056034021
1,0,13,0.99919498228071146,2.2991615555509091
1,1,13,0.99973967106192052,1.3073993831447859
1,0,14,0.99994982499452323,0.57396202668353768
1,1,14,0.99962569530476664,1.5677030928865647
1,0,15,0.99965341761638027,1.5085281417663934
1,1,15,0.99910662225112978,2.4220747023960651
1,0,17,0.99973361079703338,1.322530148044337
1,1,17,0.99991914640667856,0.72860176562730317
1,0,18,0.99805439372413862,3.574666649045033
1,1,18,0.99620255787425127,4.994830349825655
1,0,19,0.99926939467652498,2.1903095232543803
1,1,19,0.99829232247931698,3.3489015716941664
1,0,20,0.99998389944171895,0.32513122519044557
1,1,20,0.99955286751832073,1.7134519254329934
1,0,21,0.99586780864319713,5.2104772634447629
1,1,21,0.9976966583975897,3.8895575532832636
1,0,22,0.99979045348008688,1.1729660456017295
1,1,22,0.9996349103146831,1.5482839999094251
1,0,23,0.99787543614064433,3.7355060616478957
1,1,23,0.99709744733128891,4.3664931942296965
1,0,24,0.99934981215139951,2.0662391614280873
1,1,24,0.99922409907364373,2.2571938079252196
1,0,25,0.99884391035606701,2.7553402398249278
1,1,25,0.99949506414382439,1.8208493354984052
1,0,26,0.99965012371139905,1.5156801013261305
1,1,26,0.99900536170261778,2.5556785185942927
1,0,27,0.99915350536200209,2.3576556628468248
1,1,27,0.99893102727675598,2.6494738474179962
1,0,28,0.99829150572950809,3.3497025621812573
1,1,28,0.99890279165306939,2.6842434308223138
1,0,31,0.99927089114262246,2.1880649441484268
1,1,31,0.99963306479984371,1.5521925649145496
1,0,32,0.99707746601222969,4.3815043000246936
1,1,32,0.99630126015352638,4.9294501144190699
1,0,33,0.99755574756493182,4.0068137791569649
1,1,33,0.99644758834771907,4.8308986143482722
1,0,34,0.99863375430431878,2.9953770092279881
1,1,34,0.99944499429520572,1.9090022584978013
1,0,35,0.99820476570690975,3.4337066626855015
1,1,35,0.99934371100575592,2.0759120299867129
1,0,37,0.99688992745534499,4.5199695745670789
1,1,37,0.99639502349841758,4.8665299904552946
1,0,39,0.99971965208674685,1.3567394112773432
1,1,39,0.99859150220418558,3.0413521194667092
1,0,40,0.99942614560580112,1.9411507169929996
1,1,40,0.99877793474538445,2.8328857932021556
1,0,41,0.99964443818336335,1.5279461816874018
1,1,41,0.99833891606579772,3.3028857713497981
1,0,42,0.99983946383064748,1.0266676749879187
1,1,42,0.99978860395230607,1.1781313505847
1,0,43,0.99993112892299818,0.67244777364944108
1,1,43,0.99975888264999335,1.2582315993590221
1,0,44,0.99613865538982771,5.0367078097345797
1,1,44,0.99712019018983455,4.3493445417929131
1,0,45,0.99559136256318248,5.3820720251864103
1,1,45,0.99924962017959962,2.2197566424658137
1,0,46,0.99973595738793375,1.31669200015835
1,1,46,0.99998849067073958,0.27489260323503695
1,0,47,0.99998442407803889,0.31979014450630572
1,1,47,0.99914997510395531,2.3625674778905901
1,0,48,0.99924291286164457,2.22965653661596
1,1,48,0.99962316105393378,1.573001583040361
1,0,50,0.99841171665884398,3.2296772123919864
1,1,50,0.99932898118730829,2.0990813321655311
1,0,53,0.99960610063159383,1.608216557781311
1,1,53,0.99919958405712572,2.2925798328451732
2,0,2,0.99951041615320613,1.7929529397988566
2,1,2,0.99984521222883427,1.0081184330822135
2,0,3,0.99531020144200211,5.5511709301368279
2,1,3,0.99806004016668504,3.569474088767441
2,0,4,0.99945152910753343,1.8977293494096841
2,1,4,0.9996083836655949,1.6035488820004082
2,0,5,0.99790523524720454,3.7092072526444793
2,1,5,0.99804982880094051,3.5788591261864866
2,0,6,0.99996548634191895,0.47603005715822605
2,1,6,0.99944828960899201,1.9033260039329751
2,0,7,0.99995445427018492,0.54684357187336741
2,1,7,0.9996296997261428,1.5592941493900851
2,0,10,0.99979510552452033,1.1598722827097732
2,1,10,0.99991711738103961,0.73768739513042325
2,0,11,0.99935070484177313,2.0648200752713666
2,1,11,0.99908323289421386,2.4535805812866793
2,0,12,0.99996431869569247,0.48401551411343641
2,1,12,0.9996143331131071,1.5913208940031243
2,0,13,0.99936522761238944,2.0415951226039284
2,1,13,0.99987276705751316,0.9139912132617245
2,0,15,0.99986848955975982,0.92922846634422596
2,1,15,0.99948634675316117,1.8365013019073584
2,0,16,0.99966291161497067,1.4877217929318594
2,1,16,0.99993741576215656,0.64102117975562378
2,0,18,0.99820351380998384,3.4349040510040245
2,1,18,0.99630936482763599,4.9240431200576955
2,0,20,0.99996695823498816,0.46576885542126029
2,1,20,0.99962308404172251,1.5731623171592748
2,0,21,0.99589976201668751,5.1902785581926674
2,1,21,0.99775158806131392,3.8428813691366872
2,0,22,0.99986501824567797,0.94141269315006249
2,1,22,0.9998568295930147,0.96954828311512387
2,0,23,0.99824698191365824,3.393081512600133
2,1,23,0.99718499078407974,4.3001090756770601
2,0,24,0.99948848025336945,1.8326829791214536
2,1,24,0.99941694017275529,1.9566596716710307
2,0,25,0.99938842958929752,2.0039320843907422
2,1,25,0.99966178057807187,1.4902157291159679
2,0,26,0.9998088767850204,1.1202147031341854
2,1,26,0.99928259731799574,2.1704265597728165
2,0,27,0.99943235795821483,1.9306140071314555
2,1,27,0.99923043322337002,2.2479603193328455
2,0,28,0.99836260726138237,3.2792410152422069
2,1,28,0.99921894306093317,2.2646821093172798
2,0,29,0.9966824416091834,4.66838921944513
2,1,29,0.9970988589707741,4.3654307418240137
2,0,30,0.99876051807730248,2.8530054242890825
2,1,30,0.99995458674532989,0.54604770709072525
2,0,31,0.99944845370632351,1.9030429000871114
2,1,31,0.99971503946531293,1.367855756162754
2,0,32,0.99696923164779405,4.4619402487829998
2,1,32,0.99630859885765599,4.924554386644445
2,0,33,0.9976797269746952,3.9038325872058453
2,1,33,0.99679513900919625,4.5883684485575422
2,0,34,0.99910522581518291,2.4239672140902964
2,1,34,0.99966599113386068,1.4809101738622656
2,0,35,0.99881629061787836,2.7880658333070878
2,1,35,0.99955825025743117,1.7031063630651901
2,0,36,0.99575721333099843,5.2797930402854512
2,1,36,0.99718016531005804,4.3037948422118095
2,0,37,0.9971148172738773,4.3534019297989177
2,1,37,0.99658266321528355,4.7381114942319629
2,0,38,0.99931349297126948,2.123170996631218
2,1,38,0.99975102332583965,1.278574304226771
2,0,39,0.99972975245249296,1.3320738171590929
2,1,39,0.99908172212131718,2.4556017293891834
2,0,41,0.99974310124960453,1.2987570679639591
2,1,41,0.99885713805389742,2.7395289019259956
2,0,43,0.9999726808481082,0.42351834353766993
2,1,43,0.99988211474418964,0.87977505088097285
2,0,44,0.99586424248235061,5.2127267012189336
2,1,44,0.99688002583637181,4.5271627690280436
2,0,45,0.99530322868546028,5.5552993501169148
2,1,45,0.99916526998036381,2.3412126443450658
2,0,46,0.99981179703549361,1.1116233783437068
2,1,46,0.99998230895795692,0.34081207841396244
2,0,47,0.99998823479603727,0.27793150959412644
2,1,47,0.99925375386433291,2.2136333497171781
2,0,48,0.99960398149961927,1.6125370471890417
2,1,48,0.99972515686603258,1.3433526106885361
2,0,49,0.99995846448889547,0.52221448377255486
2,1,49,0.99996849817092359,0.45478554834279217
2,0,51,0.99988290965309568,0.8768037817790747
2,1,51,0.99958189644612583,1.6568938753989095
2,0,52,0.99994280444915784,0.6128029167392679
2,1,52,0.99999169664070864,0.23348815100899553
2,0,53,0.9996864499440824,1.4348365132538241
2,1,53,0.999371501209948,2.0314802382213806
2,0,54,0.99984314936264618,1.014814002208146
2,1,54,0.9993173583570919,2.1171846074251879
3,0,1,0.99819457784092624,3.4434388621921452
3,1,1,0.9990983764884539,2.4332284213347446
3,0,3,0.99429816450574859,6.1214110644474067
3,1,3,0.99789207738962882,3.7208424317691406
3,0,4,0.99923511026289513,2.2411180494399874
3,1,4,0.99962251284003745,1.574353974421606
3,0,5,0.99736009286690608,4.1641612903699681
3,1,5,0.99750938058124139,4.0446551089630001
3,0,6,0.99992323640082537,0.7099341588595437
3,1,6,0.999212237387752,2.2743841857903946
3,0,7,0.99993904574377046,0.63261845100885272
3,1,7,0.99941906854466001,1.9530848147369584
3,0,8,0.9999874140075421,0.2874629111114172
3,1,8,0.99994152291510363,0.61963023912847748
3,0,9,0.99956745924510237,1.6852595721859223
3,1,9,0.99913735471505172,2.3800439772193589
3,0,10,0.99973943205463278,1.3079994314141652
3,1,10,0.99995142581336272,0.56473168725223033
3,0,11,0.99915633621966859,2.3537095555951582
3,1,11,0.99856121535532338,3.0738849770918257
3,0,14,0.99997702576900172,0.38838187443667727
3,1,14,0.99954528916996543,1.7279124633751428
3,0,15,0.99973418550681581,1.3211026969574398
3,1,15,0.99921943476260422,2.263969057435741
3,0,16,0.99944644257564441,1.9065096425821866
3,1,16,0.9999279190860193,0.68793971379532692
3,0,17,0.99971055988832203,1.3785656869389857
3,1,17,0.99992771585891904,0.68890884183091217
3,0,18,0.99762448031270434,3.9500533166213834
3,1,18,0.99558573869347033,5.3855062739756665
3,0,19,0.99903988076599426,2.5109321024885771
3,1,19,0.99789890374430867,3.7148105919106338
3,0,22,0.99993950220625349,0.63024526020849159
3,1,22,0.99972932525400737,1.3331262982386474
3,0,23,0.99754201657921071,4.0180570833888449
3,1,23,0.99670625891111064,4.6515922208279967
3,0,24,0.99943717692129064,1.9224008522672233
3,1,24,0.99927542404747527,2.1812518629111994
3,0,26,0.99981730183505135,1.0952451410614608
3,1,26,0.99892741637472859,2.6539457262561763
3,0,27,0.99919022012848868,2.305952888327468
3,1,27,0.9988664937261682,2.7282905946033793
3,0,28,0.99754585457143619,4.0149175962464998
3,1,28,0.9987807221328493,2.829652551230343
3,0,29,0.99649854191191978,4.7961074004136233
3,1,29,0.99764107920350686,3.9362232202545662
3,0,30,0.99842829892549456,3.2127690206586781
3,1,30,0.99993955463215078,0.6299721207639063
3,0,31,0.99921111579292088,2.2760029256376813
3,1,31,0.99950890943386761,1.7957099980697502
3,0,33,0.99695295843753307,4.4739091117923211
3,1,33,0.9959510544046829,5.1576901240970097
3,0,34,0.99890966710663176,2.675818522491507
3,1,34,0.99947765463196858,1.8519762388216994
3,0,35,0.99834321839513662,3.2986044564134267
3,1,35,0.99930531851293802,2.1357756826486671
3,0,36,0.99560122118524785,5.3760465221315901
3,1,36,0.99694785411370535,4.477656737911289
3,0,37,0.99640779933221624,4.8578938037336465
3,1,37,0.99579248613714944,5.2577847281780032
3,0,38,0.9991749586425146,2.3275839490848065
3,1,38,0.99975840542449634,1.259476195690995
3,0,40,0.99948994247804346,1.8300614378062809
3,1,40,0.99876217621802343,2.8510960601262454
3,0,42,0.99978776435675076,1.1804686898486638
3,1,42,0.99977415254153312,1.217736736897302
3,0,43,0.99991864811652398,0.73084348631565421
3,1,43,0.99981829323682059,1.0922693640374057
3,0,44,0.99518779900586318,5.6232037858713557
3,1,44,0.99628017333576868,4.9434904413993426
3,0,45,0.9942444919944925,6.1501821763027218
3,1,45,0.99910280663476581,2.4272423039557376
3,0,46,0.9998339850372755,1.0440402808799645
3,1,46,0.99998983772902561,0.25830533942970246
3,0,47,0.99995469800852599,0.54537837903672393
3,1,47,0.99918809848754642,2.308972144070164
3,0,48,0.99944322652527795,1.9120403413001934
3,1,48,0.99969147293176497,1.4232966691361764
3,0,49,0.99994747523924121,0.58724803556065508
3,1,49,0.99995080119135316,0.56835109889486946
3,0,50,0.99854634361416061,3.089734299734098
3,1,50,0.99931567568359736,2.1197926695935747
3,0,51,0.99981569519518154,1.1000505167609802
3,1,51,0.99928997742538406,2.1592325010632609
3,0,52,0.99995610514666389,0.53684142439385762
3,1,52,0.99998100708229143,0.35312963123544872
