outer_fold,session,absolute_cosine_to_parent
0,0,0.99999999999999845
0,1,0.99999999999999956
1,0,1.0000000000000004
1,1,0.99999999999999978
2,0,0.99999999999999956
2,1,1.0000000000000007
3,0,1.0000000000000016
3,1,1.0000000000000013
4,0,1.0000000000000018
4,1,1
5,0,1.0000000000000004
5,1,1.0000000000000002
