budget,proposed_mae,direct_mae,source_mae,mean_improvement_direct_minus_proposed,improvement_session0,improvement_session1,improvement_ci_low,improvement_ci_high,paired_permutation_p,proposed_sign_accuracy,sign_accuracy_ci_low,sign_accuracy_ci_high,leave_one_subject_sign_stable,eligible_for_terminal,passes_efficiency_gates
2,0.19817487015082255,0.26093368404133038,0.20123106134512417,0.062758813890507859,0.065760028281483862,0.05975759949953182,0.0425093693375403,0.082374230419465844,0.00050000000000000001,0.55152777777777784,0.4797210648148148,0.62861226851851859,True,True,False
4,0.19613357161126141,0.22955185208059123,0.20477125434759244,0.033418280469329785,0.034875476110491917,0.031961084828167632,0.011223798029039691,0.05557187708664664,0.0030000000000000001,0.53495370370370388,0.45259143518518513,0.62138888888888888,True,True,False
8,0.19675184801720402,0.21453506537447542,0.21000867981321966,0.017783217357271355,0.016241946318750002,0.019324488395792712,-0.0076554774248629937,0.041813336534787651,0.089999999999999997,0.50981481481481472,0.41587962962962971,0.60324305555555557,True,True,False
16,0.19883885223013248,0.2102313838818784,0.21933922112002519,0.011392531651745873,0.0070671473541858987,0.015717915949305845,-0.015578387278812032,0.036812561400805514,0.20499999999999999,0.47092592592592597,0.36740624999999993,0.57569791666666659,True,False,False
32,0.20016414935486354,0.20949591988334082,0.22492608682854681,0.0093317705284773102,0.003915561859922429,0.014747979197032189,-0.018130194020587229,0.035432829284448082,0.25650000000000001,0.44587962962962968,0.33643171296296293,0.56079050925925922,True,False,False
