outer_fold,session,channel,node_strength,diagonal_energy,off_diagonal_energy
0,0,FC5,0.23457073337741599,0.57590793615489821,0.42409206384510045
0,0,FC3,0.39425115745091333,0.57590793615489821,0.42409206384510045
0,0,FC1,0.47458406285759663,0.57590793615489821,0.42409206384510045
0,0,FC2,0.55726851147613954,0.57590793615489821,0.42409206384510045
0,0,FC4,0.33378509488364383,0.57590793615489821,0.42409206384510045
0,0,FC6,0.16128297093473992,0.57590793615489821,0.42409206384510045
0,0,C5,0.21044328787810346,0.57590793615489821,0.42409206384510045
0,0,C3,0.75738909971588919,0.57590793615489821,0.42409206384510045
0,0,C1,0.45771781439425718,0.57590793615489821,0.42409206384510045
0,0,Cz,0.34216697372574101,0.57590793615489821,0.42409206384510045
0,0,C2,0.48729301091269001,0.57590793615489821,0.42409206384510045
0,0,C4,0.82597036203537111,0.57590793615489821,0.42409206384510045
0,0,C6,0.3603637863584841,0.57590793615489821,0.42409206384510045
0,0,CP5,0.21022404892061769,0.57590793615489821,0.42409206384510045
0,0,CP3,0.49883952448156393,0.57590793615489821,0.42409206384510045
0,0,CP1,0.39909329017496831,0.57590793615489821,0.42409206384510045
0,0,CPz,0.35767197951707269,0.57590793615489821,0.42409206384510045
0,0,CP2,0.41136843499412945,0.57590793615489821,0.42409206384510045
0,0,CP4,0.61906108253945058,0.57590793615489821,0.42409206384510045
0,0,CP6,0.27596331344599978,0.57590793615489821,0.42409206384510045
0,1,FC5,0.22649529934281742,0.54216313454969245,0.457836865450307
0,1,FC3,0.40393627362466455,0.54216313454969245,0.457836865450307
0,1,FC1,0.46512972229464311,0.54216313454969245,0.457836865450307
0,1,FC2,0.4834642148975708,0.54216313454969245,0.457836865450307
0,1,FC4,0.42717234390244629,0.54216313454969245,0.457836865450307
0,1,FC6,0.19188107172033844,0.54216313454969245,0.457836865450307
0,1,C5,0.24701679931629825,0.54216313454969245,0.457836865450307
0,1,C3,0.81351950155979758,0.54216313454969245,0.457836865450307
0,1,C1,0.42672270900444953,0.54216313454969245,0.457836865450307
0,1,Cz,0.43693485842468394,0.54216313454969245,0.457836865450307
0,1,C2,0.5103034875287018,0.54216313454969245,0.457836865450307
0,1,C4,0.84344414393948264,0.54216313454969245,0.457836865450307
0,1,C6,0.26245567193579167,0.54216313454969245,0.457836865450307
0,1,CP5,0.29640589708908816,0.54216313454969245,0.457836865450307
0,1,CP3,0.50284257590531334,0.54216313454969245,0.457836865450307
0,1,CP1,0.39999441502153477,0.54216313454969245,0.457836865450307
0,1,CPz,0.43667157053950478,0.54216313454969245,0.457836865450307
0,1,CP2,0.43469482423976091,0.54216313454969245,0.457836865450307
0,1,CP4,0.61699367880527567,0.54216313454969245,0.457836865450307
0,1,CP6,0.30994146715845988,0.54216313454969245,0.457836865450307
1,0,FC5,0.18367376730611182,0.54446663532273731,0.45553336467726313
1,0,FC3,0.4267828587309172,0.54446663532273731,0.45553336467726313
1,0,FC1,0.50756542710800812,0.54446663532273731,0.45553336467726313
1,0,FC2,0.5874563443197236,0.54446663532273731,0.45553336467726313
1,0,FC4,0.37366873578848114,0.54446663532273731,0.45553336467726313
1,0,FC6,0.16294785995229644,0.54446663532273731,0.45553336467726313
1,0,C5,0.23918510712228747,0.54446663532273731,0.45553336467726313
1,0,C3,0.82329425380261001,0.54446663532273731,0.45553336467726313
1,0,C1,0.48134749773144281,0.54446663532273731,0.45553336467726313
1,0,Cz,0.31207123720858981,0.54446663532273731,0.45553336467726313
1,0,C2,0.47234839171520482,0.54446663532273731,0.45553336467726313
1,0,C4,0.86425460120923536,0.54446663532273731,0.45553336467726313
1,0,C6,0.34400991129819436,0.54446663532273731,0.45553336467726313
