omitted_subject,session,spearman
1,pooled,0.65971610736110342
1,0,0.61319787112582691
1,1,0.72054084003535657
2,pooled,0.68438718668875509
2,0,0.63831203238563705
2,1,0.74318842378087713
3,pooled,0.64969829384567235
3,0,0.60377441317219172
3,1,0.71038233697277564
4,pooled,0.67085496727759641
4,0,0.63136703681796202
4,1,0.72502531839484541
5,pooled,0.66076097608260553
5,0,0.61698408191076959
5,1,0.71813487878369264
6,pooled,0.67756462165549747
6,0,0.63263375315519932
6,1,0.73375418942988013
7,pooled,0.69707285711542122
7,0,0.67890966274894315
7,1,0.72633296897454747
8,pooled,0.66945385297180215
8,0,0.62489305555042773
8,1,0.7271795108964294
9,pooled,0.67211947006540451
9,0,0.61622683975378112
9,1,0.74027880010253233
10,pooled,0.6757184426583841
10,0,0.63446299869752798
10,1,0.73375418942988013
11,pooled,0.6659808029399279
11,0,0.62103321811184342
11,1,0.72502531839484541
12,pooled,0.67542984082260105
12,0,0.62898230942424238
12,1,0.73375418942988013
13,pooled,0.6699677838564857
13,0,0.62785270171142782
13,1,0.72502531839484541
14,pooled,0.67513055002993716
14,0,0.62785270171142782
14,1,0.73375418942988013
15,pooled,0.66912335626289832
15,0,0.62450571589568082
15,1,0.72502531839484541
16,pooled,0.67349282849600911
16,0,0.63599927385292609
16,1,0.72502531839484541
17,pooled,0.67438336560335443
17,0,0.63676405144585402
17,1,0.72388245288488995
18,pooled,0.65883281627694723
18,0,0.60739234792224817
18,1,0.72071905938733172
19,pooled,0.66017929658816121
19,0,0.61378683724792915
19,1,0.72027351100739401
20,pooled,0.67601773345104799
20,0,0.63136703681796202
20,1,0.73375418942988013
21,pooled,0.65058158492982876
21,0,0.60739234792224817
21,1,0.71029322729678801
22,pooled,0.66985557452745448
22,0,0.61715235794565604
22,1,0.73375418942988013
23,pooled,0.65885435996192665
23,0,0.61378683724792915
23,1,0.71742200137579237
24,pooled,0.66912335626289832
24,0,0.62450571589568082
24,1,0.72502531839484541
25,pooled,0.67145961425694978
25,0,0.62994133659701779
25,1,0.72502531839484541
26,pooled,0.67361621616750889
26,0,0.62103321811184342
26,1,0.74192716227236932
27,pooled,0.6659808029399279
27,0,0.62103321811184342
27,1,0.72502531839484541
28,pooled,0.66209668455132964
28,0,0.61689994389332647
28,1,0.72045173035936894
29,pooled,0.65077547809464342
29,0,0.60772889999202084
29,1,0.71029322729678801
30,pooled,0.66800475945495985
30,0,0.62506133158531396
30,1,0.72502531839484541
31,pooled,0.67026707464914947
31,0,0.62898230942424238
31,1,0.72502531839484541
32,pooled,0.64953671620832665
32,0,0.60192337678844221
32,1,0.71162987243660136
33,pooled,0.65499804035061004
33,0,0.60688751981758915
33,1,0.71688734331986703
34,pooled,0.72364699253753817
34,0,0.69514830011547502
34,1,0.76509567802913325
35,pooled,0.67329969996670525
35,0,0.63448478953894905
35,1,0.72502531839484541
36,pooled,0.64890117750143361
36,0,0.60192337678844221
36,1,0.71020411762080049
37,pooled,0.65117403626676273
37,0,0.60772889999202084
37,1,0.71145165308462621
38,pooled,0.67066564141425644
38,0,0.62623926382951844
38,1,0.72908115746162916
39,pooled,0.66238752429855197
39,0,0.61597442570145156
39,1,0.72174382066118858
40,pooled,0.6659808029399279
40,0,0.62103321811184342
40,1,0.72502531839484541
41,pooled,0.66840719615188127
41,0,0.61797909355497427
41,1,0.73375418942988013
42,pooled,0.67946371886031798
42,0,0.64045858877741424
42,1,0.73375418942988013
43,pooled,0.68264488671717627
43,0,0.6400273626162073
43,1,0.73595844979226255
44,pooled,0.64906275513877942
44,0,0.602344066875658
44,1,0.71020411762080049
45,pooled,0.65458871033600108
45,0,0.60764476197457762
45,1,0.71688734331986703
46,pooled,0.66956588173349874
46,0,0.61849856622474664
46,1,0.73375418942988013
47,pooled,0.67449507525698704
47,0,0.63574685980059664
47,1,0.72374878837090861
48,pooled,0.66779792560967266
48,0,0.62450571589568082
48,1,0.72502531839484541
49,pooled,0.67630633528683082
49,0,0.63241296988538309
49,1,0.73375418942988013
50,pooled,0.66332994163347658
50,0,0.6154270168704673
50,1,0.72502531839484541
51,pooled,0.68365114137324134
51,0,0.62935237047491566
51,1,0.75061535568115578
52,pooled,0.67827310335290769
52,0,0.63676405144585402
52,1,0.73375418942988013
53,pooled,0.67014949612346009
53,0,0.62103321811184342
53,1,0.73375418942988013
54,pooled,0.68671140339057957
54,0,0.62233017511544531
54,1,0.76086296841972456
