budget,subject,session,status,proposed_mae,direct_mae,source_mae,proposed_sign_accuracy,direct_sign_accuracy,projected_prototype_reconstruction_error_proposed,projected_prototype_reconstruction_error_direct
0,ALL,ALL,NONIDENTIFIABLE_UP_TO_CLASS_PERMUTATION,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,,,
2,1,0,EVALUATED,0.3885685336587467,0.31553261717510334,0.1709060791336894,0.795,0.79500000000000004,0.38856853365874672,0.31553261717510334
2,1,1,EVALUATED,0.2762228076224719,0.27716546559366306,0.18141817234623606,0.89,0.89000000000000001,0.27622280762247192,0.27716546559366306
2,2,0,EVALUATED,0.007652593296781653,0.21273142564589897,0.1613696818595437,0.96,0.95999999999999996,0.0076525932967816531,0.21273142564589897
2,2,1,EVALUATED,0.02269704893791374,0.24519593038447773,0.1677050295470984,0.89,0.89000000000000001,0.022697048937913741,0.24519593038447773
2,3,0,EVALUATED,0.27502057958770637,0.30677703906418385,0.12305528487580589,0.955,0.95499999999999996,0.27502057958770637,0.30677703906418385
2,3,1,EVALUATED,0.29588949856303,0.3086406715399171,0.16242875471517648,0.98,0.97999999999999998,0.29588949856302998,0.30864067153991709
2,4,0,EVALUATED,0.09675369967727779,0.24690881074042706,0.22190849920734493,0.24,0.23999999999999999,0.096753699677277788,0.24690881074042706
2,4,1,EVALUATED,0.16640360835599297,0.20108296277188067,0.2256785520685193,0.39,0.39000000000000001,0.16640360835599297,0.20108296277188067
2,5,0,EVALUATED,0.15488777374586124,0.2553818824360396,0.06673924537470653,0.965,0.96499999999999997,0.15488777374586124,0.2553818824360396
2,5,1,EVALUATED,0.21500356958294561,0.26713204590608364,0.08511630944733206,0.93,0.93000000000000005,0.21500356958294561,0.26713204590608364
2,6,0,EVALUATED,0.15094474753419554,0.21889887224024634,0.18452090088837125,0.46,0.46000000000000002,0.15094474753419554,0.21889887224024634
2,6,1,EVALUATED,0.08633204406350224,0.23770555279804076,0.21886048739459774,0.3,0.29999999999999999,0.086332044063502242,0.23770555279804076
2,7,0,EVALUATED,0.42068264629937857,0.33954644292462477,0.20655006815847352,0.485,0.48499999999999999,0.42068264629937857,0.33954644292462477
2,7,1,EVALUATED,0.5939283095088547,0.40657435441156237,0.20160147273749132,0.325,0.32500000000000001,0.59392830950885467,0.40657435441156237
2,8,0,EVALUATED,0.33779038153669644,0.2985425572557931,0.20873471187318127,0.32,0.32000000000000001,0.33779038153669644,0.2985425572557931
2,8,1,EVALUATED,0.3797898942192885,0.2863192610937034,0.23751597707054473,0.285,0.28499999999999998,0.37978989421928849,0.28631926109370343
2,9,0,EVALUATED,0.18274757562646318,0.26905121501137386,0.15408807280722872,0.91,0.91000000000000003,0.18274757562646318,0.26905121501137386
2,9,1,EVALUATED,0.02688254045990907,0.25900930942771266,0.23143625938815446,0.155,0.155,0.026882540459909069,0.25900930942771266
2,10,0,EVALUATED,0.03855186606776618,0.27925524182715805,0.18701732180226696,0.3,0.29999999999999999,0.038551866067766179,0.27925524182715805
2,10,1,EVALUATED,0.13038075626712065,0.21461261479701083,0.2203611397343098,0.38,0.38,0.13038075626712065,0.21461261479701083
2,11,0,EVALUATED,0.2211258285126631,0.22844730903470414,0.2142619654976567,0.52,0.52000000000000002,0.2211258285126631,0.22844730903470414
2,11,1,EVALUATED,0.23019471580814035,0.22140659773887297,0.2018342520736102,0.575,0.57499999999999996,0.23019471580814035,0.22140659773887297
2,12,0,EVALUATED,0.10421105073131047,0.23167033697856015,0.2278103666094298,0.215,0.215,0.10421105073131047,0.23167033697856015
2,12,1,EVALUATED,0.07249148492299376,0.22641721403892043,0.2151302365370986,0.295,0.29499999999999998,0.07249148492299376,0.22641721403892043
2,13,0,EVALUATED,0.11427912051805318,0.2271645895469626,0.21297892469462354,0.305,0.30499999999999999,0.11427912051805318,0.22716458954696259
2,13,1,EVALUATED,0.1473226556601117,0.2248263309535425,0.19424808705827787,0.47,0.46999999999999997,0.14732265566011171,0.22482633095354251
2,14,0,EVALUATED,0.12498781123036735,0.22486152514417207,0.23605227219849076,0.3,0.29999999999999999,0.12498781123036735,0.22486152514417207
2,14,1,EVALUATED,0.08009709535450414,0.2639291811563479,0.24973197033388905,0.27,0.27000000000000002,0.080097095354504141,0.26392918115634789
2,15,0,EVALUATED,0.2764017507163416,0.2546083599558955,0.23935112914781892,0.61,0.60999999999999999,0.2764017507163416,0.25460835995589548
2,15,1,EVALUATED,0.17204540551533803,0.2543397137997495,0.22396199717681348,0.4,0.40000000000000002,0.17204540551533803,0.25433971379974951
2,16,0,EVALUATED,0.42381157641735384,0.3238509049081575,0.1907429493947894,0.365,0.36499999999999999,0.42381157641735384,0.32385090490815749
2,16,1,EVALUATED,0.18706490293346614,0.24516430380385892,0.203056393523767,0.45,0.45000000000000001,0.18706490293346614,0.24516430380385892
2,17,0,EVALUATED,0.027801827145877374,0.2279174263141009,0.2085766276945045,0.095,0.095000000000000001,0.027801827145877374,0.22791742631410089
2,17,1,EVALUATED,0.1307564389797752,0.26681913829115333,0.22915010949809692,0.16,0.16,0.13075643897977521,0.26681913829115333
2,18,0,EVALUATED,0.12906108197056962,0.2968176979481241,0.14859880684368865,0.975,0.97499999999999998,0.12906108197056962,0.29681769794812413
2,18,1,EVALUATED,0.1455342868394201,0.24371949442224017,0.0825764573808205,0.96,0.95999999999999996,0.1455342868394201,0.24371949442224017
2,19,0,EVALUATED,0.29080567537333685,0.2626392414452817,0.0863070916141383,0.91,0.91000000000000003,0.29080567537333685,0.26263924144528172
2,19,1,EVALUATED,0.24842978128675475,0.25330918121175455,0.21151792320832427,0.84,0.83999999999999997,0.24842978128675475,0.25330918121175455
2,20,0,EVALUATED,0.09444734086319982,0.21254242644079238,0.21468926471555072,0.255,0.255,0.094447340863199822,0.21254242644079238
2,20,1,EVALUATED,0.056018782233268144,0.22321813231508258,0.2218209361702954,0.175,0.17499999999999999,0.056018782233268144,0.22321813231508258
2,21,0,EVALUATED,0.2072115958224218,0.25866547659879346,0.12971247067400993,0.97,0.96999999999999997,0.2072115958224218,0.25866547659879346
2,21,1,EVALUATED,0.21378769359728467,0.2794191129302935,0.3399713972251939,0.995,0.995,0.21378769359728467,0.27941911293029348
2,22,0,EVALUATED,0.2523525477279791,0.2883110221012741,0.16779073356086463,0.785,0.78500000000000003,0.2523525477279791,0.28831102210127407
2,22,1,EVALUATED,0.09225638430132084,0.24985317793392597,0.23660367206741945,0.245,0.245,0.09225638430132084,0.24985317793392597
2,23,0,EVALUATED,0.16676396701007043,0.24879713594393618,0.013830034240197053,0.975,0.97499999999999998,0.16676396701007043,0.24879713594393618
2,23,1,EVALUATED,0.27256729933550344,0.29568515007745794,0.10057184213651281,0.91,0.91000000000000003,0.27256729933550344,0.29568515007745794
2,24,0,EVALUATED,0.1465241580131293,0.22919838663078437,0.21224210150215528,0.365,0.36499999999999999,0.14652415801312929,0.22919838663078437
2,24,1,EVALUATED,0.160505916854667,0.2428632175053389,0.22284908981431695,0.38,0.38,0.160505916854667,0.2428632175053389
2,25,0,EVALUATED,0.2127130507053549,0.2868616076623368,0.19651297665743617,0.385,0.38500000000000001,0.2127130507053549,0.28686160766233681
2,25,1,EVALUATED,0.17602773457368087,0.23143280654364976,0.1924498371016184,0.48,0.47999999999999998,0.17602773457368087,0.23143280654364976
