dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,5,LRCM,0.36666271534692585,0.36207433923891563,0.36486486486486486,1.6041427815894915,0.80988444408216531,0.20768134350444578,0.28947368421052633,0.24324324324324326,0.3783783783783784,0.55555555555555558
stieger,chronological,0,5,IDENTITY_RESIDUAL_CARRY,0.33090327169274536,0.30093112098815977,0.33108108108108109,1.7788652712683102,0.87003259015463563,0.2853413784671186,0.52631578947368418,0.27027027027027029,0.027027027027027029,0.5
stieger,chronological,0,5,PAST_PROTOTYPE_DIRECT,0.32395882724830094,0.30240169092068775,0.32432432432432434,1.7211958036350805,0.84350678334645124,0.26979220344320987,0.52631578947368418,0.21621621621621623,0.081081081081081086,0.47222222222222221
stieger,chronological,0,5,POPULATION_ONLY,0.38017622886043945,0.37896424320014377,0.3783783783783784,1.4027815106515695,0.75397339238162508,0.13588011764415778,0.28947368421052633,0.29729729729729731,0.3783783783783784,0.55555555555555558
stieger,chronological,0,5,FULL_RIDGE_TRANSFER,0.35242808598071751,0.34248467581800912,0.35135135135135137,1.7160369287887207,0.83130631714709768,0.20935010813759292,0.36842105263157893,0.16216216216216217,0.35135135135135137,0.52777777777777779
stieger,chronological,0,5,ENROLLMENT_PCA_TRANSFER,0.37288604393867553,0.36441781558637176,0.3716216216216216,2.0262841104413676,0.85606855362531287,0.22825248900720921,0.36842105263157893,0.21621621621621623,0.35135135135135137,0.55555555555555558
stieger,chronological,0,5,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.38017622886043945,0.37896424320014377,0.3783783783783784,1.4027815106515695,0.75397339238162508,0.13588011764415778,0.28947368421052633,0.29729729729729731,0.3783783783783784,0.55555555555555558
stieger,chronological,0,11,LRCM,0.20803698435277385,0.18642936540794297,0.20666666666666667,1.4449711032191848,0.77492082143847929,0.11478712571084171,0.052631578947368418,0.16216216216216217,0.15789473684210525,0.45945945945945948
stieger,chronological,0,11,IDENTITY_RESIDUAL_CARRY,0.35277382645803701,0.33114146020589352,0.35333333333333333,1.5417399504437133,0.79524374114465568,0.17193982329348795,0.18421052631578946,0.43243243243243246,0.60526315789473684,0.1891891891891892
stieger,chronological,0,11,PAST_PROTOTYPE_DIRECT,0.33819345661450922,0.32130991285403049,0.34000000000000002,1.5256445012954183,0.7866425834096944,0.15113756446623799,0.34210526315789475,0.21621621621621623,0.60526315789473684,0.1891891891891892
stieger,chronological,0,11,POPULATION_ONLY,0.33250355618776672,0.27151098901098902,0.33333333333333331,1.4693460826346778,0.79571377077265881,0.1090395286498516,0.13157894736842105,0.027027027027027029,0.65789473684210531,0.51351351351351349
stieger,chronological,0,11,FULL_RIDGE_TRANSFER,0.27382645803698435,0.25198313183042076,0.27333333333333332,1.5084250400998795,0.80331414479121788,0.14697724687668895,0.39473684210526316,0.1891891891891892,0.078947368421052627,0.43243243243243246
stieger,chronological,0,11,ENROLLMENT_PCA_TRANSFER,0.27471550497866293,0.26325112648160803,0.27333333333333332,1.5820059186920745,0.81294819670538021,0.15536471497202686,0.052631578947368418,0.3783783783783784,0.28947368421052633,0.3783783783783784
stieger,chronological,0,11,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.33250355618776672,0.27151098901098902,0.33333333333333331,1.4693460826346778,0.79571377077265881,0.1090395286498516,0.13157894736842105,0.027027027027027029,0.65789473684210531,0.51351351351351349
stieger,chronological,0,15,LRCM,0.29089615931721197,0.25850340136054423,0.29054054054054052,1.7677402229472219,0.83512340250972483,0.23376415375710016,0.10810810810810811,0.10810810810810811,0.5,0.44736842105263158
stieger,chronological,0,15,IDENTITY_RESIDUAL_CARRY,0.40572151098466885,0.40849201489128001,0.40540540540540543,1.6087804043161411,0.7820486734459019,0.084501097268890893,0.40540540540540543,0.48648648648648651,0.3888888888888889,0.34210526315789475
stieger,chronological,0,15,PAST_PROTOTYPE_DIRECT,0.36679113323850165,0.34807741589089769,0.36486486486486486,1.6859212128040444,0.81104616346409397,0.15201813737518388,0.32432432432432434,0.59459459459459463,0.41666666666666669,0.13157894736842105
stieger,chronological,0,15,POPULATION_ONLY,0.30440967283072545,0.27839861192001553,0.30405405405405406,1.5929795268616809,0.79700680209845765,0.16193008371334153,0.16216216216216217,0.10810810810810811,0.5,0.44736842105263158
stieger,chronological,0,15,FULL_RIDGE_TRANSFER,0.33852931879247666,0.33726321107305535,0.33783783783783783,1.8028100794372459,0.83705146084181714,0.15153346518156746,0.1891891891891892,0.3783783783783784,0.44444444444444442,0.34210526315789475
stieger,chronological,0,15,ENROLLMENT_PCA_TRANSFER,0.3723328591749645,0.37029877617088114,0.3716216216216216,1.7204289140448759,0.82189810680822928,0.15948710610134811,0.1891891891891892,0.40540540540540543,0.5,0.39473684210526316
stieger,chronological,0,15,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.30440967283072545,0.27839861192001553,0.30405405405405406,1.5929795268616809,0.79700680209845765,0.16193008371334153,0.16216216216216217,0.10810810810810811,0.5,0.44736842105263158
stieger,chronological,0,26,LRCM,0.3995376955903272,0.3840231017582641,0.40000000000000002,1.6560493450886944,0.79763388154846382,0.24121154413253154,0.1891891891891892,0.28947368421052633,0.57894736842105265,0.54054054054054057
stieger,chronological,0,26,IDENTITY_RESIDUAL_CARRY,0.51315789473684215,0.51552527987026575,0.51333333333333331,1.2862685562077718,0.67480083622990505,0.20437694763521597,0.40540540540540543,0.44736842105263158,0.60526315789473684,0.59459459459459463
stieger,chronological,0,26,PAST_PROTOTYPE_DIRECT,0.52009246088193462,0.52335984257090817,0.52000000000000002,1.1934209829720503,0.64426213554752032,0.17280237233520007,0.45945945945945948,0.42105263157894735,0.60526315789473684,0.59459459459459463
