left,right,metric,improvement_direction,mean_difference,median_difference,bootstrap_ci,p_value_raw,subject_win_rate,leave_one_subject_mean_range,worst_quartile_mean_difference,dataset,comparison,p_value_holm
LRCM,IDENTITY_RESIDUAL_CARRY,balanced_accuracy,higher,-0.019792792368365991,-0.0074679943100996182,"[-0.03791042605054896, -0.002384321393322579]",0.98250000000000004,0.43548387096774194,"[-0.021941996785849877, -0.015969350282573524]",-0.11761564195774724,stieger,LRCM - IDENTITY_RESIDUAL_CARRY,1
LRCM,PAST_PROTOTYPE_DIRECT,balanced_accuracy,higher,-0.014780732863397272,-0.009794333807491673,"[-0.03266080525346409, 0.0023071657734116146]",0.94450000000000001,0.45161290322580644,"[-0.01735205145591571, -0.010875125867687277]",-0.11026684579316157,stieger,LRCM - PAST_PROTOTYPE_DIRECT,1
LRCM,POPULATION_ONLY,balanced_accuracy,higher,-0.005467753835500762,0,"[-0.016581768427556407, 0.005159445665990298]",0.83699999999999997,0.4838709677419355,"[-0.008075869661034353, -0.0031182589010077173]",-0.055857887963151116,stieger,LRCM - POPULATION_ONLY,1
LRCM,IDENTITY_RESIDUAL_CARRY,macro_f1,higher,-0.027037014605457332,-0.015338527228533752,"[-0.04618610322742857, -0.009086192948663394]",0.997,0.41935483870967744,"[-0.029412533843992263, -0.02333295269739636]",-0.12731172562923845,stieger,LRCM - IDENTITY_RESIDUAL_CARRY macro-F1,0.997
LRCM,IDENTITY_RESIDUAL_CARRY,nll,lower,0.25513121603485911,0.13034578614426073,"[0.108181588374683, 0.4088531751850315]",0.001,0.72580645161290325,"[0.2211257976924889, 0.2824886589265951]",-0.31480614047583355,stieger,IDENTITY_RESIDUAL_CARRY NLL - LRCM NLL,0.001
LRCM,FULL_RIDGE_TRANSFER,balanced_accuracy,higher,-0.0082131487860290474,0,"[-0.01902613657827193, 0.0029815771082748986]",0.91700000000000004,0.43548387096774194,"[-0.010942058694304549, -0.005744777720492085]",-0.067598726546094987,stieger,LRCM - FULL_RIDGE_TRANSFER,0.91700000000000004
LRCM,ENROLLMENT_PCA_TRANSFER,balanced_accuracy,higher,-0.0019569861625189761,0.0001827485380117011,"[-0.014256725051941265, 0.009881354776381865]",0.64800000000000002,0.5,"[-0.004475484431582492, 0.0013805657514737288]",-0.056799562720615364,stieger,LRCM - ENROLLMENT_PCA_TRANSFER,0.64800000000000002
