dataset,direction,outer_fold,subject,memory_dimension,memory_bytes_float64
openbmi,reverse,0,4,2,16
openbmi,reverse,0,10,2,16
openbmi,reverse,0,11,2,16
openbmi,reverse,0,18,2,16
openbmi,reverse,0,31,2,16
openbmi,reverse,0,37,2,16
openbmi,reverse,0,43,2,16
openbmi,reverse,0,45,2,16
openbmi,reverse,0,46,2,16
openbmi,reverse,1,16,2,16
openbmi,reverse,1,29,2,16
openbmi,reverse,1,30,2,16
openbmi,reverse,1,36,2,16
openbmi,reverse,1,38,2,16
openbmi,reverse,1,49,2,16
openbmi,reverse,1,51,2,16
openbmi,reverse,1,52,2,16
openbmi,reverse,1,54,2,16
openbmi,reverse,2,1,8,64
openbmi,reverse,2,8,8,64
openbmi,reverse,2,9,8,64
openbmi,reverse,2,14,8,64
openbmi,reverse,2,17,8,64
openbmi,reverse,2,19,8,64
openbmi,reverse,2,40,8,64
openbmi,reverse,2,42,8,64
openbmi,reverse,2,50,8,64
openbmi,reverse,3,2,3,24
openbmi,reverse,3,12,3,24
openbmi,reverse,3,13,3,24
openbmi,reverse,3,20,3,24
openbmi,reverse,3,21,3,24
openbmi,reverse,3,25,3,24
openbmi,reverse,3,32,3,24
openbmi,reverse,3,39,3,24
openbmi,reverse,3,41,3,24
openbmi,reverse,4,3,2,16
openbmi,reverse,4,7,2,16
openbmi,reverse,4,15,2,16
openbmi,reverse,4,22,2,16
openbmi,reverse,4,23,2,16
openbmi,reverse,4,26,2,16
openbmi,reverse,4,33,2,16
openbmi,reverse,4,35,2,16
openbmi,reverse,4,53,2,16
openbmi,reverse,5,5,2,16
openbmi,reverse,5,6,2,16
openbmi,reverse,5,24,2,16
openbmi,reverse,5,27,2,16
openbmi,reverse,5,28,2,16
openbmi,reverse,5,34,2,16
openbmi,reverse,5,44,2,16
openbmi,reverse,5,47,2,16
openbmi,reverse,5,48,2,16
