dataset,null,observed_mean_balanced_accuracy,null_mean,null_median,null_q025,null_q975,p_value,replicates,hyperparameter_rule
openbmi,ENROLLMENT_SUBJECT_MEMORY_PERMUTATION,0.69148148148148125,0.68519954421655249,0.68500000000000005,0.6803703703703704,0.69037037037037008,0.0085000000000000006,1999,frozen_observed_source_only_selection
openbmi,ENROLLMENT_CLASS_SEMANTICS_PERMUTATION,0.69148148148148125,0.63111111111111096,0.63111111111111107,0.63111111111111107,0.63111111111111107,0.00050000000000000001,1999,frozen_observed_source_only_selection
openbmi,RANDOM_RANK_MATCHED_OUTPUT_SUBSPACE,0.69148148148148125,0.69140875993552331,0.69148148148148136,0.69037037037037041,0.69259259259259243,0.53100000000000003,1999,frozen_observed_source_only_selection
openbmi,UNPAIRED_SOURCE_SESSION_MAP,0.69148148148148125,0.68755785300057437,0.68851851851851864,0.67592592592592593,0.69481481481481477,0.28449999999999998,1999,conditional_on_observed_source_only_selection
