dataset,direction,outer_fold,subject,memory_dimension,memory_bytes_float64
openbmi,chronological,0,4,3,24
openbmi,chronological,0,10,3,24
openbmi,chronological,0,11,3,24
openbmi,chronological,0,18,3,24
openbmi,chronological,0,31,3,24
openbmi,chronological,0,37,3,24
openbmi,chronological,0,43,3,24
openbmi,chronological,0,45,3,24
openbmi,chronological,0,46,3,24
openbmi,chronological,1,16,5,40
openbmi,chronological,1,29,5,40
openbmi,chronological,1,30,5,40
openbmi,chronological,1,36,5,40
openbmi,chronological,1,38,5,40
openbmi,chronological,1,49,5,40
openbmi,chronological,1,51,5,40
openbmi,chronological,1,52,5,40
openbmi,chronological,1,54,5,40
openbmi,chronological,2,1,3,24
openbmi,chronological,2,8,3,24
openbmi,chronological,2,9,3,24
openbmi,chronological,2,14,3,24
openbmi,chronological,2,17,3,24
openbmi,chronological,2,19,3,24
openbmi,chronological,2,40,3,24
openbmi,chronological,2,42,3,24
openbmi,chronological,2,50,3,24
openbmi,chronological,3,2,13,104
openbmi,chronological,3,12,13,104
openbmi,chronological,3,13,13,104
openbmi,chronological,3,20,13,104
openbmi,chronological,3,21,13,104
openbmi,chronological,3,25,13,104
openbmi,chronological,3,32,13,104
openbmi,chronological,3,39,13,104
openbmi,chronological,3,41,13,104
openbmi,chronological,4,3,5,40
openbmi,chronological,4,7,5,40
openbmi,chronological,4,15,5,40
openbmi,chronological,4,22,5,40
openbmi,chronological,4,23,5,40
openbmi,chronological,4,26,5,40
openbmi,chronological,4,33,5,40
openbmi,chronological,4,35,5,40
openbmi,chronological,4,53,5,40
openbmi,chronological,5,5,2,16
openbmi,chronological,5,6,2,16
openbmi,chronological,5,24,2,16
openbmi,chronological,5,27,2,16
openbmi,chronological,5,28,2,16
openbmi,chronological,5,34,2,16
openbmi,chronological,5,44,2,16
openbmi,chronological,5,47,2,16
openbmi,chronological,5,48,2,16
