dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,0,4,LRCM,0.58000000000000007,0.57983193277310918,0.57999999999999996,0.67366565781760523,0.48061871037822806,0.044199867506414914,0.56000000000000005,0.59999999999999998
openbmi,chronological,0,4,IDENTITY_RESIDUAL_CARRY,0.56000000000000005,0.55841027699718992,0.56000000000000005,0.68932316062022569,0.49640646590017867,0.043173103105873384,0.62,0.5
openbmi,chronological,0,4,PAST_PROTOTYPE_DIRECT,0.55000000000000004,0.54887218045112784,0.55000000000000004,0.68936072623697497,0.49644882925301942,0.044587416974292235,0.59999999999999998,0.5
openbmi,chronological,0,4,POPULATION_ONLY,0.58000000000000007,0.57983193277310918,0.57999999999999996,0.67319914760877031,0.48015366115046004,0.044090731457844479,0.56000000000000005,0.59999999999999998
openbmi,chronological,0,4,FULL_RIDGE_TRANSFER,0.58000000000000007,0.57983193277310918,0.57999999999999996,0.67367196277071839,0.48062468069701153,0.044226364601075763,0.56000000000000005,0.59999999999999998
openbmi,chronological,0,4,ENROLLMENT_PCA_TRANSFER,0.58000000000000007,0.57983193277310918,0.57999999999999996,0.67365597889104156,0.48060889251073663,0.044196201153801518,0.56000000000000005,0.59999999999999998
openbmi,chronological,0,4,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.58000000000000007,0.57983193277310918,0.57999999999999996,0.67319914760877031,0.48015366115046004,0.044090731457844479,0.56000000000000005,0.59999999999999998
openbmi,chronological,0,10,LRCM,0.75,0.74997499749975005,0.75,0.61015571376689559,0.41853368789926571,0.17175765427891557,0.73999999999999999,0.76000000000000001
openbmi,chronological,0,10,IDENTITY_RESIDUAL_CARRY,0.71999999999999997,0.71999999999999997,0.71999999999999997,0.60181446841437714,0.41102504915213672,0.13360279247928333,0.71999999999999997,0.71999999999999997
openbmi,chronological,0,10,PAST_PROTOTYPE_DIRECT,0.71999999999999997,0.71999999999999997,0.71999999999999997,0.60044692940661504,0.41057975269116026,0.11041587219413154,0.71999999999999997,0.71999999999999997
openbmi,chronological,0,10,POPULATION_ONLY,0.77000000000000002,0.76997699769976991,0.77000000000000002,0.60967222451417913,0.41810536391496739,0.19148002013097504,0.76000000000000001,0.78000000000000003
openbmi,chronological,0,10,FULL_RIDGE_TRANSFER,0.75,0.74997499749975005,0.75,0.61013098723921966,0.41850681384586691,0.17186256067261346,0.73999999999999999,0.76000000000000001
openbmi,chronological,0,10,ENROLLMENT_PCA_TRANSFER,0.75,0.74997499749975005,0.75,0.61015900987367866,0.4185355258557209,0.17180879092386808,0.73999999999999999,0.76000000000000001
