dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,5,LRCM,0.36666271534692579,0.36207433923891558,0.3648648648648648,1.6041427815894915,0.80988444408216531,0.2076813435044457,0.28947368421052633,0.2432432432432432,0.3783783783783784,0.55555555555555547
stieger,chronological,0,5,IDENTITY_RESIDUAL_CARRY,0.3309032716927453,0.30093112098815972,0.33108108108108097,1.7788652712683102,0.87003259015463563,0.2853413784671186,0.52631578947368407,0.27027027027027017,0.027027027027027001,0.5
stieger,chronological,0,5,PAST_PROTOTYPE_DIRECT,0.32395882724830088,0.30240169092068769,0.32432432432432429,1.7211958036350803,0.84350678334645124,0.26979220344320981,0.52631578947368407,0.2162162162162162,0.081081081081081002,0.47222222222222221
stieger,chronological,0,5,POPULATION_ONLY,0.38017622886043939,0.37896424320014371,0.3783783783783784,1.4027815106515695,0.75397339238162497,0.13588011764415769,0.28947368421052633,0.29729729729729731,0.3783783783783784,0.55555555555555547
stieger,chronological,0,5,FULL_RIDGE_TRANSFER,0.35242808598071751,0.34248467581800912,0.35135135135135132,1.7160369287887207,0.83130631714709757,0.20935010813759289,0.36842105263157893,0.16216216216216209,0.35135135135135132,0.52777777777777768
stieger,chronological,0,5,ENROLLMENT_PCA_TRANSFER,0.37288604393867553,0.36441781558637171,0.3716216216216216,2.0262841104413676,0.85606855362531276,0.22825248900720921,0.36842105263157893,0.2162162162162162,0.35135135135135132,0.55555555555555547
stieger,chronological,0,5,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.38017622886043939,0.37896424320014371,0.3783783783783784,1.4027815106515695,0.75397339238162497,0.13588011764415769,0.28947368421052633,0.29729729729729731,0.3783783783783784,0.55555555555555547
stieger,chronological,0,11,LRCM,0.20803698435277379,0.18642936540794289,0.20666666666666661,1.4449711032191848,0.77492082143847918,0.11478712571084169,0.052631578947368397,0.16216216216216209,0.1578947368421052,0.45945945945945937
stieger,chronological,0,11,IDENTITY_RESIDUAL_CARRY,0.35277382645803701,0.33114146020589352,0.35333333333333328,1.5417399504437133,0.79524374114465557,0.17193982329348789,0.18421052631578941,0.4324324324324324,0.60526315789473684,0.1891891891891892
stieger,chronological,0,11,PAST_PROTOTYPE_DIRECT,0.33819345661450922,0.32130991285403038,0.34000000000000002,1.5256445012954185,0.7866425834096944,0.15113756446623791,0.34210526315789469,0.2162162162162162,0.60526315789473684,0.1891891891891892
stieger,chronological,0,11,POPULATION_ONLY,0.33250355618776672,0.27151098901098902,0.33333333333333331,1.4693460826346778,0.79571377077265881,0.1090395286498516,0.13157894736842099,0.027027027027027001,0.65789473684210531,0.51351351351351338
stieger,chronological,0,11,FULL_RIDGE_TRANSFER,0.2738264580369843,0.2519831318304207,0.27333333333333332,1.5084250400998795,0.80331414479121777,0.14697724687668889,0.39473684210526311,0.1891891891891892,0.078947368421052599,0.4324324324324324
