dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,reverse,0,5,LRCM,0.29356330014224752,0.2789717452279612,0.29333333333333333,1.4860099935959283,0.79076672419614014,0.14054205829084304,0.10810810810810811,0.28947368421052633,0.26315789473684209,0.51351351351351349
stieger,reverse,0,5,IDENTITY_RESIDUAL_CARRY,0.31490042674253205,0.30179634630708158,0.31333333333333335,1.8730258437404714,0.91000279947422125,0.31083348644874798,0.3783783783783784,0.26315789473684209,0.13157894736842105,0.48648648648648651
stieger,reverse,0,5,PAST_PROTOTYPE_DIRECT,0.34832859174964437,0.33692711122437791,0.34666666666666668,1.915910932325581,0.90107383839658306,0.27838226655770276,0.45945945945945948,0.28947368421052633,0.15789473684210525,0.48648648648648651
stieger,reverse,0,5,POPULATION_ONLY,0.30689900426742533,0.29420158263939966,0.30666666666666664,1.4650802825859846,0.78291277179710372,0.11457371888908451,0.13513513513513514,0.34210526315789475,0.23684210526315788,0.51351351351351349
stieger,reverse,0,5,FULL_RIDGE_TRANSFER,0.28698435277382645,0.27218760372583189,0.28666666666666668,1.4845619737299316,0.79024787241132843,0.14666248701171092,0.10810810810810811,0.28947368421052633,0.23684210526315788,0.51351351351351349
stieger,reverse,0,5,ENROLLMENT_PCA_TRANSFER,0.28058321479374115,0.27192208607963797,0.28000000000000003,1.5556589604160518,0.81419831030346468,0.18525271410729244,0.16216216216216217,0.26315789473684209,0.21052631578947367,0.48648648648648651
stieger,reverse,0,5,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.30689900426742533,0.29420158263939966,0.30666666666666664,1.4650802825859846,0.78291277179710372,0.11457371888908451,0.13513513513513514,0.34210526315789475,0.23684210526315788,0.51351351351351349
stieger,reverse,0,11,LRCM,0.32147937411095306,0.31413928160747639,0.32214765100671139,1.473032759484542,0.78874581666370369,0.088993354150970649,0.1891891891891892,0.21621621621621623,0.45945945945945948,0.42105263157894735
stieger,reverse,0,11,IDENTITY_RESIDUAL_CARRY,0.32379089615931722,0.29274033777464964,0.32214765100671139,1.609801211279648,0.82591924792439431,0.20175718659807226,0.21621621621621623,0.40540540540540543,0.59459459459459463,0.078947368421052627
stieger,reverse,0,11,PAST_PROTOTYPE_DIRECT,0.33036984352773824,0.30319052204261226,0.32885906040268459,1.7113546916906635,0.84132882935430464,0.22471550153700035,0.21621621621621623,0.40540540540540543,0.59459459459459463,0.10526315789473684
stieger,reverse,0,11,POPULATION_ONLY,0.32823613086770981,0.32309076554272814,0.32885906040268459,1.4752135379498725,0.78952724615134817,0.11237452049302266,0.1891891891891892,0.27027027027027029,0.43243243243243246,0.42105263157894735
stieger,reverse,0,11,FULL_RIDGE_TRANSFER,0.32147937411095306,0.31434495387310746,0.32214765100671139,1.4741101890114916,0.78925083753711522,0.094836356687158646,0.1891891891891892,0.21621621621621623,0.45945945945945948,0.42105263157894735
stieger,reverse,0,11,ENROLLMENT_PCA_TRANSFER,0.30120910384068278,0.26290405211164808,0.30201342281879195,1.4659697081651422,0.78689408367164537,0.10234805406192284,0.16216216216216217,0.027027027027027029,0.59459459459459463,0.42105263157894735
