dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,0,4,LRCM,0.57999999999999996,0.57983193277310907,0.57999999999999985,0.67366565781760523,0.48061871037822801,0.0441998675064149,0.56000000000000005,0.59999999999999987
openbmi,chronological,0,4,IDENTITY_RESIDUAL_CARRY,0.56000000000000005,0.55841027699718992,0.56000000000000005,0.68932316062022558,0.49640646590017862,0.043173103105873301,0.62,0.5
openbmi,chronological,0,4,PAST_PROTOTYPE_DIRECT,0.55000000000000004,0.54887218045112784,0.55000000000000004,0.68936072623697486,0.49644882925301942,0.0445874169742922,0.59999999999999987,0.5
openbmi,chronological,0,4,POPULATION_ONLY,0.57999999999999996,0.57983193277310907,0.57999999999999985,0.67319914760877031,0.48015366115045999,0.044090731457844402,0.56000000000000005,0.59999999999999987
openbmi,chronological,0,4,FULL_RIDGE_TRANSFER,0.57999999999999996,0.57983193277310907,0.57999999999999985,0.67367196277071828,0.48062468069701147,0.0442263646010757,0.56000000000000005,0.59999999999999987
openbmi,chronological,0,4,ENROLLMENT_PCA_TRANSFER,0.57999999999999996,0.57983193277310907,0.57999999999999985,0.67365597889104145,0.48060889251073657,0.044196201153801497,0.56000000000000005,0.59999999999999987
openbmi,chronological,0,4,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.57999999999999996,0.57983193277310907,0.57999999999999985,0.67319914760877031,0.48015366115045999,0.044090731457844402,0.56000000000000005,0.59999999999999987
openbmi,chronological,0,10,LRCM,0.75,0.74997499749975005,0.75,0.61015571376689548,0.41853368789926571,0.17175765427891551,0.73999999999999988,0.76000000000000001
openbmi,chronological,0,10,IDENTITY_RESIDUAL_CARRY,0.71999999999999986,0.71999999999999986,0.71999999999999986,0.60181446841437714,0.41102504915213672,0.13360279247928331,0.71999999999999986,0.71999999999999986
openbmi,chronological,0,10,PAST_PROTOTYPE_DIRECT,0.71999999999999986,0.71999999999999986,0.71999999999999986,0.60044692940661504,0.4105797526911602,0.1104158721941315,0.71999999999999986,0.71999999999999986
openbmi,chronological,0,10,POPULATION_ONLY,0.77000000000000002,0.76997699769976991,0.77000000000000002,0.60967222451417913,0.41810536391496728,0.19148002013097501,0.76000000000000001,0.78000000000000003
openbmi,chronological,0,10,FULL_RIDGE_TRANSFER,0.75,0.74997499749975005,0.75,0.61013098723921955,0.41850681384586691,0.17186256067261341,0.73999999999999988,0.76000000000000001
openbmi,chronological,0,10,ENROLLMENT_PCA_TRANSFER,0.75,0.74997499749975005,0.75,0.61015900987367855,0.4185355258557209,0.171808790923868,0.73999999999999988,0.76000000000000001
openbmi,chronological,0,10,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.77000000000000002,0.76997699769976991,0.77000000000000002,0.60967222451417913,0.41810536391496728,0.19148002013097501,0.76000000000000001,0.78000000000000003
openbmi,chronological,0,11,LRCM,0.57999999999999985,0.57999999999999985,0.57999999999999985,0.68273581639333036,0.48969370325696032,0.065588642504617906,0.57999999999999985,0.57999999999999985
openbmi,chronological,0,11,IDENTITY_RESIDUAL_CARRY,0.5,0.49819349658771572,0.5,0.69699394570337814,0.50383441566527554,0.023979451216840999,0.44,0.56000000000000005
openbmi,chronological,0,11,PAST_PROTOTYPE_DIRECT,0.41999999999999998,0.41976790716286511,0.41999999999999987,0.70461899278453477,0.51144212221266461,0.1095245854146028,0.44,0.40000000000000002
openbmi,chronological,0,11,POPULATION_ONLY,0.55000000000000004,0.54995499549954985,0.55000000000000004,0.68362156167159382,0.49057185828950622,0.035170768358160798,0.56000000000000005,0.54000000000000004
openbmi,chronological,0,11,FULL_RIDGE_TRANSFER,0.57999999999999985,0.57999999999999985,0.57999999999999985,0.68272940252228731,0.48968721695885009,0.065582891328369905,0.57999999999999985,0.57999999999999985
openbmi,chronological,0,11,ENROLLMENT_PCA_TRANSFER,0.57999999999999985,0.57999999999999985,0.57999999999999985,0.68274614219939156,0.4897037992341125,0.065588295252263298,0.57999999999999985,0.57999999999999985
