dataset,direction,outer_fold,rank,ridge_lambda,mean_balanced_accuracy
openbmi,chronological,0,1,100,0.74111111111111105
openbmi,chronological,0,2,100,0.74555555555555542
openbmi,chronological,0,3,100,0.74555555555555542
openbmi,chronological,0,5,100,0.74555555555555542
openbmi,chronological,0,8,100,0.74555555555555542
openbmi,chronological,0,13,100,0.74555555555555542
openbmi,chronological,1,1,0.10000000000000001,0.66333333333333344
openbmi,chronological,1,2,1,0.66999999999999993
openbmi,chronological,1,3,1,0.66888888888888887
openbmi,chronological,1,5,1,0.6644444444444445
openbmi,chronological,1,8,1,0.66999999999999993
openbmi,chronological,1,13,1,0.67222222222222217
openbmi,chronological,2,1,100,0.65333333333333343
openbmi,chronological,2,2,10,0.6544444444444445
openbmi,chronological,2,3,10,0.65333333333333332
openbmi,chronological,2,5,10,0.64999999999999991
openbmi,chronological,2,8,10,0.65111111111111108
openbmi,chronological,2,13,10,0.65222222222222215
openbmi,chronological,3,1,100,0.68000000000000005
openbmi,chronological,3,2,100,0.68666666666666665
openbmi,chronological,3,3,100,0.68666666666666665
openbmi,chronological,3,5,100,0.68666666666666665
openbmi,chronological,3,8,100,0.68666666666666665
openbmi,chronological,3,13,100,0.68666666666666665
openbmi,chronological,4,1,100,0.70333333333333337
openbmi,chronological,4,2,100,0.70444444444444443
openbmi,chronological,4,3,100,0.70333333333333337
openbmi,chronological,4,5,100,0.70333333333333337
openbmi,chronological,4,8,100,0.70333333333333337
openbmi,chronological,4,13,100,0.70333333333333337
openbmi,chronological,5,1,100,0.69555555555555548
openbmi,chronological,5,2,100,0.69555555555555559
openbmi,chronological,5,3,100,0.69444444444444453
openbmi,chronological,5,5,100,0.69444444444444453
openbmi,chronological,5,8,100,0.69444444444444453
openbmi,chronological,5,13,100,0.69444444444444453
