dataset,K_per_class,subjects,mean_expected_balanced_accuracy,mean_expected_macro_f1
stieger,1,62,0.28870574445180397,0.26558576979271875
stieger,2,62,0.30260762864224383,0.28669718550825474
stieger,4,62,0.31797888430910992,0.30508505560298405
stieger,8,62,0.33263122073411278,0.31981156593736648
stieger,16,62,0.34589963103093146,0.33150278699051983
stieger,FULL_ORACLE,62,0.49567465354348655,0.48606012621446487
openbmi,1,54,0.56163643235071803,0.531101720412122
openbmi,2,54,0.58146026234567894,0.56230175709995323
openbmi,4,54,0.60205515297906609,0.59099336127965063
openbmi,8,54,0.62530643738977065,0.61854150842871392
openbmi,16,54,0.64898011982570813,0.64428503463687281
openbmi,FULL_ORACLE,54,0.78444444444444439,0.78373727883194355
