dataset,direction,method,subjects,mean_balanced_accuracy,median_balanced_accuracy,mean_macro_f1,median_macro_f1,mean_accuracy,median_accuracy,mean_nll,median_nll,mean_brier,median_brier,mean_ece10,median_ece10
openbmi,reverse,LRCM,54,0.65870370370370379,0.63,0.65769482687635517,0.62981484816482858,0.65870370370370379,0.63,0.62397083189688607,0.65503410380336269,0.43455615814171056,0.46240459014419821,0.12637375129140516,0.1071572397478214
openbmi,reverse,IDENTITY_RESIDUAL_CARRY,54,0.65870370370370357,0.625,0.65744849265605809,0.62348926303054752,0.65870370370370357,0.625,0.65855297478853903,0.66835996649465013,0.43742774452192595,0.47078062214662264,0.12927299082235752,0.11084456833808722
openbmi,reverse,PAST_PROTOTYPE_DIRECT,54,0.65629629629629649,0.61499999999999999,0.6549935264767609,0.61290514998852497,0.65629629629629638,0.61499999999999999,0.65870164760794248,0.67040917325095351,0.43692668861233069,0.46890224018602633,0.13285568415240412,0.13267543166531215
openbmi,reverse,POPULATION_ONLY,54,0.66481481481481475,0.64000000000000001,0.66384053968848777,0.63963950965001382,0.66481481481481475,0.64000000000000001,0.62676985116268691,0.64922357371245099,0.43564593436200388,0.45729454542948389,0.13002296046713038,0.10161428851089274
openbmi,reverse,FULL_RIDGE_TRANSFER,54,0.66037037037037061,0.63,0.65937463624147985,0.62981484816482858,0.66037037037037061,0.63,0.62308597262412402,0.6534471539469966,0.43276727304614876,0.46208236977458705,0.12609951456386218,0.10439636035510773
openbmi,reverse,ENROLLMENT_PCA_TRANSFER,54,0.66129629629629649,0.625,0.66039753415418256,0.62291415809582162,0.66129629629629649,0.625,0.61619684721361101,0.65539496239327855,0.42897780288991993,0.46295329487219689,0.12033209449003353,0.10309916242667055
openbmi,reverse,CLASS_INDEPENDENT_SUBJECT_OFFSET,54,0.66481481481481475,0.64000000000000001,0.66384053968848777,0.63963950965001382,0.66481481481481475,0.64000000000000001,0.62676985116268691,0.64922357371245099,0.43564593436200388,0.45729454542948389,0.13002296046713038,0.10161428851089274
