dataset,direction,outer_fold,rank,ridge_lambda,mean_balanced_accuracy
stieger,chronological,0,1,0.0001,0.31953236130867707
stieger,chronological,0,2,100,0.35000790263948156
stieger,chronological,0,3,1,0.35162695590327164
stieger,chronological,0,5,1,0.37983443970286074
stieger,chronological,0,8,1,0.38237711395606133
stieger,chronological,0,13,0.10000000000000001,0.37994804014540862
stieger,chronological,1,1,10,0.30312648174490275
stieger,chronological,1,2,10,0.3058854907539118
stieger,chronological,1,3,10,0.30723684210526314
stieger,chronological,1,5,10,0.3112375533428165
stieger,chronological,1,8,10,0.31392346293662088
stieger,chronological,1,13,10,0.31593369685474948
stieger,chronological,2,1,100,0.32557057057057059
stieger,chronological,2,2,10,0.33704421526789952
stieger,chronological,2,3,10,0.33307709024814286
stieger,chronological,2,5,10,0.33170688545688548
stieger,chronological,2,8,10,0.33172359389464656
stieger,chronological,2,13,100,0.3262640271850798
stieger,chronological,3,1,10,0.39250557803189384
stieger,chronological,3,2,10,0.35885103319313844
stieger,chronological,3,3,10,0.35946528380738907
stieger,chronological,3,5,10,0.35768808795124585
stieger,chronological,3,8,10,0.35464826583247633
stieger,chronological,3,13,10,0.35346825807352128
stieger,chronological,4,1,10,0.36048675448346496
stieger,chronological,4,2,1.0000000000000001e-05,0.38332379179418652
stieger,chronological,4,3,10,0.35554131861697652
stieger,chronological,4,5,10,0.35871412573715206
stieger,chronological,4,8,10,0.35989503152332097
stieger,chronological,4,13,10,0.36105797676521367
stieger,chronological,5,1,10,0.28448327197166207
stieger,chronological,5,2,100,0.29125871282605031
stieger,chronological,5,3,0.10000000000000001,0.2884266990342842
stieger,chronological,5,5,1,0.28504410536144281
stieger,chronological,5,8,0.10000000000000001,0.30929297940133854
stieger,chronological,5,13,0.10000000000000001,0.3018731247833415
