outer_fold,method,rank,ridge_lambda,temperature,mean_balanced_accuracy,fold_scores
0,LRCM,1,1.0000000000000001e-05,0.050000000000000003,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,1.0000000000000001e-05,0.10000000000000001,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,1.0000000000000001e-05,0.20000000000000001,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,1.0000000000000001e-05,0.5,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,1.0000000000000001e-05,1,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,1.0000000000000001e-05,2,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,1.0000000000000001e-05,5,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,0.0001,0.050000000000000003,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,0.0001,0.10000000000000001,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,0.0001,0.20000000000000001,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,0.0001,0.5,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,0.0001,1,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,0.0001,2,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,0.0001,5,0.31365661257291444,0.31693622802368926|0.34134301603675471|0.2990097642574423|0.30238936304725772|0.30860469149942837
0,LRCM,1,0.001,0.050000000000000003,0.31400996832100703,0.31693622802368926|0.34068512129991263|0.30023826548594351|0.30238936304725772|0.30980086374823218
0,LRCM,1,0.001,0.10000000000000001,0.31400996832100703,0.31693622802368926|0.34068512129991263|0.30023826548594351|0.30238936304725772|0.30980086374823218
0,LRCM,1,0.001,0.20000000000000001,0.31400996832100703,0.31693622802368926|0.34068512129991263|0.30023826548594351|0.30238936304725772|0.30980086374823218
0,LRCM,1,0.001,0.5,0.31400996832100703,0.31693622802368926|0.34068512129991263|0.30023826548594351|0.30238936304725772|0.30980086374823218
0,LRCM,1,0.001,1,0.31400996832100703,0.31693622802368926|0.34068512129991263|0.30023826548594351|0.30238936304725772|0.30980086374823218
0,LRCM,1,0.001,2,0.31400996832100703,0.31693622802368926|0.34068512129991263|0.30023826548594351|0.30238936304725772|0.30980086374823218
0,LRCM,1,0.001,5,0.31400996832100703,0.31693622802368926|0.34068512129991263|0.30023826548594351|0.30238936304725772|0.30980086374823218
0,LRCM,1,0.01,0.050000000000000003,0.31315053831684025,0.31626055234801365|0.33860277579651449|0.30266293896324858|0.29970345345345339|0.30852297102297105
0,LRCM,1,0.01,0.10000000000000001,0.31315053831684025,0.31626055234801365|0.33860277579651449|0.30266293896324858|0.29970345345345339|0.30852297102297105
0,LRCM,1,0.01,0.20000000000000001,0.31315053831684025,0.31626055234801365|0.33860277579651449|0.30266293896324858|0.29970345345345339|0.30852297102297105
0,LRCM,1,0.01,0.5,0.31315053831684025,0.31626055234801365|0.33860277579651449|0.30266293896324858|0.29970345345345339|0.30852297102297105
0,LRCM,1,0.01,1,0.31315053831684025,0.31626055234801365|0.33860277579651449|0.30266293896324858|0.29970345345345339|0.30852297102297105
0,LRCM,1,0.01,2,0.31315053831684025,0.31626055234801365|0.33860277579651449|0.30266293896324858|0.29970345345345339|0.30852297102297105
0,LRCM,1,0.01,5,0.31315053831684025,0.31626055234801365|0.33860277579651449|0.30266293896324858|0.29970345345345339|0.30852297102297105
0,LRCM,1,0.10000000000000001,0.050000000000000003,0.31305230644295978,0.32015260229269515|0.3346741274826574|0.29942843209097086|0.29900900900900901|0.31199736133946659
0,LRCM,1,0.10000000000000001,0.10000000000000001,0.31305230644295978,0.32015260229269515|0.3346741274826574|0.29942843209097086|0.29900900900900901|0.31199736133946659
0,LRCM,1,0.10000000000000001,0.20000000000000001,0.31305230644295978,0.32015260229269515|0.3346741274826574|0.29942843209097086|0.29900900900900901|0.31199736133946659
0,LRCM,1,0.10000000000000001,0.5,0.31305230644295978,0.32015260229269515|0.3346741274826574|0.29942843209097086|0.29900900900900901|0.31199736133946659
0,LRCM,1,0.10000000000000001,1,0.31305230644295978,0.32015260229269515|0.3346741274826574|0.29942843209097086|0.29900900900900901|0.31199736133946659
0,LRCM,1,0.10000000000000001,2,0.31305230644295978,0.32015260229269515|0.3346741274826574|0.29942843209097086|0.29900900900900901|0.31199736133946659
0,LRCM,1,0.10000000000000001,5,0.31305230644295978,0.32015260229269515|0.3346741274826574|0.29942843209097086|0.29900900900900901|0.31199736133946659
0,LRCM,1,1,0.050000000000000003,0.31155872159998349,0.31382049619278723|0.32448717986376785|0.29846682756899479|0.30610854275327959|0.31491056162108794
0,LRCM,1,1,0.10000000000000001,0.31155872159998349,0.31382049619278723|0.32448717986376785|0.29846682756899479|0.30610854275327959|0.31491056162108794
0,LRCM,1,1,0.20000000000000001,0.31155872159998349,0.31382049619278723|0.32448717986376785|0.29846682756899479|0.30610854275327959|0.31491056162108794
0,LRCM,1,1,0.5,0.31155872159998349,0.31382049619278723|0.32448717986376785|0.29846682756899479|0.30610854275327959|0.31491056162108794
0,LRCM,1,1,1,0.31155872159998349,0.31382049619278723|0.32448717986376785|0.29846682756899479|0.30610854275327959|0.31491056162108794
0,LRCM,1,1,2,0.31155872159998349,0.31382049619278723|0.32448717986376785|0.29846682756899479|0.30610854275327959|0.31491056162108794
0,LRCM,1,1,5,0.31155872159998349,0.31382049619278723|0.32448717986376785|0.29846682756899479|0.30610854275327959|0.31491056162108794
0,LRCM,1,10,0.050000000000000003,0.31513028027979456,0.32382884045035748|0.32532279256417185|0.31041653460384111|0.30221954096954096|0.3138636928110613
0,LRCM,1,10,0.10000000000000001,0.31513028027979456,0.32382884045035748|0.32532279256417185|0.31041653460384111|0.30221954096954096|0.3138636928110613
0,LRCM,1,10,0.20000000000000001,0.31513028027979456,0.32382884045035748|0.32532279256417185|0.31041653460384111|0.30221954096954096|0.3138636928110613
0,LRCM,1,10,0.5,0.31513028027979456,0.32382884045035748|0.32532279256417185|0.31041653460384111|0.30221954096954096|0.3138636928110613
0,LRCM,1,10,1,0.31513028027979456,0.32382884045035748|0.32532279256417185|0.31041653460384111|0.30221954096954096|0.3138636928110613
0,LRCM,1,10,2,0.31513028027979456,0.32382884045035748|0.32532279256417185|0.31041653460384111|0.30221954096954096|0.3138636928110613
0,LRCM,1,10,5,0.31513028027979456,0.32382884045035748|0.32532279256417185|0.31041653460384111|0.30221954096954096|0.3138636928110613
0,LRCM,1,100,0.050000000000000003,0.31618037912014108,0.3329630714305637|0.32269022578686823|0.31634277013533985|0.30401245230192597|0.30489337594600752
