outer_fold,method,rank,ridge_lambda,temperature,mean_balanced_accuracy,fold_scores
0,LRCM,1,1.0000000000000001e-05,0.050000000000000003,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,1.0000000000000001e-05,0.10000000000000001,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,1.0000000000000001e-05,0.20000000000000001,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,1.0000000000000001e-05,0.5,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,1.0000000000000001e-05,1,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,1.0000000000000001e-05,2,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,1.0000000000000001e-05,5,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,0.0001,0.050000000000000003,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,0.0001,0.10000000000000001,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,0.0001,0.20000000000000001,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,0.0001,0.5,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,0.0001,1,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,0.0001,2,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,0.0001,5,0.33211039891893218,0.38322280927544089|0.33321893432574551|0.31293284911705965|0.32250020109395106|0.30867720078246391
0,LRCM,1,0.001,0.050000000000000003,0.3320903918989252,0.38185062882431303|0.33387682906258759|0.31416135034556086|0.32250020109395106|0.30806295016821328
0,LRCM,1,0.001,0.10000000000000001,0.3320903918989252,0.38185062882431303|0.33387682906258759|0.31416135034556086|0.32250020109395106|0.30806295016821328
0,LRCM,1,0.001,0.20000000000000001,0.3320903918989252,0.38185062882431303|0.33387682906258759|0.31416135034556086|0.32250020109395106|0.30806295016821328
0,LRCM,1,0.001,0.5,0.3320903918989252,0.38185062882431303|0.33387682906258759|0.31416135034556086|0.32250020109395106|0.30806295016821328
0,LRCM,1,0.001,1,0.3320903918989252,0.38185062882431303|0.33387682906258759|0.31416135034556086|0.32250020109395106|0.30806295016821328
0,LRCM,1,0.001,2,0.3320903918989252,0.38185062882431303|0.33387682906258759|0.31416135034556086|0.32250020109395106|0.30806295016821328
0,LRCM,1,0.001,5,0.3320903918989252,0.38185062882431303|0.33387682906258759|0.31416135034556086|0.32250020109395106|0.30806295016821328
0,LRCM,1,0.01,0.050000000000000003,0.33143835229951712,0.37987694461378674|0.33451694286059608|0.31474506803454178|0.32120219255910043|0.30685061342956077
0,LRCM,1,0.01,0.10000000000000001,0.33143835229951712,0.37987694461378674|0.33451694286059608|0.31474506803454178|0.32120219255910043|0.30685061342956077
0,LRCM,1,0.01,0.20000000000000001,0.33143835229951712,0.37987694461378674|0.33451694286059608|0.31474506803454178|0.32120219255910043|0.30685061342956077
0,LRCM,1,0.01,0.5,0.33143835229951712,0.37987694461378674|0.33451694286059608|0.31474506803454178|0.32120219255910043|0.30685061342956077
0,LRCM,1,0.01,1,0.33143835229951712,0.37987694461378674|0.33451694286059608|0.31474506803454178|0.32120219255910043|0.30685061342956077
0,LRCM,1,0.01,2,0.33143835229951712,0.37987694461378674|0.33451694286059608|0.31474506803454178|0.32120219255910043|0.30685061342956077
0,LRCM,1,0.01,5,0.33143835229951712,0.37987694461378674|0.33451694286059608|0.31474506803454178|0.32120219255910043|0.30685061342956077
0,LRCM,1,0.10000000000000001,0.050000000000000003,0.32899539498813873,0.37269138499401661|0.32779780831251421|0.30933355604408236|0.32532934602835917|0.30982487956172161
0,LRCM,1,0.10000000000000001,0.10000000000000001,0.32899539498813873,0.37269138499401661|0.32779780831251421|0.30933355604408236|0.32532934602835917|0.30982487956172161
0,LRCM,1,0.10000000000000001,0.20000000000000001,0.32899539498813873,0.37269138499401661|0.32779780831251421|0.30933355604408236|0.32532934602835917|0.30982487956172161
0,LRCM,1,0.10000000000000001,0.5,0.32899539498813873,0.37269138499401661|0.32779780831251421|0.30933355604408236|0.32532934602835917|0.30982487956172161
0,LRCM,1,0.10000000000000001,1,0.32899539498813873,0.37269138499401661|0.32779780831251421|0.30933355604408236|0.32532934602835917|0.30982487956172161
0,LRCM,1,0.10000000000000001,2,0.32899539498813873,0.37269138499401661|0.32779780831251421|0.30933355604408236|0.32532934602835917|0.30982487956172161
0,LRCM,1,0.10000000000000001,5,0.32899539498813873,0.37269138499401661|0.32779780831251421|0.30933355604408236|0.32532934602835917|0.30982487956172161
0,LRCM,1,1,0.050000000000000003,0.33053340565772837,0.38687176838492632|0.31846290009602707|0.30647154331364851|0.32347716489986222|0.31738365159417792
0,LRCM,1,1,0.10000000000000001,0.33053340565772837,0.38687176838492632|0.31846290009602707|0.30647154331364851|0.32347716489986222|0.31738365159417792
0,LRCM,1,1,0.20000000000000001,0.33053340565772837,0.38687176838492632|0.31846290009602707|0.30647154331364851|0.32347716489986222|0.31738365159417792
0,LRCM,1,1,0.5,0.33053340565772837,0.38687176838492632|0.31846290009602707|0.30647154331364851|0.32347716489986222|0.31738365159417792
0,LRCM,1,1,1,0.33053340565772837,0.38687176838492632|0.31846290009602707|0.30647154331364851|0.32347716489986222|0.31738365159417792
0,LRCM,1,1,2,0.33053340565772837,0.38687176838492632|0.31846290009602707|0.30647154331364851|0.32347716489986222|0.31738365159417792
0,LRCM,1,1,5,0.33053340565772837,0.38687176838492632|0.31846290009602707|0.30647154331364851|0.32347716489986222|0.31738365159417792
0,LRCM,1,10,0.050000000000000003,0.32606367789852697,0.38355915125651968|0.3157592095633891|0.30028593186487923|0.32123577877689719|0.30947831803094966
0,LRCM,1,10,0.10000000000000001,0.32606367789852697,0.38355915125651968|0.3157592095633891|0.30028593186487923|0.32123577877689719|0.30947831803094966
0,LRCM,1,10,0.20000000000000001,0.32606367789852697,0.38355915125651968|0.3157592095633891|0.30028593186487923|0.32123577877689719|0.30947831803094966
0,LRCM,1,10,0.5,0.32606367789852697,0.38355915125651968|0.3157592095633891|0.30028593186487923|0.32123577877689719|0.30947831803094966
0,LRCM,1,10,1,0.32606367789852697,0.38355915125651968|0.3157592095633891|0.30028593186487923|0.32123577877689719|0.30947831803094966
0,LRCM,1,10,2,0.32606367789852697,0.38355915125651968|0.3157592095633891|0.30028593186487923|0.32123577877689719|0.30947831803094966
0,LRCM,1,10,5,0.32606367789852697,0.38355915125651968|0.3157592095633891|0.30028593186487923|0.32123577877689719|0.30947831803094966
0,LRCM,1,100,0.050000000000000003,0.32755363077005872,0.38725462304409669|0.31709080431603653|0.29900714111240428|0.32320946298742348|0.31120612239033291
0,LRCM,1,100,0.10000000000000001,0.32755363077005872,0.38725462304409669|0.31709080431603653|0.29900714111240428|0.32320946298742348|0.31120612239033291
0,LRCM,1,100,0.20000000000000001,0.32755363077005872,0.38725462304409669|0.31709080431603653|0.29900714111240428|0.32320946298742348|0.31120612239033291
0,LRCM,1,100,0.5,0.32755363077005872,0.38725462304409669|0.31709080431603653|0.29900714111240428|0.32320946298742348|0.31120612239033291
0,LRCM,1,100,1,0.32755363077005872,0.38725462304409669|0.31709080431603653|0.29900714111240428|0.32320946298742348|0.31120612239033291
0,LRCM,1,100,2,0.32755363077005872,0.38725462304409669|0.31709080431603653|0.29900714111240428|0.32320946298742348|0.31120612239033291
0,LRCM,1,100,5,0.32755363077005872,0.38725462304409669|0.31709080431603653|0.29900714111240428|0.32320946298742348|0.31120612239033291
0,LRCM,2,1.0000000000000001e-05,0.050000000000000003,0.31719851630735918,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29454148109575745|0.31292846161267218
0,LRCM,2,1.0000000000000001e-05,0.10000000000000001,0.31719851630735918,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29454148109575745|0.31292846161267218
0,LRCM,2,1.0000000000000001e-05,0.20000000000000001,0.31719851630735918,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29454148109575745|0.31292846161267218
0,LRCM,2,1.0000000000000001e-05,0.5,0.31719851630735918,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29454148109575745|0.31292846161267218
0,LRCM,2,1.0000000000000001e-05,1,0.31719851630735918,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29454148109575745|0.31292846161267218
0,LRCM,2,1.0000000000000001e-05,2,0.31719851630735918,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29454148109575745|0.31292846161267218
0,LRCM,2,1.0000000000000001e-05,5,0.31719851630735918,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29454148109575745|0.31292846161267218
0,LRCM,2,0.0001,0.050000000000000003,0.31733009525472761,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.0001,0.10000000000000001,0.31733009525472761,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.0001,0.20000000000000001,0.31733009525472761,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.0001,0.5,0.31733009525472761,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.0001,1,0.31733009525472761,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.0001,2,0.31733009525472761,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.0001,5,0.31733009525472761,0.32856936824042088|0.32752019157591911|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.001,0.050000000000000003,0.31706693735999075,0.32791147350357874|0.32686229683907703|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.001,0.10000000000000001,0.31706693735999075,0.32791147350357874|0.32686229683907703|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.001,0.20000000000000001,0.31706693735999075,0.32791147350357874|0.32686229683907703|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.001,0.5,0.31706693735999075,0.32791147350357874|0.32686229683907703|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.001,1,0.31706693735999075,0.32791147350357874|0.32686229683907703|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.001,2,0.31706693735999075,0.32791147350357874|0.32686229683907703|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.001,5,0.31706693735999075,0.32791147350357874|0.32686229683907703|0.32243307901202639|0.29519937583259953|0.31292846161267218
0,LRCM,2,0.01,0.050000000000000003,0.31772939202244543,0.32856838041048564|0.32626384124062147|0.32306439214333954|0.29845229980920773|0.31229804650857279
0,LRCM,2,0.01,0.10000000000000001,0.31772939202244543,0.32856838041048564|0.32626384124062147|0.32306439214333954|0.29845229980920773|0.31229804650857279
0,LRCM,2,0.01,0.20000000000000001,0.31772939202244543,0.32856838041048564|0.32626384124062147|0.32306439214333954|0.29845229980920773|0.31229804650857279
0,LRCM,2,0.01,0.5,0.31772939202244543,0.32856838041048564|0.32626384124062147|0.32306439214333954|0.29845229980920773|0.31229804650857279
0,LRCM,2,0.01,1,0.31772939202244543,0.32856838041048564|0.32626384124062147|0.32306439214333954|0.29845229980920773|0.31229804650857279
0,LRCM,2,0.01,2,0.31772939202244543,0.32856838041048564|0.32626384124062147|0.32306439214333954|0.29845229980920773|0.31229804650857279
0,LRCM,2,0.01,5,0.31772939202244543,0.32856838041048564|0.32626384124062147|0.32306439214333954|0.29845229980920773|0.31229804650857279
0,LRCM,2,0.10000000000000001,0.050000000000000003,0.31801805594268828,0.33168975366343789|0.32551506614974113|0.31632469790364526|0.30367989582627741|0.31288086617033989
0,LRCM,2,0.10000000000000001,0.10000000000000001,0.31801805594268828,0.33168975366343789|0.32551506614974113|0.31632469790364526|0.30367989582627741|0.31288086617033989
0,LRCM,2,0.10000000000000001,0.20000000000000001,0.31801805594268828,0.33168975366343789|0.32551506614974113|0.31632469790364526|0.30367989582627741|0.31288086617033989
