protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,subject,split,D_shape_norm,G_shape_norm,D_upper_mean,D_upper_max,class_radius_mean,class_radius_max
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,1,A,4.442518286142928,3.9883266181895887,1.715333237646835,2.2030710765132833,1.105432952528683,1.2754545979433853
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,1,B,5.209327633610475,6.300075352479789,1.9534690922923266,2.880648069434312,1.2884600126270793,1.5179949796795178
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,1,F,4.683102714741704,4.88469078402024,1.7709907043754953,2.506748459974084,1.163810497072062,1.3174556102204769
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,2,A,2.1002370625836586,0.703299220033864,0.8459658794913243,1.0231898653286078,0.5145822955583242,0.5886774775105924
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,2,B,1.7655286489665243,0.5182590975407377,0.705899797308995,0.919336996586468,0.430487734993066,0.563904594614149
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,2,F,1.7557772394130844,0.5009235342280961,0.704490010718145,0.8884629284495202,0.4300661808943797,0.531979946072673
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,3,A,4.285678507067046,3.4608212887674648,1.6994102707771275,2.2485966571214138,1.0492946093985942,1.3059454859439072
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,3,B,3.8372513475718284,2.7023300356457836,1.5245897465457228,2.078834173520822,0.9408923292497344,1.115822956946578
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,3,F,3.972265733768145,2.9715656355173934,1.57403767220664,2.1367146378349693,0.9723530372256519,1.1822752681469029
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,4,A,2.8343443929467917,1.7484232082113371,1.0883707323618517,1.5039134443828273,0.7040268306711248,0.801352408730232
