protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,subject,influence,subject_score,subject_effect,discovery_subject_effect,confirmatory_subject_effect,discovery_confirmatory_effect_delta,airm_minus_le_subject_effect_delta
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,4,0.0005448144946182953,0.9679464229942034,0.029745011722986492,0.005200963336146391,0.029745011722986492,0.0245440483868401,-0.0038967867542069046
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,5,-0.0006778166756660209,0.9922719646590601,0.008032289155244565,0.00819685122958247,0.008032289155244565,-0.00016456207433790393,6.13772820178271e-05
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,6,0.0012226311702843162,0.9576635158801632,-0.015687985816350336,-3.954458708466113e-05,-0.015687985816350336,-0.015648441229265675,0.0010916478622808867
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,7,-0.0006778166756660209,0.9953462486365388,0.03154951647778881,0.036488481856745913,0.03154951647778881,-0.004938965378957105,-0.006650568165877835
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,8,-0.0006778166756660209,0.970391685334772,0.0071701830509123266,0.010076064237501625,0.0071701830509123266,-0.0029058811865892986,-0.0015198607607166403
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,9,0.0012226311702843162,0.9589495536980907,0.017586881533445342,0.028557860346710595,0.017586881533445342,-0.010970978813265253,-0.0043377198689443786
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,1,0.004602718261172867,0.962210182595808,0.14180147161989742,0.13455652965191423,0.14180147161989742,0.007244941967983198,-0.027333405267888966
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,2,0.004602718261172867,0.8945927194700772,0.09105241228407712,0.006980327251912444,0.09105241228407712,0.08407208503216468,0.0218980093965484
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,3,-0.005406876816349437,0.9822293727508526,0.10832418384553166,0.12589324275145963,0.10832418384553166,-0.01756905890592797,-0.017139623451046693
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,4,-0.005406876816349437,0.9847688218769912,0.08328877860502848,-0.06426714364849329,0.08328877860502848,0.14755592225352177,-0.03636221698189601
