target,source,session,heldout_class,numerical_nullity,approximate_nullity,numerical_tolerance,approximate_tolerance,largest_singular_value,smallest_singular_value
1,2,0train,left_hand,0,0,2.327433569186475e-13,7.218890464819416e-09,0.7218890464819416,0.04041741320709399
1,2,0train,right_hand,0,0,2.3504994425207865e-13,7.290432791646813e-09,0.7290432791646813,0.04074454686882465
1,2,0train,feet,0,0,1.4060676245856076e-13,4.361133354091915e-09,0.4361133354091915,0.039052746026649876
1,2,0train,tongue,0,0,2.2843795005979224e-13,7.085351699494217e-09,0.7085351699494217,0.0408015590964941
1,2,1test,left_hand,0,0,2.0174150690506615e-13,6.257320766686077e-09,0.6257320766686076,0.03279120020140244
1,2,1test,right_hand,0,0,2.0153258527914953e-13,6.250840743568805e-09,0.6250840743568805,0.031114009152072377
1,2,1test,feet,0,0,1.252386817887457e-13,3.884468874904733e-09,0.38844688749047335,0.03438092637890921
1,2,1test,tongue,0,0,1.906603575235704e-13,5.913622004803561e-09,0.5913622004803561,0.032671083191665576
1,3,0train,left_hand,0,0,3.5499617919115495e-13,1.1010748349333577e-08,1.1010748349333577,0.047579306714421156
1,3,0train,right_hand,0,0,3.0449983739252415e-13,9.444527232888075e-09,0.9444527232888075,0.041617850371210394
1,3,0train,feet,0,0,3.599178683564994e-13,1.1163402051062767e-08,1.1163402051062767,0.04578553450108689
1,3,0train,tongue,0,0,3.639113780275703e-13,1.1287266849041662e-08,1.1287266849041662,0.04622164734681207
1,3,1test,left_hand,0,0,4.0558894270415304e-13,1.257996013242436e-08,1.257996013242436,0.05393120019985768
1,3,1test,right_hand,0,0,3.3221283688879716e-13,1.0304088212259519e-08,1.030408821225952,0.05365530583083887
1,3,1test,feet,0,0,3.756499659823266e-13,1.1651357071761332e-08,1.1651357071761332,0.055050269251476616
1,3,1test,tongue,0,0,3.80973768911972e-13,1.1816482945660403e-08,1.1816482945660403,0.05587060978937712
1,4,0train,left_hand,0,0,1.425737177019393e-13,4.422141473245732e-09,0.44221414732457315,0.03923407301077879
1,4,0train,right_hand,0,0,1.310021203435556e-13,4.063230718760206e-09,0.40632307187602057,0.03765310063725033
1,4,0train,feet,0,0,1.3871299349502716e-13,4.30239521911605e-09,0.43023952191160497,0.03881026159050548
1,4,0train,tongue,0,0,1.3690367219696655e-13,4.246276357382308e-09,0.4246276357382308,0.03913294446971784
