target,middle,source,session,heldout_class,relative_induced_cycle_discrepancy
1,2,3,0train,left_hand,0.7017189258667661
1,2,3,0train,right_hand,0.8375673826107309
1,2,3,0train,feet,0.6795912753593717
1,2,3,0train,tongue,0.8035207021714244
1,2,3,1test,left_hand,0.6269612840096315
1,2,3,1test,right_hand,0.6553565211400801
1,2,3,1test,feet,0.6291853128428918
1,2,3,1test,tongue,0.6116423604412904
1,2,4,0train,left_hand,0.8435257283409103
1,2,4,0train,right_hand,0.8251550066272292
1,2,4,0train,feet,0.832511847554914
1,2,4,0train,tongue,0.8580393311780848
1,2,4,1test,left_hand,0.5856736832158933
1,2,4,1test,right_hand,0.5820136509150208
1,2,4,1test,feet,0.5742101998859174
1,2,4,1test,tongue,0.5013644762154539
1,2,5,0train,left_hand,0.8267160910094662
1,2,5,0train,right_hand,0.7784071402898772
1,2,5,0train,feet,0.8168563229907858
1,2,5,0train,tongue,0.9207142535929159
1,2,5,1test,left_hand,0.9212993269467045
1,2,5,1test,right_hand,0.9874766920042423
1,2,5,1test,feet,0.9150626520715338
1,2,5,1test,tongue,0.8643862819041641
1,2,6,0train,left_hand,0.8253711298979836
1,2,6,0train,right_hand,0.7837841091394618
1,2,6,0train,feet,0.8694490143079184
1,2,6,0train,tongue,0.8129494879280806
1,2,6,1test,left_hand,0.7934370643647628
1,2,6,1test,right_hand,0.7978104116331671
1,2,6,1test,feet,0.911245916430842
1,2,6,1test,tongue,0.822384933158087
1,2,7,0train,left_hand,0.7153008107019179
1,2,7,0train,right_hand,0.6462997933317588
1,2,7,0train,feet,0.6226594616535072
1,2,7,0train,tongue,0.7490990988935938
1,2,7,1test,left_hand,0.6407619500154782
1,2,7,1test,right_hand,0.589203015899515
1,2,7,1test,feet,0.6590119020115095
1,2,7,1test,tongue,0.6486384173919801
1,2,8,0train,left_hand,0.7953209459002551
1,2,8,0train,right_hand,0.7859631192182055
1,2,8,0train,feet,0.7364093377209913
1,2,8,0train,tongue,0.9272801639808278
1,2,8,1test,left_hand,0.8221223820542475
1,2,8,1test,right_hand,0.857776437048499
1,2,8,1test,feet,0.83184246619904
1,2,8,1test,tongue,0.9383728949018082
1,2,9,0train,left_hand,0.7113734585905483
1,2,9,0train,right_hand,0.5441631833663888
