target,source,train_session,test_session,direction_index,direction,heldout_class,heldout_index,raw_error,action_error,gain,D_eq,D_split,D_threshold,identifiability
1,2,0train,1test,0,0train->1test,left_hand,0,1.3262036821423895,1.194998399675173,0.13120528246721652,0.0,1.4260688207864278,1.4260688207864278,PREDICTIVELY_IDENTIFIABLE
1,2,0train,1test,0,0train->1test,right_hand,1,0.9128264353553318,0.8310755054742311,0.08175092988110066,0.0,1.4559800693327105,1.4559800693327105,PREDICTIVELY_IDENTIFIABLE
1,2,0train,1test,0,0train->1test,feet,2,0.8848558932072907,0.8213852505870511,0.0634706426202396,0.0,1.4157007927206593,1.4157007927206593,PREDICTIVELY_IDENTIFIABLE
1,2,0train,1test,0,0train->1test,tongue,3,1.5034631766906663,1.4980919875927763,0.005371189097890028,0.0,1.0769182536286555,1.0769182536286555,PREDICTIVELY_IDENTIFIABLE
1,2,1test,0train,1,1test->0train,left_hand,0,0.9145633891781076,0.7233165461993674,0.19124684297874028,0.0,1.5426423544160792,1.5426423544160792,PREDICTIVELY_IDENTIFIABLE
1,2,1test,0train,1,1test->0train,right_hand,1,1.0852193966200523,0.8503229617834863,0.23489643483656597,0.0,1.4506552713623233,1.4506552713623233,PREDICTIVELY_IDENTIFIABLE
1,2,1test,0train,1,1test->0train,feet,2,1.2897404157161507,0.7347538060615733,0.5549866096545775,0.0,1.2534412959096708,1.2534412959096708,PREDICTIVELY_IDENTIFIABLE
1,2,1test,0train,1,1test->0train,tongue,3,1.2626621431498937,1.268762990063376,-0.006100846913482227,0.0,1.551938494638718,1.551938494638718,PREDICTIVELY_IDENTIFIABLE
1,3,0train,1test,0,0train->1test,left_hand,0,0.3827121086846448,0.36464635048538674,0.018065758199258042,0.0,0.8432297598593792,0.8432297598593792,PREDICTIVELY_IDENTIFIABLE
1,3,0train,1test,0,0train->1test,right_hand,1,0.4838895075007916,0.2956345117257203,0.18825499577507132,0.0,0.6785709033006586,0.6785709033006586,PREDICTIVELY_IDENTIFIABLE
1,3,0train,1test,0,0train->1test,feet,2,0.6925886071348515,0.5781149236980999,0.11447368343675157,0.0,1.057097159861656,1.057097159861656,PREDICTIVELY_IDENTIFIABLE
1,3,0train,1test,0,0train->1test,tongue,3,0.3976435859531211,0.22539840586019597,0.17224518009292514,0.0,0.6519855874164019,0.6519855874164019,PREDICTIVELY_IDENTIFIABLE
1,3,1test,0train,1,1test->0train,left_hand,0,0.4426918429915006,0.40239880986342513,0.04029303312807547,0.0,0.8948761533250673,0.8948761533250673,PREDICTIVELY_IDENTIFIABLE
1,3,1test,0train,1,1test->0train,right_hand,1,0.4703299032472656,0.31341023125232087,0.15691967199494472,0.0,0.7343081941728096,0.7343081941728096,PREDICTIVELY_IDENTIFIABLE
1,3,1test,0train,1,1test->0train,feet,2,0.711563177210123,0.767173212113863,-0.05561003490374006,0.0,1.2390114480028007,1.2390114480028007,PREDICTIVELY_IDENTIFIABLE
1,3,1test,0train,1,1test->0train,tongue,3,0.3498899477509915,0.2695939777990933,0.08029596995189825,0.0,0.7456958050496472,0.7456958050496472,PREDICTIVELY_IDENTIFIABLE
1,4,0train,1test,0,0train->1test,left_hand,0,0.4849401045108955,0.49701618175009815,-0.012076077239202676,0.0,0.8223828174514443,0.8223828174514443,PREDICTIVELY_IDENTIFIABLE
1,4,0train,1test,0,0train->1test,right_hand,1,0.6282985847780131,0.6378989671997279,-0.009600382421714793,0.0,1.0234808119191354,1.0234808119191354,PREDICTIVELY_IDENTIFIABLE
1,4,0train,1test,0,0train->1test,feet,2,0.6682475371321217,0.3868766102419816,0.2813709268901401,0.0,0.8063198193950888,0.8063198193950888,PREDICTIVELY_IDENTIFIABLE
1,4,0train,1test,0,0train->1test,tongue,3,0.5864754203706593,0.5492100869132401,0.037265333457419114,0.0,1.0136417592312683,1.0136417592312683,PREDICTIVELY_IDENTIFIABLE
1,4,1test,0train,1,1test->0train,left_hand,0,0.6022034281812703,0.6132082530037536,-0.011004824822483328,0.0,1.2553979692871244,1.2553979692871244,PREDICTIVELY_IDENTIFIABLE
1,4,1test,0train,1,1test->0train,right_hand,1,0.8705845628709873,0.850825743365921,0.019758819505066305,0.0,1.4388853606595884,1.4388853606595884,PREDICTIVELY_IDENTIFIABLE
1,4,1test,0train,1,1test->0train,feet,2,0.8413981890102857,0.842531033777187,-0.001132844766901231,0.0,1.6399298080232043,1.6399298080232043,PREDICTIVELY_IDENTIFIABLE
1,4,1test,0train,1,1test->0train,tongue,3,0.7846287622503527,0.6385811883939434,0.14604757385640932,0.0,1.1231228878219255,1.1231228878219255,PREDICTIVELY_IDENTIFIABLE
1,5,0train,1test,0,0train->1test,left_hand,0,0.8382298701372656,0.8614079058570413,-0.023178035719775725,0.0,1.4487954664041522,1.4487954664041522,PREDICTIVELY_IDENTIFIABLE
1,5,0train,1test,0,0train->1test,right_hand,1,0.8455431316937153,0.8839408659667578,-0.038397734273042494,0.0,1.514197228268324,1.514197228268324,PREDICTIVELY_IDENTIFIABLE
1,5,0train,1test,0,0train->1test,feet,2,0.821675645497311,0.8895046880761766,-0.06782904257886557,0.0,1.608661550175324,1.608661550175324,PREDICTIVELY_IDENTIFIABLE
1,5,0train,1test,0,0train->1test,tongue,3,1.0024985585831598,0.8872733661400246,0.11522519244313523,0.0,1.486461645795355,1.486461645795355,PREDICTIVELY_IDENTIFIABLE
1,5,1test,0train,1,1test->0train,left_hand,0,0.7525582378837135,0.7611493859013614,-0.008591148017647932,0.0,1.4323810225344173,1.4323810225344173,PREDICTIVELY_IDENTIFIABLE
1,5,1test,0train,1,1test->0train,right_hand,1,1.008284089397645,0.9568902312132953,0.05139385818434972,0.0,1.6758023746713553,1.6758023746713553,PREDICTIVELY_IDENTIFIABLE
1,5,1test,0train,1,1test->0train,feet,2,0.9664040923783309,0.9503869672184893,0.01601712515984166,0.0,1.8159557533412451,1.8159557533412451,PREDICTIVELY_IDENTIFIABLE
1,5,1test,0train,1,1test->0train,tongue,3,0.8180277240837862,0.7694466731220841,0.048581050961702066,0.0,1.3886270085443626,1.3886270085443626,PREDICTIVELY_IDENTIFIABLE
1,6,0train,1test,0,0train->1test,left_hand,0,0.6291279084779033,0.6455038771272903,-0.01637596864938695,0.0,1.270602082124865,1.270602082124865,PREDICTIVELY_IDENTIFIABLE
1,6,0train,1test,0,0train->1test,right_hand,1,0.8058250033479958,0.7664968704873846,0.03932813286061121,0.0,1.495045472752588,1.495045472752588,PREDICTIVELY_IDENTIFIABLE
1,6,0train,1test,0,0train->1test,feet,2,0.6831832331756883,0.4609316054931484,0.22225162768253992,0.0,1.07931997131661,1.07931997131661,PREDICTIVELY_IDENTIFIABLE
1,6,0train,1test,0,0train->1test,tongue,3,1.0076405872074676,1.0971262625063334,-0.08948567529886575,0.0,1.793480199109509,1.793480199109509,PREDICTIVELY_IDENTIFIABLE
1,6,1test,0train,1,1test->0train,left_hand,0,0.5722969294484469,0.550701354265614,0.02159557518283295,0.0,1.1213199784339718,1.1213199784339718,PREDICTIVELY_IDENTIFIABLE
1,6,1test,0train,1,1test->0train,right_hand,1,0.8151314290819072,0.8562808585083764,-0.041149429426469264,0.0,1.5251250537934016,1.5251250537934016,PREDICTIVELY_IDENTIFIABLE
1,6,1test,0train,1,1test->0train,feet,2,0.8344157620553107,0.8271611730438564,0.00725458901145426,0.0,1.2182141688058294,1.2182141688058294,PREDICTIVELY_IDENTIFIABLE
1,6,1test,0train,1,1test->0train,tongue,3,0.7644833678602794,0.6866190644122993,0.07786430344798012,0.0,1.339949041085264,1.339949041085264,PREDICTIVELY_IDENTIFIABLE
1,7,0train,1test,0,0train->1test,left_hand,0,0.551858087112304,0.36635871034931883,0.18549937676298517,0.0,0.8223777664697728,0.8223777664697728,PREDICTIVELY_IDENTIFIABLE
1,7,0train,1test,0,0train->1test,right_hand,1,0.5574357594848394,0.4129631905591989,0.14447256892564048,0.0,0.8038926963965157,0.8038926963965157,PREDICTIVELY_IDENTIFIABLE
1,7,0train,1test,0,0train->1test,feet,2,1.0110109736065371,0.8428301199651943,0.16818085364134283,0.0,1.1786990254979164,1.1786990254979164,PREDICTIVELY_IDENTIFIABLE
1,7,0train,1test,0,0train->1test,tongue,3,0.3685876876851305,0.29570210433671495,0.07288558334841555,0.0,0.6968489909883621,0.6968489909883621,PREDICTIVELY_IDENTIFIABLE
1,7,1test,0train,1,1test->0train,left_hand,0,0.40631056054424175,0.30854306000183057,0.09776750054241118,0.0,0.8877413825136755,0.8877413825136755,PREDICTIVELY_IDENTIFIABLE
1,7,1test,0train,1,1test->0train,right_hand,1,0.5695256221078074,0.5037336647163291,0.06579195739147836,0.0,1.0065064992964403,1.0065064992964403,PREDICTIVELY_IDENTIFIABLE
1,7,1test,0train,1,1test->0train,feet,2,0.7969901234246488,0.7114762122756809,0.08551391114896789,0.0,1.0409139031544365,1.0409139031544365,PREDICTIVELY_IDENTIFIABLE
1,7,1test,0train,1,1test->0train,tongue,3,0.34149267499316627,0.3764791205722925,-0.034986445579126224,0.0,0.8897053458649787,0.8897053458649787,PREDICTIVELY_IDENTIFIABLE
1,8,0train,1test,0,0train->1test,left_hand,0,0.5315358594615223,0.7700999360834504,-0.23856407662192813,0.0,1.0075416385348674,1.0075416385348674,PREDICTIVELY_IDENTIFIABLE
1,8,0train,1test,0,0train->1test,right_hand,1,0.6566681228997776,1.142357635594469,-0.4856895126946913,0.0,1.2096836848870394,1.2096836848870394,PREDICTIVELY_IDENTIFIABLE
1,8,0train,1test,0,0train->1test,feet,2,1.3123529814362516,1.4085604347247096,-0.09620745328845803,0.0,1.4390944860235066,1.4390944860235066,PREDICTIVELY_IDENTIFIABLE
1,8,0train,1test,0,0train->1test,tongue,3,0.5529771751567439,0.459152866490651,0.09382430866609293,0.0,0.8224545684156152,0.8224545684156152,PREDICTIVELY_IDENTIFIABLE
1,8,1test,0train,1,1test->0train,left_hand,0,0.5959306762226059,0.8225718122941413,-0.22664113607153547,0.0,1.206072217953879,1.206072217953879,PREDICTIVELY_IDENTIFIABLE
1,8,1test,0train,1,1test->0train,right_hand,1,0.6376470461918028,0.6899841920220752,-0.05233714583027238,0.0,1.3301983482902897,1.3301983482902897,PREDICTIVELY_IDENTIFIABLE
1,8,1test,0train,1,1test->0train,feet,2,1.7543136074377055,2.19450594802166,-0.44019234058395473,0.0,1.275435884160669,1.275435884160669,PREDICTIVELY_IDENTIFIABLE
1,8,1test,0train,1,1test->0train,tongue,3,0.6707252494378364,0.5775017492378556,0.09322350019998082,0.0,0.8306230952612684,0.8306230952612684,PREDICTIVELY_IDENTIFIABLE
1,9,0train,1test,0,0train->1test,left_hand,0,1.816723480973653,1.8548959263569742,-0.03817244538332121,0.0,0.6583804158387779,0.6583804158387779,PREDICTIVELY_IDENTIFIABLE
1,9,0train,1test,0,0train->1test,right_hand,1,1.1787910205332925,1.0531997688076078,0.12559125172568475,0.0,1.4489787854415095,1.4489787854415095,PREDICTIVELY_IDENTIFIABLE
1,9,0train,1test,0,0train->1test,feet,2,1.3143986082396757,1.2330683170534456,0.08133029118623014,0.0,1.178106028455918,1.178106028455918,PREDICTIVELY_IDENTIFIABLE
1,9,0train,1test,0,0train->1test,tongue,3,0.8810195613382735,0.8260618019918267,0.054957759346446866,0.0,0.6898169471480639,0.6898169471480639,PREDICTIVELY_IDENTIFIABLE
1,9,1test,0train,1,1test->0train,left_hand,0,0.36814465355125053,0.5071244534752138,-0.1389797999239633,0.0,0.918116305756614,0.918116305756614,PREDICTIVELY_IDENTIFIABLE
