target,source,train_session,test_session,heldout_class,permutation_index,gain
1,4,1test,0train,right_hand,2,0.0928354981088938
1,4,1test,0train,right_hand,3,-0.11209712737933486
1,4,1test,0train,right_hand,4,-0.018756815906803892
1,4,1test,0train,feet,0,-0.1338293461276434
1,4,1test,0train,feet,1,0.012639303076141473
1,4,1test,0train,feet,2,-0.11819638406165134
1,4,1test,0train,feet,3,-0.017798158119731622
1,4,1test,0train,feet,4,0.013275716056310172
1,4,1test,0train,tongue,0,-0.09622746912832936
1,4,1test,0train,tongue,1,0.1630177901080252
1,4,1test,0train,tongue,2,-0.0018431391484574622
1,4,1test,0train,tongue,3,-0.10945451779186066
1,4,1test,0train,tongue,4,-0.05959441064504134
1,5,0train,1test,left_hand,0,-0.04858459402861404
1,5,0train,1test,left_hand,1,-0.06783346279528557
1,5,0train,1test,left_hand,2,-0.16292053850761323
1,5,0train,1test,left_hand,3,-0.060483195471961126
1,5,0train,1test,left_hand,4,-0.20242638277545277
1,5,0train,1test,right_hand,0,-0.06575055031997024
1,5,0train,1test,right_hand,1,-0.01580769376835167
1,5,0train,1test,right_hand,2,-0.16142384147692768
1,5,0train,1test,right_hand,3,-0.14293570302752878
1,5,0train,1test,right_hand,4,-0.1298350393550326
1,5,0train,1test,feet,0,-0.030229143882145926
1,5,0train,1test,feet,1,-0.08330842169819597
1,5,0train,1test,feet,2,-0.05673664397579903
1,5,0train,1test,feet,3,-0.1832684640684411
1,5,0train,1test,feet,4,-0.17324246236662555
1,5,0train,1test,tongue,0,0.0008304027165990657
1,5,0train,1test,tongue,1,0.12735450251056235
1,5,0train,1test,tongue,2,0.06378377149965597
1,5,0train,1test,tongue,3,0.02576881582534729
1,5,0train,1test,tongue,4,0.07874427616240787
1,5,1test,0train,left_hand,0,0.011751264695137875
1,5,1test,0train,left_hand,1,-0.015073715819176159
1,5,1test,0train,left_hand,2,-0.12187552896596998
1,5,1test,0train,left_hand,3,-0.08819877554422528
1,5,1test,0train,left_hand,4,-0.10176690373657449
1,5,1test,0train,right_hand,0,0.04024066116887859
1,5,1test,0train,right_hand,1,0.08726657816315309
1,5,1test,0train,right_hand,2,-0.012405410953896245
1,5,1test,0train,right_hand,3,-0.028874550328138904
1,5,1test,0train,right_hand,4,-0.04187767929859243
1,5,1test,0train,feet,0,-0.03640104853073478
1,5,1test,0train,feet,1,-0.00720605972454591
1,5,1test,0train,feet,2,-0.0004782328748215159
1,5,1test,0train,feet,3,0.03339823492826699
1,5,1test,0train,feet,4,0.06493932976572447
1,5,1test,0train,tongue,0,-0.12525670785156862
1,5,1test,0train,tongue,1,0.024563884108607548
1,5,1test,0train,tongue,2,-0.09748140303113018
1,5,1test,0train,tongue,3,-0.08491774868487312
1,5,1test,0train,tongue,4,-0.0485285551586595
1,6,0train,1test,left_hand,0,-0.011220888660140926
1,6,0train,1test,left_hand,1,-0.05147741831951236
1,6,0train,1test,left_hand,2,-0.04499433975458722
1,6,0train,1test,left_hand,3,-0.06702412840764682
1,6,0train,1test,left_hand,4,-0.044995713657103864
1,6,0train,1test,right_hand,0,-0.07615556365484544
1,6,0train,1test,right_hand,1,-0.013797183572267446
1,6,0train,1test,right_hand,2,-0.11398599817274102
1,6,0train,1test,right_hand,3,-0.04256550996109254
1,6,0train,1test,right_hand,4,-0.13362686729704565
1,6,0train,1test,feet,0,-0.13128618365289413
1,6,0train,1test,feet,1,0.20726186742822916
1,6,0train,1test,feet,2,-0.12117138095779079
1,6,0train,1test,feet,3,-0.018561736004115703
1,6,0train,1test,feet,4,-0.004239565733410999
1,6,0train,1test,tongue,0,0.013411277696340318
1,6,0train,1test,tongue,1,-0.07836028856066823
1,6,0train,1test,tongue,2,0.0362158286722124
1,6,0train,1test,tongue,3,-0.016924462535425455
1,6,0train,1test,tongue,4,-0.022607025465267716
1,6,1test,0train,left_hand,0,0.001053775910663135
1,6,1test,0train,left_hand,1,-0.16578422828566775
1,6,1test,0train,left_hand,2,-0.13071719039757823
1,6,1test,0train,left_hand,3,-0.1465355654477264
1,6,1test,0train,left_hand,4,-0.10231662162881183
1,6,1test,0train,right_hand,0,0.062602986242556
1,6,1test,0train,right_hand,1,-0.07891292728121213
1,6,1test,0train,right_hand,2,0.06222041111808063
1,6,1test,0train,right_hand,3,-0.09079727113497416
1,6,1test,0train,right_hand,4,-0.007182266563039108
1,6,1test,0train,feet,0,0.21919017714101074
1,6,1test,0train,feet,1,0.05581126010845883
1,6,1test,0train,feet,2,0.27450492407917426
1,6,1test,0train,feet,3,0.0354715112679751
1,6,1test,0train,feet,4,0.09614331575779866
1,6,1test,0train,tongue,0,-0.11289179593318865
1,6,1test,0train,tongue,1,0.05613329639425002
1,6,1test,0train,tongue,2,-0.08798123015041692
1,6,1test,0train,tongue,3,-0.07017397284252036
1,6,1test,0train,tongue,4,-0.044579478639861336
1,7,0train,1test,left_hand,0,0.16690182523688374
1,7,0train,1test,left_hand,1,-0.30854139701639416
1,7,0train,1test,left_hand,2,-0.3607955149450045
1,7,0train,1test,left_hand,3,-0.3918710379548701
1,7,0train,1test,left_hand,4,-0.4874336937241004
1,7,0train,1test,right_hand,0,0.12388586893923886
1,7,0train,1test,right_hand,1,-0.19710174811920722
1,7,0train,1test,right_hand,2,-0.22367136978759405
1,7,0train,1test,right_hand,3,-0.4003977211898092
1,7,0train,1test,right_hand,4,-0.4408046380932362
1,7,0train,1test,feet,0,-0.16287511828060253
1,7,0train,1test,feet,1,0.15467929833797323
1,7,0train,1test,feet,2,-0.16287773244896808
1,7,0train,1test,feet,3,-0.2989759707293249
1,7,0train,1test,feet,4,-0.2699321908980927
1,7,0train,1test,tongue,0,-0.09609806681114696
1,7,0train,1test,tongue,1,0.05844130761079025
1,7,0train,1test,tongue,2,-0.10650747676881245
1,7,0train,1test,tongue,3,-0.3485241992261394
1,7,0train,1test,tongue,4,-0.1816512085812947
1,7,1test,0train,left_hand,0,0.09342392022382429
1,7,1test,0train,left_hand,1,-0.47747437517625835
1,7,1test,0train,left_hand,2,-0.6287643363110654
1,7,1test,0train,left_hand,3,-0.577444694864111
1,7,1test,0train,left_hand,4,-0.7477807318229946
1,7,1test,0train,right_hand,0,0.1072272217470645
1,7,1test,0train,right_hand,1,-0.3322775565551557
1,7,1test,0train,right_hand,2,-0.22018009171514574
1,7,1test,0train,right_hand,3,-0.462674580106908
1,7,1test,0train,right_hand,4,-0.4141542083339973
1,7,1test,0train,feet,0,-0.3359882903031408
1,7,1test,0train,feet,1,0.039447963234095273
1,7,1test,0train,feet,2,-0.35843026076390916
1,7,1test,0train,feet,3,-0.36694540082560434
1,7,1test,0train,feet,4,-0.38908086182479984
1,7,1test,0train,tongue,0,-0.3086150910895763
1,7,1test,0train,tongue,1,-0.05377982854463903
1,7,1test,0train,tongue,2,-0.3098748873702608
1,7,1test,0train,tongue,3,-0.2876626971437247
1,7,1test,0train,tongue,4,-0.2073257423456052
1,8,0train,1test,left_hand,0,-0.37100732909147993
1,8,0train,1test,left_hand,1,0.12587261771098118
1,8,0train,1test,left_hand,2,-0.6028802353958844
1,8,0train,1test,left_hand,3,0.011480092503593275
1,8,0train,1test,left_hand,4,-0.4779953620251769
1,8,0train,1test,right_hand,0,-0.40202023828278743
1,8,0train,1test,right_hand,1,-0.14784582880078656
1,8,0train,1test,right_hand,2,-0.35834006767806514
1,8,0train,1test,right_hand,3,-0.013520761176813334
1,8,0train,1test,right_hand,4,-0.27337621697306547
1,8,0train,1test,feet,0,0.06476048463010864
1,8,0train,1test,feet,1,-0.09000739500035415
1,8,0train,1test,feet,2,0.06809745681275658
1,8,0train,1test,feet,3,0.05377099564190857
1,8,0train,1test,feet,4,0.0742584757758209
1,8,0train,1test,tongue,0,0.1613565055281162
1,8,0train,1test,tongue,1,0.1227076684473265
1,8,0train,1test,tongue,2,0.15002253848466707
1,8,0train,1test,tongue,3,0.08895955347791884
1,8,0train,1test,tongue,4,0.013290270855289
1,8,1test,0train,left_hand,0,-0.3897411946939635
1,8,1test,0train,left_hand,1,0.05605582460877179
1,8,1test,0train,left_hand,2,-0.47492678321716253
1,8,1test,0train,left_hand,3,0.1756113609093219
1,8,1test,0train,left_hand,4,-0.4402940771204852
1,8,1test,0train,right_hand,0,-0.20419676082953853
1,8,1test,0train,right_hand,1,0.10183993934519364
1,8,1test,0train,right_hand,2,-0.13928054474082507
1,8,1test,0train,right_hand,3,0.14865413456126092
1,8,1test,0train,right_hand,4,-0.0781208280163479
1,8,1test,0train,feet,0,-0.08725626204391101
1,8,1test,0train,feet,1,-0.3505246582198265
1,8,1test,0train,feet,2,-0.14698438871454234
1,8,1test,0train,feet,3,0.24691625435795705
1,8,1test,0train,feet,4,0.2260033178517502
1,8,1test,0train,tongue,0,0.16891340127547383
1,8,1test,0train,tongue,1,0.24766004763349891
1,8,1test,0train,tongue,2,0.24528571441634672
1,8,1test,0train,tongue,3,-0.13116524160204668
1,8,1test,0train,tongue,4,-0.18319448442400654
1,9,0train,1test,left_hand,0,-0.06317236796122305
1,9,0train,1test,left_hand,1,-0.27334225896966347
1,9,0train,1test,left_hand,2,-1.0669068729932856
1,9,0train,1test,left_hand,3,-0.5376387506510936
1,9,0train,1test,left_hand,4,-1.2510525871757974
1,9,0train,1test,right_hand,0,0.0198748207564865
1,9,0train,1test,right_hand,1,0.2985586277135054
1,9,0train,1test,right_hand,2,-0.04527736907737201
1,9,0train,1test,right_hand,3,0.1377108963674376
1,9,0train,1test,right_hand,4,0.061062024442327
1,9,0train,1test,feet,0,-0.18791486244886113
1,9,0train,1test,feet,1,0.17865205898330427
1,9,0train,1test,feet,2,-0.212272167406081
1,9,0train,1test,feet,3,-0.10548575611893951
1,9,0train,1test,feet,4,-0.10913442775685622
1,9,0train,1test,tongue,0,-0.21875409003974366
1,9,0train,1test,tongue,1,-0.005246871219937277
1,9,0train,1test,tongue,2,-0.26614554743261876
1,9,0train,1test,tongue,3,-0.4943201927928459
1,9,0train,1test,tongue,4,-0.4558218878919099
1,9,1test,0train,left_hand,0,-0.20101570059221424
1,9,1test,0train,left_hand,1,-0.08204533346282028
1,9,1test,0train,left_hand,2,-0.5533961922958202
1,9,1test,0train,left_hand,3,-0.06261304609995866
1,9,1test,0train,left_hand,4,-0.5596212721087235
1,9,1test,0train,right_hand,0,-0.010517559474398697
1,9,1test,0train,right_hand,1,-0.16302396599605862
1,9,1test,0train,right_hand,2,-0.3453077575055977
1,9,1test,0train,right_hand,3,-0.2698006579622775
1,9,1test,0train,right_hand,4,-0.29829572967645646
1,9,1test,0train,feet,0,-0.010809542778271508
1,9,1test,0train,feet,1,-0.19261713034338612
1,9,1test,0train,feet,2,-0.12400587573934208
1,9,1test,0train,feet,3,-0.4307997562531014
1,9,1test,0train,feet,4,-0.46877271895554395
1,9,1test,0train,tongue,0,-0.09963256797368375
1,9,1test,0train,tongue,1,0.00647412473215353
1,9,1test,0train,tongue,2,-0.02113850366069231
1,9,1test,0train,tongue,3,-0.5093963548643214
1,9,1test,0train,tongue,4,-0.43992488985427697
2,1,0train,1test,left_hand,0,0.6647363129886568
2,1,0train,1test,left_hand,1,-1.0877102633230784
2,1,0train,1test,left_hand,2,-1.2873341968737968
2,1,0train,1test,left_hand,3,0.5996808889499388
2,1,0train,1test,left_hand,4,0.005849590675957472
2,1,0train,1test,right_hand,0,2.2547207761227597
2,1,0train,1test,right_hand,1,-0.6872220864178367
2,1,0train,1test,right_hand,2,-2.4851151478817926
2,1,0train,1test,right_hand,3,0.11238393359645116
2,1,0train,1test,right_hand,4,-2.5464389955117817
2,1,0train,1test,feet,0,0.25211704606764984
2,1,0train,1test,feet,1,0.2220549426174827
2,1,0train,1test,feet,2,-0.06685959778308037
2,1,0train,1test,feet,3,0.27182150119426396
2,1,0train,1test,feet,4,0.12821579660297422
2,1,0train,1test,tongue,0,0.117445559038865
2,1,0train,1test,tongue,1,0.08381976140531044
2,1,0train,1test,tongue,2,0.24257191347689755
2,1,0train,1test,tongue,3,-0.030266703865159172
2,1,0train,1test,tongue,4,0.333389445431175
2,1,1test,0train,left_hand,0,1.834637178154872
2,1,1test,0train,left_hand,1,-0.7708812819961572
2,1,1test,0train,left_hand,2,-1.1649462741029808
2,1,1test,0train,left_hand,3,0.21947171242395225
2,1,1test,0train,left_hand,4,-0.43338930772219975
2,1,1test,0train,right_hand,0,2.8469798712429917
2,1,1test,0train,right_hand,1,0.6437016248161953
