test,passed,observed,null_median,effect,p_value,exceedances,replicates
stage_A_unrelated_target,True,0.22759557337529435,-0.13915509187139852,0.36675066524669286,0.0005,0,1999
stage_A_semantic,True,0.22759557337529435,0.09780589077696686,0.1297896825983275,0.0005,0,1999
stage_B_unrelated_target,True,0.0006193887984772273,-0.17223676333492471,0.17285615213340194,0.0005,0,1999
stage_B_semantic,True,0.0006193887984772273,-0.070718645180922,0.07133803397939922,0.0005,0,1999
