target,source,session,session_index,heldout_class,heldout_index,permutation_index,permutation,raw_error,action_error,gain
1,2,0train,0,left_hand,0,0,0|2|1,0.9145633891781076,0.6684299997802572,0.24613338939785046
1,2,0train,0,left_hand,0,1,1|0|2,0.9145633891781076,0.9863686376840783,-0.0718052485059707
1,2,0train,0,left_hand,0,2,1|2|0,0.9145633891781076,0.7976180684931494,0.11694532068495822
1,2,0train,0,left_hand,0,3,2|0|1,0.9145633891781076,1.0132987579939872,-0.09873536881587952
1,2,0train,0,left_hand,0,4,2|1|0,0.9145633891781076,0.8512132653015125,0.06335012387659511
1,2,0train,0,right_hand,1,0,0|2|1,1.0852193966200523,0.7710589995583736,0.31416039706167864
1,2,0train,0,right_hand,1,1,1|0|2,1.0852193966200523,0.9191299765487279,0.16608942007132443
1,2,0train,0,right_hand,1,2,1|2|0,1.0852193966200523,0.8683557539727604,0.21686364264729185
1,2,0train,0,right_hand,1,3,2|0|1,1.0852193966200523,1.012586426842395,0.07263296977765732
1,2,0train,0,right_hand,1,4,2|1|0,1.0852193966200523,1.0199692049616105,0.06525019165844181
1,2,0train,0,feet,2,0,0|2|1,1.2897404157161507,0.8249744389016154,0.46476597681453535
1,2,0train,0,feet,2,1,1|0|2,1.2897404157161507,0.80494696282707,0.4847934528890807
1,2,0train,0,feet,2,2,1|2|0,1.2897404157161507,0.7664113718956568,0.5233290438204939
1,2,0train,0,feet,2,3,2|0|1,1.2897404157161507,0.9223822989626338,0.36735811675351693
1,2,0train,0,feet,2,4,2|1|0,1.2897404157161507,0.7700590419035432,0.5196813738126075
1,2,0train,0,tongue,3,0,0|2|1,1.2626621431498937,1.2069272995129146,0.055734843636979114
1,2,0train,0,tongue,3,1,1|0|2,1.2626621431498937,1.2069804349666462,0.05568170818324747
1,2,0train,0,tongue,3,2,1|2|0,1.2626621431498937,1.2110725812990528,0.05158956185084085
1,2,0train,0,tongue,3,3,2|0|1,1.2626621431498937,1.1009218076077067,0.16174033554218692
1,2,0train,0,tongue,3,4,2|1|0,1.2626621431498937,1.0549975215892824,0.20766462156061127
1,2,1test,1,left_hand,0,0,0|2|1,1.3262036821423895,1.1791130768609472,0.14709060528144224
1,2,1test,1,left_hand,0,1,1|0|2,1.3262036821423895,1.340110303502334,-0.013906621359944582
1,2,1test,1,left_hand,0,2,1|2|0,1.3262036821423895,1.2446063299537657,0.08159735218862374
1,2,1test,1,left_hand,0,3,2|0|1,1.3262036821423895,1.3456920126685847,-0.019488330526195252
1,2,1test,1,left_hand,0,4,2|1|0,1.3262036821423895,1.2580572076835816,0.06814647445880784
1,2,1test,1,right_hand,1,0,0|2|1,0.9128264353553318,0.7938783631154627,0.11894807223986914
1,2,1test,1,right_hand,1,1,1|0|2,0.9128264353553318,0.9149177844499171,-0.002091349094585304
1,2,1test,1,right_hand,1,2,1|2|0,0.9128264353553318,0.8746693156969414,0.038157119658390415
1,2,1test,1,right_hand,1,3,2|0|1,0.9128264353553318,0.9355246202326987,-0.022698184877366856
1,2,1test,1,right_hand,1,4,2|1|0,0.9128264353553318,0.9195907359552838,-0.006764300599952033
1,2,1test,1,feet,2,0,0|2|1,0.8848558932072907,0.7564238197215563,0.1284320734857345
1,2,1test,1,feet,2,1,1|0|2,0.8848558932072907,0.7155047257079556,0.1693511674993351
1,2,1test,1,feet,2,2,1|2|0,0.8848558932072907,0.7692096042575157,0.11564628894977502
