target,source,session,session_index,heldout_class,heldout_index,raw_error,action_error,gain,half_A_raw_error,half_A_action_error,half_A_gain,half_B_raw_error,half_B_action_error,half_B_gain,D_eq,D_split,D_threshold,prediction_normalization,equivalent_prediction_count,identifiability,best_objective,best_gradient_norm,best_determinant
1,2,0train,0,left_hand,0,0.9145633891781076,0.6642530372397131,0.25031035193839457,0.88219337378196,0.5375820487937976,0.3446113249881625,1.0541035280239537,0.9042988945667252,0.1498046334572285,0.0,1.4362532862609876,1.4362532862609876,0.32869199449598263,1,PREDICTIVELY_IDENTIFIABLE,3.0172877416512125,3.8061097630922464e-07,-1.0000000000000009
1,2,0train,0,right_hand,1,1.0852193966200523,0.7581277504433909,0.3270916461766614,1.170261977919087,0.8348412297749734,0.3354207481441136,1.0414039250579659,0.7675028729832963,0.2739010520746695,0.0,1.3525648223658984,1.3525648223658984,0.35108606692715083,1,PREDICTIVELY_IDENTIFIABLE,2.544423112684143,1.5148665299482112e-08,-1.000000000000011
1,2,0train,0,feet,2,1.2897404157161507,0.8134037845324024,0.47633663118374836,1.3361367268739315,0.6842503942056067,0.6518863326683247,1.3409495660464148,0.9472669337480029,0.39368263229841194,0.0,1.3061985085838648,1.3061985085838648,0.6734734015407012,1,PREDICTIVELY_IDENTIFIABLE,3.3293089619537417,3.5346021918477705e-07,0.9999999999999991
1,2,0train,0,tongue,3,1.2626621431498937,1.1925888528218298,0.07007329032806386,1.3060702587737858,1.1219433981958116,0.18412686057797423,1.2541275307111874,1.1918919267666643,0.0622356039445231,0.0,1.2518321157475847,1.2518321157475847,0.4199601113442727,1,PREDICTIVELY_IDENTIFIABLE,1.7548511674722547,7.4825843902912375e-06,-0.9999999999999982
1,2,1test,1,left_hand,0,1.3262036821423895,1.1578814567505393,0.16832222539185016,1.6277562403152868,1.4337737583753722,0.19398248193991452,1.114495932751116,0.9288741102411852,0.18562182250993076,0.0,1.3835078844910405,1.3835078844910405,0.386597550054466,1,PREDICTIVELY_IDENTIFIABLE,3.787449299840661,2.6273551214599217e-06,-0.9999999999999969
1,2,1test,1,right_hand,1,0.9128264353553318,0.7954379547647767,0.11738848059055507,0.9859628451203574,0.8676915350816724,0.11827131003868496,0.8816858480429203,0.7363764404597258,0.14530940758319444,0.0,1.3849349497956156,1.3849349497956156,0.3093068910204542,1,PREDICTIVELY_IDENTIFIABLE,3.8038743688526457,4.710881234624796e-06,1.0000000000000024
1,2,1test,1,feet,2,0.8848558932072907,0.7009216546925382,0.18393423851475255,1.09674740682527,0.8802865845410305,0.21646082228423957,0.8254771355593719,0.6742148307519682,0.15126230480740366,0.0,1.3280310905876296,1.3280310905876296,0.5319799460726726,1,PREDICTIVELY_IDENTIFIABLE,4.538379017623344,6.089410525689275e-07,0.999999999999996
1,2,1test,1,tongue,3,1.5034631766906663,1.4898249922840217,0.01363818440664466,1.8546031889465469,1.7947486626970584,0.059854526249488504,1.3231192074973037,1.2518417106386237,0.07127749685868001,0.0,1.2444349752090107,1.2444349752090107,0.4923803364299254,1,PREDICTIVELY_IDENTIFIABLE,2.999099727022887,1.5426312320428692e-06,-0.9999999999999966
1,3,0train,0,left_hand,0,0.4426918429915006,0.4403496051101237,0.002342237881376885,0.9503859269535053,0.9175707653977258,0.03281516155577957,0.45699962020730744,0.4006851790695963,0.05631444113771117,0.0,0.8471679165793362,0.8471679165793362,1.021534196457224,1,PREDICTIVELY_IDENTIFIABLE,0.8279120747595214,2.3620492149127314e-06,1.0000000000000009
1,3,0train,0,right_hand,1,0.4703299032472656,0.3227297648364968,0.1476001384107688,0.49168748891995995,0.3269067382622076,0.16478075065775233,0.5526673734148096,0.4431249085802604,0.10954246483454927,0.0,0.7754510476902619,0.7754510476902619,0.9942236030393692,1,PREDICTIVELY_IDENTIFIABLE,0.7005336003714192,1.3738467598161825e-06,-1.0000000000000007
1,3,0train,0,feet,2,0.711563177210123,0.6200129318219534,0.09155024538816958,0.7955197146693905,0.6714119169628282,0.12410779770656233,0.7822682906038122,0.8218624290746229,-0.039594138470810725,0.0,1.0286141211166102,1.0286141211166102,0.6154216224351955,1,PREDICTIVELY_IDENTIFIABLE,0.767874597360569,1.5749576946767217e-06,1.0000000000000018
1,3,0train,0,tongue,3,0.3498899477509915,0.21772070517801886,0.13216924257297266,0.5414434608407729,0.32140848919777454,0.22003497164299834,0.4153731332106886,0.31341924608979194,0.10195388712089665,0.0,0.7618891665670104,0.7618891665670104,1.1571992184447009,1,PREDICTIVELY_IDENTIFIABLE,0.8112682017993549,9.60482472758789e-07,0.9999999999999986
1,3,1test,1,left_hand,0,0.3827121086846448,0.2402211202655973,0.14249098841904748,0.38371379545847756,0.24087214591178363,0.14284164954669393,0.5621918381033078,0.454355499877369,0.10783633822593874,0.0,0.778715039224274,0.778715039224274,0.9616435125793582,1,PREDICTIVELY_IDENTIFIABLE,0.7778792208960126,3.929207526184055e-06,-1.0000000000000024
1,3,1test,1,right_hand,1,0.4838895075007916,0.18420090086868499,0.2996886066321066,0.5135524755253273,0.186125777962712,0.32742669756261533,0.524938557196596,0.29572365412173995,0.22921490307485604,0.0,0.5857623544274777,0.5857623544274777,1.0931970801625561,1,PREDICTIVELY_IDENTIFIABLE,0.6836753391179179,1.3895221117591211e-06,1.0000000000000033
1,3,1test,1,feet,2,0.6925886071348515,0.5470908118446218,0.14549779529022966,0.8037688669059737,0.5813059882367094,0.22246287866926429,0.7008139293587876,0.5235771150743804,0.17723681428440718,0.0,1.1312057349208255,1.1312057349208255,0.6522962880137929,1,PREDICTIVELY_IDENTIFIABLE,0.5085311414853285,8.16599190370017e-06,1.0000000000000018
1,3,1test,1,tongue,3,0.3976435859531211,0.18074791133677084,0.21689567461635026,0.6784262952404637,0.45735678033172056,0.22106951490874316,0.4143578174396371,0.18504730105555106,0.22931051638408606,0.0,0.5415280354898279,0.5415280354898279,1.1822752681469029,1,PREDICTIVELY_IDENTIFIABLE,0.7907943223573123,1.5244144930817145e-06,-1.000000000000006
1,4,0train,0,left_hand,0,0.6022034281812703,0.5630589451616844,0.03914448301958584,0.738596705174565,0.7634244648412601,-0.02482775966669515,0.5684916218205158,0.47111952165926585,0.09737210016124997,0.0,1.2462893022694275,1.2462893022694275,0.44453279663275513,1,PREDICTIVELY_IDENTIFIABLE,2.3117788458481026,2.2692591788245327e-06,-1.0000000000000033
1,4,0train,0,right_hand,1,0.8705845628709873,0.8580468912833122,0.012537671587675048,0.9329756139286417,0.8593921700214048,0.07358344390723692,0.8499553751487641,0.7741505994965805,0.07580477565218358,0.0,1.4538756738902805,1.4538756738902805,0.33698653572500836,1,PREDICTIVELY_IDENTIFIABLE,1.6966557626188135,5.0672204209670794e-08,-0.9999999999999958
1,4,0train,0,feet,2,0.8413981890102857,0.6934303891027502,0.1479677999075355,1.0248566977759652,0.8224488822349526,0.20240781554101261,0.8359076476634089,0.5499807281995776,0.2859269194638313,0.0,1.5055753047380178,1.5055753047380178,0.3341941131321397,1,PREDICTIVELY_IDENTIFIABLE,2.4268440174948784,5.579780141844666e-06,-0.9999999999999981
1,4,0train,0,tongue,3,0.7846287622503527,0.6754897836543035,0.10913897859604926,0.9054226781298086,0.7400678028991993,0.16535487523060932,0.7155561699085967,0.6154116030897625,0.10014456681883421,0.0,1.2037487660663828,1.2037487660663828,0.38832405938361103,1,PREDICTIVELY_IDENTIFIABLE,1.6744137490665085,6.914783403711318e-08,-1.0000000000000113
1,4,1test,1,left_hand,0,0.4849401045108955,0.37363226238991176,0.11130784212098371,0.5014419812486558,0.4577397407438808,0.043702240504775,0.5869895049007245,0.36032225319115696,0.22666725170956759,0.0,0.6644557403186203,0.6644557403186203,0.7385307349548704,1,PREDICTIVELY_IDENTIFIABLE,1.2513207400313393,5.458729844632062e-08,1.0000000000000049
1,4,1test,1,right_hand,1,0.6282985847780131,0.4499476404630666,0.17835094431494652,0.6050397365510639,0.525190968203574,0.07984876834748988,0.7300498645580091,0.38234196298444983,0.3477079015735593,0.0,0.9117805844874719,0.9117805844874719,0.6407479194129064,1,PREDICTIVELY_IDENTIFIABLE,0.9306398407483608,2.2803184838947338e-08,-0.9999999999999993
1,4,1test,1,feet,2,0.6682475371321217,0.28464980051501276,0.38359773661710894,0.5321952396962705,0.3009576126573138,0.23123762703895667,0.9030543586107967,0.32990054596883356,0.5731538126419632,0.0,0.7395251339528697,0.7395251339528697,0.7448420301229215,1,PREDICTIVELY_IDENTIFIABLE,1.3793271637874884,1.3756227180937008e-07,-1.0000000000000098
1,4,1test,1,tongue,3,0.5864754203706593,0.37818628717800634,0.2082891331926529,0.5489070189794036,0.41201220708921904,0.1368948118901846,0.6899056125074624,0.4575636986285006,0.2323419138789618,0.0,0.8012723798936374,0.8012723798936374,0.6279804099478166,1,PREDICTIVELY_IDENTIFIABLE,1.057736829396747,9.135321986605306e-08,0.9999999999999972
1,5,0train,0,left_hand,0,0.7525582378837135,0.6792617278612999,0.07329651002241355,0.8934400172010059,0.7702724954090582,0.12316752179194768,0.7321635419267032,0.5711746128203052,0.16098892910639795,0.0,1.316945529250953,1.316945529250953,0.3137482738327646,1,PREDICTIVELY_IDENTIFIABLE,2.753198927297097,8.281510350472902e-07,-1.000000000000001
