target,session_or_direction,heldout_class,median_over_8_sources_gain
1,0train,left_hand,0.020743360450481363
1,0train,right_hand,0.09190424855949053
1,0train,feet,0.07792528392498949
1,0train,tongue,0.10840621784052717
1,1test,left_hand,0.12689941527001558
1,1test,right_hand,0.1478697124527508
1,1test,feet,0.1647160169024911
1,1test,tongue,0.10418807927294788
2,0train,left_hand,0.5932031490269833
2,0train,right_hand,0.7062834390074372
2,0train,feet,0.6735996762833667
2,0train,tongue,0.11972826386333901
2,1test,left_hand,1.001606041122601
2,1test,right_hand,0.8638006983179836
2,1test,feet,0.8810753265969082
2,1test,tongue,0.39520948333350825
3,0train,left_hand,0.05291127513540528
3,0train,right_hand,0.15722998356626416
3,0train,feet,0.1461665953461338
3,0train,tongue,0.0670216841092729
3,1test,left_hand,0.07081423207837523
3,1test,right_hand,0.19547446053270284
3,1test,feet,0.3180330165966455
3,1test,tongue,0.05190945271538583
4,0train,left_hand,0.18288068675517133
4,0train,right_hand,0.40604447777049435
4,0train,feet,0.6783101785718122
4,0train,tongue,0.3266811891766763
4,1test,left_hand,0.19032956012640279
4,1test,right_hand,0.24685892142206423
4,1test,feet,0.5089799704348055
4,1test,tongue,0.3038542348155106
5,0train,left_hand,0.8997132868294273
5,0train,right_hand,1.007565961779705
5,0train,feet,0.6655000595597249
5,0train,tongue,0.707958121891956
5,1test,left_hand,0.893260768788914
5,1test,right_hand,0.351374757777011
5,1test,feet,0.912395326641601
5,1test,tongue,1.091577146864867
6,0train,left_hand,0.1162600950104079
6,0train,right_hand,0.45683268583473374
6,0train,feet,0.674549402072916
6,0train,tongue,0.5287901968156701
6,1test,left_hand,0.27433357058795177
6,1test,right_hand,0.4514861549690316
6,1test,feet,0.3782385163872975
6,1test,tongue,0.7603456505117807
7,0train,left_hand,0.14005874767061427
7,0train,right_hand,0.27447098793547964
7,0train,feet,0.219783459522421
7,0train,tongue,0.15499288841106149
7,1test,left_hand,0.339340728197686
7,1test,right_hand,0.23540768722816768
7,1test,feet,0.5498175521877504
7,1test,tongue,0.1330221744886843
8,0train,left_hand,-0.05916315046612358
8,0train,right_hand,-0.0685214969748445
8,0train,feet,-0.1262579259737474
8,0train,tongue,0.1080898453407749
8,1test,left_hand,0.026983200883705538
8,1test,right_hand,-0.07531913308314242
8,1test,feet,0.17415345352731992
8,1test,tongue,0.17163136705650256
9,0train,left_hand,0.08802533727834078
9,0train,right_hand,0.132969708254507
9,0train,feet,0.1848668813116069
9,0train,tongue,0.058957716314538666
9,1test,left_hand,0.0489197124773334
9,1test,right_hand,-0.047951443292120866
9,1test,feet,0.21154248305883944
9,1test,tongue,0.006518003377834841
