scope,subject,session,class_label,temporal_position,n_covariances,solver_tolerance,solver_max_iterations,warning_count,warning_messages,karcher_post_residual,normalized_karcher_post_residual,minimum_eigenvalue,finite,passed,protocol_freeze_sha,protocol_sha256,local_metric_final_sha,local_gpa_v1_final_sha,gpa_outer_audit_final_sha,config_sha256,implementation_source_sha256
Full,1,0train,left_hand,1,72,1e-09,100,0,,2.5389972837076786e-10,5.413160397114261e-11,3.3696582378305166e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,left_hand,2,72,1e-09,100,0,,2.5156562076548707e-10,5.363397055764567e-11,3.138422751651831e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,left_hand,3,72,1e-09,100,0,,2.521473191665325e-10,5.375798907345147e-11,3.1187637865884967e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,left_hand,4,72,1e-09,100,0,,2.571101055537514e-10,5.4816058686326414e-11,3.281678105356618e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,left_hand,5,72,1e-09,100,0,,2.499279350627272e-10,5.3284814792651925e-11,3.265037856862342e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,left_hand,1,36,1e-09,100,0,,2.628801494931438e-10,5.604623618760822e-11,3.2161481845446255e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,left_hand,2,36,1e-09,100,0,,2.6165439863766887e-10,5.578490522714746e-11,3.12878726515312e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,left_hand,3,36,1e-09,100,0,,2.774244476252714e-10,5.914709096826739e-11,3.0550661544286753e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,left_hand,4,36,1e-09,100,0,,2.6873846462099906e-10,5.729523316950387e-11,3.113571708493774e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,left_hand,5,36,1e-09,100,0,,2.53731606872563e-10,5.409576034729056e-11,3.1311023592738966e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_B,1,0train,left_hand,1,36,1e-09,100,0,,2.5512670219088935e-10,5.4393195668542094e-11,3.5248956290121586e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_B,1,0train,left_hand,2,36,1e-09,100,0,,2.3720334786965734e-10,5.0571923687760003e-11,3.1404331197860044e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_B,1,0train,left_hand,3,36,1e-09,100,0,,2.297434336773045e-10,4.898146463799899e-11,3.178830494583494e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_B,1,0train,left_hand,4,36,1e-09,100,0,,2.570079465035515e-10,5.479427830364158e-11,3.4470190662057e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_B,1,0train,left_hand,5,36,1e-09,100,0,,2.498380500960086e-10,5.326565125335792e-11,3.397178245082804e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,right_hand,1,72,1e-09,100,0,,2.510154868579403e-10,5.351668161446518e-11,3.213525225950064e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,right_hand,2,72,1e-09,100,0,,2.375437843443386e-10,5.064450498803562e-11,3.0216612185106194e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,right_hand,3,72,1e-09,100,0,,2.5041557422804996e-10,5.3388779812021787e-11,3.1324116538000343e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,right_hand,4,72,1e-09,100,0,,2.493185160517635e-10,5.3154886222953734e-11,3.111887273814976e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Full,1,0train,right_hand,5,72,1e-09,100,0,,2.468762654591343e-10,5.2634196647085275e-11,3.226840941817841e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,right_hand,1,36,1e-09,100,0,,2.618725844052643e-10,5.583142258909741e-11,3.369512678501308e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,right_hand,2,36,1e-09,100,0,,2.4282240929651016e-10,5.1769911609211205e-11,3.01274291346913e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,right_hand,3,36,1e-09,100,0,,2.5187268113179616e-10,5.369943604770718e-11,3.1327285290655966e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,right_hand,4,36,1e-09,100,0,,2.6486900586548647e-10,5.647026179092009e-11,3.099200609421327e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_A,1,0train,right_hand,5,36,1e-09,100,0,,2.652151931237603e-10,5.6544069162377256e-11,3.1996498451003676e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
Half_B,1,0train,right_hand,1,36,1e-09,100,0,,2.723876745312511e-10,5.807324733650159e-11,3.058015410251091e-13,True,True,70981aa89ddbadceca42f354c3c51d05bf6dbf0c,f663379d77883542412d60804de6dc0c77beb1866344a59e0828131f39005040,796f04e7970972175a660a521caff47c83e0295f,122eacff868aa8f656ad6360716c1816f453979f,347d61f17793d636653b614ec2104baa61ac7a4b,ff6e4f0130e8f5d7629695d163db4ba4a2acb3a0c59737e7f82ebe2f52e48e7a,61cf0d498442916f91c767e09875aa06547376fc9568ebd872ad507f1609a74b
