dataset,geometry,template,split,subject,session,class,U_frobenius_norm,population_template_frobenius_norm
BNCI2014_001,AIRM,session_specific,A,1,0train,left_hand,0.88610134899917781,0.56813950336878816
BNCI2014_001,AIRM,session_specific,A,1,0train,right_hand,1.2795378908494848,0.41673591420198708
BNCI2014_001,AIRM,session_specific,A,1,0train,feet,0.82251438785805897,0.25767473964850485
BNCI2014_001,AIRM,session_specific,A,1,0train,tongue,1.2723562766698162,0.71505172379493986
BNCI2014_001,AIRM,session_specific,A,1,1test,left_hand,1.1079938472878308,0.69518160369831827
BNCI2014_001,AIRM,session_specific,A,1,1test,right_hand,1.2754545979433856,0.40971790663270297
BNCI2014_001,AIRM,session_specific,A,1,1test,feet,1.0289282781421789,0.34079763691145581
BNCI2014_001,AIRM,session_specific,A,1,1test,tongue,1.0093550867413363,0.68250782748822325
BNCI2014_001,AIRM,session_specific,A,2,0train,left_hand,0.46400700048001287,0.63539799285101184
BNCI2014_001,AIRM,session_specific,A,2,0train,right_hand,0.40810714210737131,0.54782529771435673
BNCI2014_001,AIRM,session_specific,A,2,0train,feet,0.74199568072718747,0.3095090887518086
BNCI2014_001,AIRM,session_specific,A,2,0train,tongue,0.50807441469026626,0.84684779535633692
BNCI2014_001,AIRM,session_specific,A,2,1test,left_hand,0.55577669275064445,0.85024340504205043
BNCI2014_001,AIRM,session_specific,A,2,1test,right_hand,0.33543568753696834,0.53905270905710523
BNCI2014_001,AIRM,session_specific,A,2,1test,feet,0.57843932443509205,0.43779525691117605
BNCI2014_001,AIRM,session_specific,A,2,1test,tongue,0.5886774775105923,0.83189126463145469
BNCI2014_001,AIRM,session_specific,A,3,0train,left_hand,1.2786195427573674,0.52186188788315402
BNCI2014_001,AIRM,session_specific,A,3,0train,right_hand,1.1950384950516684,0.42332128359670557
BNCI2014_001,AIRM,session_specific,A,3,0train,feet,0.68927666307868796,0.25853580628694073
BNCI2014_001,AIRM,session_specific,A,3,0train,tongue,1.4805935435641722,0.67341395560095929
BNCI2014_001,AIRM,session_specific,A,3,1test,left_hand,1.0767580877277767,0.69255458638538547
BNCI2014_001,AIRM,session_specific,A,3,1test,right_hand,1.1051906888825564,0.43857724338512571
BNCI2014_001,AIRM,session_specific,A,3,1test,feet,0.70928417504013663,0.38192934509918697
BNCI2014_001,AIRM,session_specific,A,3,1test,tongue,1.3059454859439075,0.64628730474199703
BNCI2014_001,AIRM,session_specific,A,4,0train,left_hand,0.38966125239382865,0.63064841739521316
BNCI2014_001,AIRM,session_specific,A,4,0train,right_hand,0.39593776855463814,0.52505107833184561
BNCI2014_001,AIRM,session_specific,A,4,0train,feet,0.36680790686664466,0.30603007905941249
BNCI2014_001,AIRM,session_specific,A,4,0train,tongue,0.40736649572795669,0.81459471211050705
BNCI2014_001,AIRM,session_specific,A,4,1test,left_hand,0.80135240873023195,0.73506541336528475
BNCI2014_001,AIRM,session_specific,A,4,1test,right_hand,0.60886867274742518,0.49459324155549422
BNCI2014_001,AIRM,session_specific,A,4,1test,feet,0.76163598046426328,0.39025250457691746
BNCI2014_001,AIRM,session_specific,A,4,1test,tongue,0.64425026074257874,0.72502968411655899
BNCI2014_001,AIRM,session_specific,A,5,0train,left_hand,0.31364842888691069,0.64897936710626658
BNCI2014_001,AIRM,session_specific,A,5,0train,right_hand,0.30474188403009622,0.54477884298665946
BNCI2014_001,AIRM,session_specific,A,5,0train,feet,0.32576851651080929,0.31157241870459085
BNCI2014_001,AIRM,session_specific,A,5,0train,tongue,0.32083722474091408,0.82990935362640983
BNCI2014_001,AIRM,session_specific,A,5,1test,left_hand,0.31265251296502666,0.80515334222137924
BNCI2014_001,AIRM,session_specific,A,5,1test,right_hand,0.295992406683181,0.52768549977732881
BNCI2014_001,AIRM,session_specific,A,5,1test,feet,0.34769821374510973,0.4220912490648675
BNCI2014_001,AIRM,session_specific,A,5,1test,tongue,0.42147931767177194,0.78941065751622341
BNCI2014_001,AIRM,session_specific,A,6,0train,left_hand,0.47316893453233666,0.62118657735391491
BNCI2014_001,AIRM,session_specific,A,6,0train,right_hand,0.55451101643528122,0.51011834306585524
BNCI2014_001,AIRM,session_specific,A,6,0train,feet,0.52862645931046226,0.31351628758207051
BNCI2014_001,AIRM,session_specific,A,6,0train,tongue,0.48989446268890019,0.80452154480877724
BNCI2014_001,AIRM,session_specific,A,6,1test,left_hand,0.60046683317624827,0.75692350359161598
BNCI2014_001,AIRM,session_specific,A,6,1test,right_hand,0.47899728063174501,0.50842672980334902
BNCI2014_001,AIRM,session_specific,A,6,1test,feet,0.6666655343036052,0.39015580703350877
BNCI2014_001,AIRM,session_specific,A,6,1test,tongue,0.43832169183647152,0.77568374968145903
BNCI2014_001,AIRM,session_specific,A,7,0train,left_hand,0.96583934116521819,0.56927850914144629
BNCI2014_001,AIRM,session_specific,A,7,0train,right_hand,0.59865417868062454,0.50018431705984001
BNCI2014_001,AIRM,session_specific,A,7,0train,feet,0.62913932533554462,0.28612805543880432
BNCI2014_001,AIRM,session_specific,A,7,0train,tongue,1.1197519071871012,0.72210965732400723
BNCI2014_001,AIRM,session_specific,A,7,1test,left_hand,0.84871967719279895,0.73589100198484558
BNCI2014_001,AIRM,session_specific,A,7,1test,right_hand,0.69834027670637544,0.48548474411296377
BNCI2014_001,AIRM,session_specific,A,7,1test,feet,0.69877925551241737,0.40863287538646303
BNCI2014_001,AIRM,session_specific,A,7,1test,tongue,0.99875515920764257,0.68135698913093534
BNCI2014_001,AIRM,session_specific,A,8,0train,left_hand,1.0232590675533726,0.56099843840049557
BNCI2014_001,AIRM,session_specific,A,8,0train,right_hand,0.78797300251305213,0.48204501404847411
BNCI2014_001,AIRM,session_specific,A,8,0train,feet,0.54304339023697012,0.3147560326889528
BNCI2014_001,AIRM,session_specific,A,8,0train,tongue,1.3773822286868518,0.69269968892457912
BNCI2014_001,AIRM,session_specific,A,8,1test,left_hand,0.953650791685141,0.72471037789863579
BNCI2014_001,AIRM,session_specific,A,8,1test,right_hand,0.67238847267261781,0.48567249917255123
BNCI2014_001,AIRM,session_specific,A,8,1test,feet,0.47633253727235836,0.44372853036118248
BNCI2014_001,AIRM,session_specific,A,8,1test,tongue,1.1624586537526214,0.66327555903205371
BNCI2014_001,AIRM,session_specific,A,9,0train,left_hand,0.92104790536136683,0.56907662916815438
BNCI2014_001,AIRM,session_specific,A,9,0train,right_hand,0.79425899018551904,0.47193896344444691
BNCI2014_001,AIRM,session_specific,A,9,0train,feet,0.57282981279602441,0.29174069138852193
BNCI2014_001,AIRM,session_specific,A,9,0train,tongue,1.4807916774946643,0.67319465860765482
BNCI2014_001,AIRM,session_specific,A,9,1test,left_hand,2.3797751549471995,0.5553219188762023
BNCI2014_001,AIRM,session_specific,A,9,1test,right_hand,0.74601433268534412,0.50912519884469809
BNCI2014_001,AIRM,session_specific,A,9,1test,feet,1.0119386112115085,0.38246205589902238
BNCI2014_001,AIRM,session_specific,A,9,1test,tongue,2.0348120258889177,0.55346894030344407
BNCI2014_001,AIRM,pooled_session,A,1,0train,left_hand,0.88610134899917781,0.62694396621805193
BNCI2014_001,AIRM,pooled_session,A,1,0train,right_hand,1.2795378908494848,0.40783849574389641
BNCI2014_001,AIRM,pooled_session,A,1,0train,feet,0.82251438785805897,0.28302207448662975
BNCI2014_001,AIRM,pooled_session,A,1,0train,tongue,1.2723562766698162,0.69377971114259096
