dataset,geometry,template,object,signature,stage,observed_statistic
OpenBMI,AIRM,session_specific,Z,sensor,R,0.43794819693951109
OpenBMI,AIRM,session_specific,Z,sensor,I,0.33966986921013087
OpenBMI,AIRM,session_specific,Z,sensor,C,0.33966986921013087
OpenBMI,AIRM,session_specific,Z,spectrum,R,0.93642936841491187
OpenBMI,AIRM,session_specific,Z,spectrum,I,0.91390609408616319
OpenBMI,AIRM,session_specific,Z,spectrum,C,0.91390609408616319
OpenBMI,AIRM,session_specific,R,sensor,R,0.43793182189554969
OpenBMI,AIRM,session_specific,R,sensor,I,0.33966190829209009
OpenBMI,AIRM,session_specific,R,sensor,C,0.33966190829209009
OpenBMI,AIRM,session_specific,R,spectrum,R,0.93643069971254378
OpenBMI,AIRM,session_specific,R,spectrum,I,0.91390520186318513
OpenBMI,AIRM,session_specific,R,spectrum,C,0.91390520186318513
OpenBMI,AIRM,pooled_session,Z,sensor,R,0.44387490707257132
OpenBMI,AIRM,pooled_session,Z,sensor,I,0.36238972094623667
OpenBMI,AIRM,pooled_session,Z,sensor,C,0.36238972094623667
OpenBMI,AIRM,pooled_session,Z,spectrum,R,0.93650364461099933
OpenBMI,AIRM,pooled_session,Z,spectrum,I,0.92275939198073909
OpenBMI,AIRM,pooled_session,Z,spectrum,C,0.92275939198073909
OpenBMI,AIRM,pooled_session,R,sensor,R,0.44385027834198931
OpenBMI,AIRM,pooled_session,R,sensor,I,0.36237965893728241
OpenBMI,AIRM,pooled_session,R,sensor,C,0.36237965893728241
OpenBMI,AIRM,pooled_session,R,spectrum,R,0.93650389005964529
OpenBMI,AIRM,pooled_session,R,spectrum,I,0.92275954685867601
OpenBMI,AIRM,pooled_session,R,spectrum,C,0.92275954685867601
OpenBMI,LE,session_specific,Z,sensor,R,0.441749595412331
OpenBMI,LE,session_specific,Z,sensor,I,0.33172205751292572
OpenBMI,LE,session_specific,Z,sensor,C,0.33172205751292572
OpenBMI,LE,session_specific,Z,spectrum,R,0.92573743211159765
OpenBMI,LE,session_specific,Z,spectrum,I,0.90289818007259726
OpenBMI,LE,session_specific,Z,spectrum,C,0.90289818007259726
OpenBMI,LE,session_specific,R,sensor,R,0.44174959541233105
OpenBMI,LE,session_specific,R,sensor,I,0.33172205751292572
OpenBMI,LE,session_specific,R,sensor,C,0.33172205751292572
OpenBMI,LE,session_specific,R,spectrum,R,0.92573743211159765
OpenBMI,LE,session_specific,R,spectrum,I,0.90289818007259748
OpenBMI,LE,session_specific,R,spectrum,C,0.90289818007259748
OpenBMI,LE,pooled_session,Z,sensor,R,0.44740203789835786
OpenBMI,LE,pooled_session,Z,sensor,I,0.34503398268725927
OpenBMI,LE,pooled_session,Z,sensor,C,0.34503398268725927
OpenBMI,LE,pooled_session,Z,spectrum,R,0.9264497366364175
OpenBMI,LE,pooled_session,Z,spectrum,I,0.90425137975215342
OpenBMI,LE,pooled_session,Z,spectrum,C,0.90425137975215342
OpenBMI,LE,pooled_session,R,sensor,R,0.44740203789835786
OpenBMI,LE,pooled_session,R,sensor,I,0.34503398268725938
OpenBMI,LE,pooled_session,R,sensor,C,0.34503398268725938
OpenBMI,LE,pooled_session,R,spectrum,R,0.9264497366364175
OpenBMI,LE,pooled_session,R,spectrum,I,0.90425137975215342
OpenBMI,LE,pooled_session,R,spectrum,C,0.90425137975215342
