dataset,geometry,template,split,subject,session,Rbar_frobenius_norm
BNCI2014_001,LE,session_specific,B,1,0train,3.6024642066386068e-13
BNCI2014_001,LE,session_specific,B,1,1test,3.5025243314305124e-13
BNCI2014_001,LE,session_specific,B,2,0train,4.3813474514867814e-13
BNCI2014_001,LE,session_specific,B,2,1test,5.9808200833688809e-13
BNCI2014_001,LE,session_specific,B,3,0train,4.1634339264629525e-13
BNCI2014_001,LE,session_specific,B,3,1test,3.3345374868392889e-13
BNCI2014_001,LE,session_specific,B,4,0train,3.6973247004340997e-13
BNCI2014_001,LE,session_specific,B,4,1test,2.67652905462856e-13
BNCI2014_001,LE,session_specific,B,5,0train,4.5529637844018077e-13
BNCI2014_001,LE,session_specific,B,5,1test,4.2810910581936153e-13
BNCI2014_001,LE,session_specific,B,6,0train,2.757262520418617e-13
BNCI2014_001,LE,session_specific,B,6,1test,3.2844530298206173e-13
BNCI2014_001,LE,session_specific,B,7,0train,2.6743661865877157e-13
BNCI2014_001,LE,session_specific,B,7,1test,2.8685025448867876e-13
BNCI2014_001,LE,session_specific,B,8,0train,4.2138437129980642e-13
BNCI2014_001,LE,session_specific,B,8,1test,3.9136647959093269e-13
BNCI2014_001,LE,session_specific,B,9,0train,2.9893129272846502e-13
BNCI2014_001,LE,session_specific,B,9,1test,3.8686531588885084e-13
BNCI2014_001,LE,pooled_session,B,1,0train,3.1635585424891369e-13
BNCI2014_001,LE,pooled_session,B,1,1test,3.2108575257171403e-13
BNCI2014_001,LE,pooled_session,B,2,0train,4.3754190453970307e-13
BNCI2014_001,LE,pooled_session,B,2,1test,5.9639080007362877e-13
BNCI2014_001,LE,pooled_session,B,3,0train,4.1113023059318751e-13
BNCI2014_001,LE,pooled_session,B,3,1test,2.9226153737606471e-13
BNCI2014_001,LE,pooled_session,B,4,0train,3.7003302237310376e-13
BNCI2014_001,LE,pooled_session,B,4,1test,2.7322508816493823e-13
BNCI2014_001,LE,pooled_session,B,5,0train,4.3828882133554068e-13
BNCI2014_001,LE,pooled_session,B,5,1test,4.2126600801311826e-13
BNCI2014_001,LE,pooled_session,B,6,0train,2.5673664657523968e-13
BNCI2014_001,LE,pooled_session,B,6,1test,2.7696992925904381e-13
BNCI2014_001,LE,pooled_session,B,7,0train,2.6628329002718367e-13
BNCI2014_001,LE,pooled_session,B,7,1test,2.6955437406156758e-13
BNCI2014_001,LE,pooled_session,B,8,0train,4.1611637358525092e-13
BNCI2014_001,LE,pooled_session,B,8,1test,4.0120480015716567e-13
BNCI2014_001,LE,pooled_session,B,9,0train,3.0913227355311593e-13
