dataset,geometry,template,split,subject,session,class,R_frobenius_norm,Z_frobenius_norm,sensor_Z_raw_norm,spectrum_Z_raw_norm
BNCI2014_001,AIRM,session_specific,A,1,0train,left_hand,0.52517513957605655,0.52477642741075958,1.5887062954103477,1.5887062954103477
BNCI2014_001,AIRM,session_specific,A,1,0train,right_hand,0.99868223794452304,0.99791634376086291,1.5887062954103477,1.5887062954103477
BNCI2014_001,AIRM,session_specific,A,1,0train,feet,0.72139738862039149,0.72147586739997871,1.5887062954103477,1.5887062954103477
BNCI2014_001,AIRM,session_specific,A,1,0train,tongue,0.85465558526018937,0.85570610487764431,1.5887062954103477,1.5887062954103477
BNCI2014_001,AIRM,session_specific,A,1,1test,left_hand,0.64593645987609327,0.64522675541791419,1.5443245427137391,1.5443245427137393
BNCI2014_001,AIRM,session_specific,A,1,1test,right_hand,0.98012834075482824,0.97921795558744584,1.5443245427137391,1.5443245427137393
BNCI2014_001,AIRM,session_specific,A,1,1test,feet,0.81764149686970999,0.81829225737455369,1.5443245427137391,1.5443245427137393
BNCI2014_001,AIRM,session_specific,A,1,1test,tongue,0.58186655213941219,0.58322440303614775,1.5443245427137391,1.5443245427137393
BNCI2014_001,AIRM,session_specific,A,2,0train,left_hand,0.60268956460039591,0.60270398116453827,1.5936243387971261,1.5936243387971261
BNCI2014_001,AIRM,session_specific,A,2,0train,right_hand,0.69344129350712513,0.69335518822857101,1.5936243387971261,1.5936243387971261
BNCI2014_001,AIRM,session_specific,A,2,0train,feet,0.80205471409006257,0.80191563274891309,1.5936243387971261,1.5936243387971261
BNCI2014_001,AIRM,session_specific,A,2,0train,tongue,1.0257979392591887,1.0259514341353717,1.5936243387971261,1.5936243387971261
BNCI2014_001,AIRM,session_specific,A,2,1test,left_hand,1.2411097529505479,1.2409896843490689,2.0133942465462429,2.0133942465462429
BNCI2014_001,AIRM,session_specific,A,2,1test,right_hand,0.60123402945814375,0.60119034501773982,2.0133942465462429,2.0133942465462429
BNCI2014_001,AIRM,session_specific,A,2,1test,feet,0.73049196987549769,0.73038838851856369,2.0133942465462429,2.0133942465462429
BNCI2014_001,AIRM,session_specific,A,2,1test,tongue,1.2721302509404351,1.2723222729872399,2.0133942465462429,2.0133942465462429
BNCI2014_001,AIRM,session_specific,A,3,0train,left_hand,0.88188934458128909,0.88183629788790063,1.656035590039759,1.6560355900397592
BNCI2014_001,AIRM,session_specific,A,3,0train,right_hand,0.90106451454955983,0.90004465112811394,1.656035590039759,1.6560355900397592
BNCI2014_001,AIRM,session_specific,A,3,0train,feet,0.54571839574934555,0.54616044997458413,1.656035590039759,1.6560355900397592
BNCI2014_001,AIRM,session_specific,A,3,0train,tongue,0.92468792046358417,0.92544422201714871,1.656035590039759,1.6560355900397592
BNCI2014_001,AIRM,session_specific,A,3,1test,left_hand,0.5546627469147235,0.55401501729498648,1.4218055938853718,1.4218055938853718
BNCI2014_001,AIRM,session_specific,A,3,1test,right_hand,0.85145608445128573,0.85059426501637303,1.4218055938853718,1.4218055938853718
BNCI2014_001,AIRM,session_specific,A,3,1test,feet,0.55769171111058125,0.55900946303842869,1.4218055938853718,1.4218055938853718
BNCI2014_001,AIRM,session_specific,A,3,1test,tongue,0.82336790498411006,0.82376958184319649,1.4218055938853718,1.4218055938853718
BNCI2014_001,AIRM,session_specific,A,4,0train,left_hand,0.48756141581050966,0.48749405337947394,1.0535318861073644,1.0535318861073641
BNCI2014_001,AIRM,session_specific,A,4,0train,right_hand,0.4999477139515992,0.49986027142273359,1.0535318861073644,1.0535318861073641
BNCI2014_001,AIRM,session_specific,A,4,0train,feet,0.39497825310851969,0.39484594664036343,1.0535318861073644,1.0535318861073641
BNCI2014_001,AIRM,session_specific,A,4,0train,tongue,0.68283632960334817,0.683019304587694,1.0535318861073644,1.0535318861073641
BNCI2014_001,AIRM,session_specific,A,4,1test,left_hand,0.52149490933649201,0.52102104804175919,1.0788072245695555,1.0788072245695555
BNCI2014_001,AIRM,session_specific,A,4,1test,right_hand,0.48822502643337695,0.48811566387273386,1.0788072245695555,1.0788072245695555
BNCI2014_001,AIRM,session_specific,A,4,1test,feet,0.67490293395771517,0.67516798986104576,1.0788072245695555,1.0788072245695555
BNCI2014_001,AIRM,session_specific,A,4,1test,tongue,0.44499657825547234,0.44525653215872002,1.0788072245695555,1.0788072245695555
