dataset,geometry,template,split,gate,observed,passed,name,n_trials,karcher_residual,warnings
BNCI2014_001,AIRM,session_specific,A,max_marginal_identity_relative_error,1.0792957406236695e-13,True,,,,
BNCI2014_001,AIRM,session_specific,A,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,AIRM,session_specific,A,max_weighted_Z_sum_relative_error,1.5725055955110591e-17,True,,,,
BNCI2014_001,AIRM,session_specific,A,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,AIRM,pooled_session,A,max_marginal_identity_relative_error,1.0792957406236695e-13,True,,,,
BNCI2014_001,AIRM,pooled_session,A,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,AIRM,pooled_session,A,max_weighted_Z_sum_relative_error,1.4610219841692539e-17,True,,,,
BNCI2014_001,AIRM,pooled_session,A,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,AIRM,session_specific,B,max_marginal_identity_relative_error,1.1921979847248767e-13,True,,,,
BNCI2014_001,AIRM,session_specific,B,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,AIRM,session_specific,B,max_weighted_Z_sum_relative_error,1.2974782039178066e-17,True,,,,
BNCI2014_001,AIRM,session_specific,B,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,AIRM,pooled_session,B,max_marginal_identity_relative_error,1.1921979847248767e-13,True,,,,
BNCI2014_001,AIRM,pooled_session,B,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,AIRM,pooled_session,B,max_weighted_Z_sum_relative_error,1.5317880932351439e-17,True,,,,
BNCI2014_001,AIRM,pooled_session,B,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,AIRM,session_specific,F,max_marginal_identity_relative_error,9.741413722433488e-14,True,,,,
BNCI2014_001,AIRM,session_specific,F,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,AIRM,session_specific,F,max_weighted_Z_sum_relative_error,1.3268099844944358e-17,True,,,,
BNCI2014_001,AIRM,session_specific,F,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,AIRM,pooled_session,F,max_marginal_identity_relative_error,9.741413722433488e-14,True,,,,
BNCI2014_001,AIRM,pooled_session,F,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,AIRM,pooled_session,F,max_weighted_Z_sum_relative_error,1.6500180332766627e-17,True,,,,
BNCI2014_001,AIRM,pooled_session,F,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,LE,session_specific,A,max_marginal_identity_relative_error,0,True,,,,
BNCI2014_001,LE,session_specific,A,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,LE,session_specific,A,max_weighted_Z_sum_relative_error,8.4290101988099734e-18,True,,,,
BNCI2014_001,LE,session_specific,A,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,LE,pooled_session,A,max_marginal_identity_relative_error,0,True,,,,
BNCI2014_001,LE,pooled_session,A,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,LE,pooled_session,A,max_weighted_Z_sum_relative_error,9.3941509763367872e-18,True,,,,
BNCI2014_001,LE,pooled_session,A,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,LE,session_specific,B,max_marginal_identity_relative_error,0,True,,,,
BNCI2014_001,LE,session_specific,B,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,LE,session_specific,B,max_weighted_Z_sum_relative_error,8.8886819737394451e-18,True,,,,
BNCI2014_001,LE,session_specific,B,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,LE,pooled_session,B,max_marginal_identity_relative_error,0,True,,,,
BNCI2014_001,LE,pooled_session,B,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,LE,pooled_session,B,max_weighted_Z_sum_relative_error,8.4973350679761643e-18,True,,,,
BNCI2014_001,LE,pooled_session,B,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,LE,session_specific,F,max_marginal_identity_relative_error,0,True,,,,
BNCI2014_001,LE,session_specific,F,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,LE,session_specific,F,max_weighted_Z_sum_relative_error,8.0418414817262409e-18,True,,,,
BNCI2014_001,LE,session_specific,F,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,LE,pooled_session,F,max_marginal_identity_relative_error,0,True,,,,
BNCI2014_001,LE,pooled_session,F,max_class_proportion_sum_absolute_error,0,True,,,,
BNCI2014_001,LE,pooled_session,F,max_weighted_Z_sum_relative_error,8.632524693879154e-18,True,,,,
BNCI2014_001,LE,pooled_session,F,max_U_Z_absolute_symmetry_error,0,True,,,,
BNCI2014_001,AIRM,,A,,,True,S1_0train_marginal,144,2.4137480985981671e-10,
BNCI2014_001,AIRM,,A,,,True,S1_0train_left_hand,36,1.4626096064107579e-10,
BNCI2014_001,AIRM,,A,,,True,S1_0train_right_hand,36,1.4351220740449989e-10,
BNCI2014_001,AIRM,,A,,,True,S1_0train_feet,36,1.4807778353345127e-10,
BNCI2014_001,AIRM,,A,,,True,S1_0train_tongue,36,1.4179419571755802e-10,
BNCI2014_001,AIRM,,A,,,True,S1_1test_marginal,144,2.3736167804055444e-10,
BNCI2014_001,AIRM,,A,,,True,S1_1test_left_hand,36,1.425148827983348e-10,
BNCI2014_001,AIRM,,A,,,True,S1_1test_right_hand,36,3.0764138229638245e-10,
BNCI2014_001,AIRM,,A,,,True,S1_1test_feet,36,2.6419674863311539e-10,
BNCI2014_001,AIRM,,A,,,True,S1_1test_tongue,36,3.2293937646278819e-10,
BNCI2014_001,AIRM,,A,,,True,S2_0train_marginal,144,1.4650539210333023e-10,
BNCI2014_001,AIRM,,A,,,True,S2_0train_left_hand,36,3.5896783323904205e-10,
BNCI2014_001,AIRM,,A,,,True,S2_0train_right_hand,36,3.4749388935138567e-10,
BNCI2014_001,AIRM,,A,,,True,S2_0train_feet,36,1.438418708269955e-10,
BNCI2014_001,AIRM,,A,,,True,S2_0train_tongue,36,1.5788751323660671e-10,
BNCI2014_001,AIRM,,A,,,True,S2_1test_marginal,144,3.6962373420447409e-10,
BNCI2014_001,AIRM,,A,,,True,S2_1test_left_hand,36,1.9359490728361368e-10,
BNCI2014_001,AIRM,,A,,,True,S2_1test_right_hand,36,2.9966454523020391e-10,
BNCI2014_001,AIRM,,A,,,True,S2_1test_feet,36,3.4882609968317599e-10,
BNCI2014_001,AIRM,,A,,,True,S2_1test_tongue,36,3.2235326180036431e-10,
BNCI2014_001,AIRM,,A,,,True,S3_0train_marginal,144,2.5257987442526321e-10,
BNCI2014_001,AIRM,,A,,,True,S3_0train_left_hand,36,1.9903096237792976e-10,
BNCI2014_001,AIRM,,A,,,True,S3_0train_right_hand,36,1.950222900820512e-10,
BNCI2014_001,AIRM,,A,,,True,S3_0train_feet,36,1.8720793911861043e-10,
BNCI2014_001,AIRM,,A,,,True,S3_0train_tongue,36,1.7564664379119812e-10,
BNCI2014_001,AIRM,,A,,,True,S3_1test_marginal,144,2.5594243866694164e-10,
BNCI2014_001,AIRM,,A,,,True,S3_1test_left_hand,36,1.9371925431905297e-10,
BNCI2014_001,AIRM,,A,,,True,S3_1test_right_hand,36,1.9203439814871684e-10,
BNCI2014_001,AIRM,,A,,,True,S3_1test_feet,36,2.2085895352582324e-10,
BNCI2014_001,AIRM,,A,,,True,S3_1test_tongue,36,1.7591481292357182e-10,
BNCI2014_001,AIRM,,A,,,True,S4_0train_marginal,144,2.9275478077369986e-10,
BNCI2014_001,AIRM,,A,,,True,S4_0train_left_hand,36,3.0049250963824257e-10,
