identity,start_index,prototype_initial_step_size,initial_trial_position,cell_configuration_sha256,initial_prototype_sha256,outer_iteration,joint_final_block_objective,aligned_registration_objective,projected_prototype_gradient_norm,relative_objective_change,prototype_inner_iterations,prototype_accepted_step_sizes,prototype_backtracking_reductions,prototype_total_backtracking_reductions,final_prototype_line_search_step_size,changed_trial_permutations,registration_objective_minimum,registration_objective_median,registration_objective_mean,registration_objective_maximum,consecutive_prototype_quotient_distance,prototype_constraint_residual,convergence_boolean,elapsed_seconds
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,71,3.173638403009463,3.173708396712568,7.40097074620031e-05,4.524350000021874e-05,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.9494886393176891,2.954743457346441,3.173708396712568,5.3848274360079476,0.008280270897803884,1.847000843247242e-14,False,9.20613891701214
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,72,3.1734135908757697,3.173545510719647,9.825049716222868e-06,7.083734980022486e-05,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9499314708653288,2.9547836167162744,3.173545510719647,5.384109898987633,0.3540058027279093,2.6806055385309774e-14,False,9.572859500069171
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,73,3.1730722178270274,3.1732468820470054,1.2520009528012165e-05,0.00010757281991978144,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9500881056241486,2.9548923375547727,3.1732468820470054,5.383611453940047,0.013101814568896163,2.3561555326821514e-14,False,9.412915792083368
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,74,3.1728477330284646,3.172946995704741,0.00013752288835550957,7.074682930367802e-05,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.9492324383101907,2.9550832848249495,3.172946995704741,5.383393640463105,0.009859851843036222,1.6370567340673892e-14,False,9.319376500090584
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,75,3.17269539205893,3.1727662423670497,0.00010985449213192935,4.8013955396892075e-05,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.9489382200501175,2.955024689870043,3.1727662423670497,5.383225855482086,0.008327375021100161,1.7469176802299056e-14,False,9.180910208029673
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,76,3.1725762268229043,3.1726330849619533,9.23837227939014e-06,3.755962085858374e-05,15,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9490487710801343,2.9548611713006947,3.1726330849619533,5.383105099935844,0.007478073901721057,2.4770542803649405e-14,False,8.75215862505138
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,77,3.1724746181329135,3.172523807000305,1.2095395744925869e-05,3.2027186338881266e-05,14,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9493770213035826,2.9546528037547226,3.172523807000305,5.3829614924664195,0.0069422214344122875,2.3202593875917864e-14,False,8.562765500042588
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,78,3.172383537323206,3.1724281722013434,1.5408114154328692e-05,2.8709704779689906e-05,13,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9498069606269468,2.954449512702446,3.1724281722013434,5.3827588929899814,0.006631752568827787,2.6298812292600164e-14,False,8.23283329186961
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,79,3.1722994242440423,3.1723406479063,1.9759475843306424e-05,2.6514158257968488e-05,12,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9502587505164726,2.954260789192035,3.1723406479063,5.382502974327119,0.006346511472978664,2.272440681701291e-14,False,8.287689709104598
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,80,3.1722217460580673,3.172260037994228,1.991680467351025e-05,2.448639790474674e-05,12,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9506820078833393,2.9540733564374895,3.172260037994228,5.3822236700793695,0.0061165663542671386,2.5512510266690023e-14,False,8.253793209092692
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,81,3.172148715743326,3.1721849262782573,1.739676320668498e-05,2.3021818960835262e-05,13,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0]","[0,0,0,0,0,0,0,0,0,0,1,0,0]",1,0.0,0,1.9510468798382832,2.953865270504159,3.1721849262782573,5.381966175521812,0.005972976501317836,2.579174233438813e-14,False,8.286927457898855
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,82,3.172077453203988,3.172113017056944,1.878563040651658e-05,2.2465068861464358e-05,13,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0]","[0,0,0,0,0,0,0,0,0,1,0,0,0]",1,0.0,0,1.951337376691128,2.9536056149790997,3.172113017056944,5.381770092438737,0.00591910659253965,2.384296782330359e-14,False,8.181845540879294
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,83,3.172005502330318,3.172041734823421,1.988780536052004e-05,2.2682571510686246e-05,14,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,0.0]","[0,0,0,0,0,0,0,0,0,1,0,0,0,0]",1,0.0,0,1.9515335777050868,2.9532641640425306,3.172041734823421,5.381663102319941,0.005957383311244075,2.3644018409067016e-14,False,8.24127033399418
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,84,3.1719312718516943,3.171968950848951,1.4356478080593171e-06,2.3401749640515345e-05,15,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,1,0,0,0,1,0]",2,0.0,0,1.9515987300500783,2.9528308412505,3.171968950848951,5.38166925181184,0.006080204413583135,2.4603459328038748e-14,False,8.28667337493971
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,85,3.171851976854739,3.1718926616154315,1.5248384370730595e-06,2.4998964403461892e-05,15,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,1,0,0,0,1,0]",2,0.0,0,1.951488583892147,2.9523190278993114,3.1718926616154315,5.38182791962557,0.0063175792244467175,2.6307063215489895e-14,False,8.128898208029568
