subject,outer_fold,selected_rank,delta_forward,delta_reverse,delta_average
1,2,1,0.40804939810412311,0.46623399172951152,0.43714169491681731
2,3,1,0.18927532258103985,0.41675457887189649,0.30301495072646817
3,4,1,2.7973880554917887,3.7942492637623486,3.2958186596270687
4,0,1,0.30584015955023264,0.66735399896490388,0.48659707925756823
5,5,1,1.7895501871945363,2.2502866866336149,2.0199184369140757
6,5,1,-0.044852571890120568,0.038436469316464134,-0.0032080512868282174
7,4,1,-0.47317264868851383,-0.074712715062055596,-0.2739426818752847
8,2,1,0.023679912516021362,0.023065817824407142,0.023372865170214252
9,2,1,0.22035756340304982,0.10542108546998566,0.16288932443651774
10,0,1,0.004197221947356603,0.16833218244087583,0.086264702194116222
11,0,1,1.3338299565869982,1.9561712319939497,1.645000594290474
12,3,1,0.15327697208300259,0.070894170587544728,0.11208557133527366
13,3,1,0.44897639346000462,0.30304385904807796,0.37601012625404129
14,2,1,0.15925847093798579,0.15499022689807457,0.15712434891803018
15,4,1,0.39974790935877214,0.41561816706676952,0.40768303821277085
16,1,1,0.016414772016036517,-0.090412091829897845,-0.036998659906930666
17,2,1,0.035910894659612266,0.063877524420533655,0.04989420954007296
18,0,1,2.2489511631551959,1.4340591750624694,1.8415051691088327
19,2,1,0.53636183820848138,0.40741016997093393,0.47188600408970766
20,3,1,0.096097331308887812,0.041138121536435784,0.068617726422661798
21,3,1,2.7866796192270118,3.5391258195024853,3.1629027193647485
22,4,1,-0.088860162370295454,-0.50896705557430877,-0.29891360897230213
23,4,1,2.5552494773928647,2.9021980212087999,2.7287237493008325
24,5,1,0.6096846784567691,0.098289524388912142,0.35398710142284062
25,3,1,0.69730240418244871,0.5114455193992179,0.60437396179083325
26,4,1,0.32611981715760607,0.35441564650708551,0.34026773183234582
27,5,1,0.8428069481082634,0.31817673700887084,0.58049184255856712
28,5,1,0.95705402175339782,1.4252550125670003,1.1911545171601992
29,1,1,0.54086872367379224,0.40070315632077214,0.47078593999728219
30,1,1,0.016806093528436195,-0.10274452621564337,-0.042969216343603588
31,0,1,0.46762615114503486,0.87117120479094723,0.66939867796799102
32,3,1,2.3583346204874611,2.8794015347521107,2.6188680776197861
33,4,1,2.8901726185638656,3.3558594162461493,3.1230160174050074
34,5,1,0.83539599782896756,0.084624658768060801,0.46001032829851418
35,4,1,1.1704041299522991,1.0380878185616795,1.1042459742569894
36,1,1,4.6354384772027526,4.0152178961817473,4.3253281866922499
37,0,1,3.2407511347973665,2.3137921663301917,2.7772716505637791
38,1,1,0.2666170374458553,0.42093882469897248,0.34377793107241389
39,3,1,0.39013914837396113,0.44905265527983879,0.41959590182689999
40,2,1,0.8362844606357076,0.81199660322039557,0.82414053192805159
41,3,1,0.95667473661058811,0.7349854242347752,0.84583008042268171
42,2,1,0.14745098997896552,0.12207694737319688,0.1347639686760812
43,0,1,0.24565478403935478,0.022985625642533602,0.1343202048409442
44,5,1,3.5108028030396361,4.2040197243530431,3.8574112636963394
45,0,1,1.188247888853798,0.78296885195588994,0.98560837040484395
46,0,1,-0.036357960727762935,0.022176237175539001,-0.0070908617761119667
47,5,1,-0.53124188381324067,-0.023986209412066223,-0.27761404661265343
48,5,1,0.37691630283305488,-0.13493205962162619,0.12099212160571435
49,1,1,-0.049889538136938208,0.0484191827508638,-0.00073517769303720407
50,2,1,0.76362221041018286,0.70498821474582085,0.73430521257800185
51,1,1,0.016881895425642224,0.2761038994419549,0.14649289743379856
52,1,1,0.013671287120289449,-0.072655459645300569,-0.02949208626250556
53,4,1,0.45546012534151714,0.44182784556067384,0.44864398545109552
54,1,1,0.093944345979776356,0.38730953491122105,0.2406269404454987
