null,observed,null_median,p_value,replicates,reran_rank_selection
subject_pairing,0.41363947001983542,0.0018590539587342685,0.00050000000000000001,1999,True
class_semantics,0.41363947001983542,0.0023884770753418889,0.001,1999,True
equal_rank_random_subspace,0.41363947001983542,0.00019961455213239609,0.00050000000000000001,1999,False
full_space_subject_pairing,0.26225718418117405,-0.029429254038940048,0.00050000000000000001,1999,True
