outer_fold,test_subject,selected_rank,best_rank,one_se_threshold
0,1,1,1,0.78294757219700417
1,2,1,1,0.25157493636149231
2,3,1,1,0.73198493009779297
3,4,1,1,0.31881031059115261
4,5,1,1,0.25925428153768693
5,6,1,1,0.25875376238364922
6,7,1,1,0.80850002802997789
7,8,1,1,0.8484643039425479
8,9,1,1,0.71992134675093911
