subject,median_without_subject
1,0.40768303821277085
2,0.41959590182689999
3,0.40768303821277085
4,0.40768303821277085
5,0.40768303821277085
6,0.41959590182689999
7,0.41959590182689999
8,0.41959590182689999
9,0.41959590182689999
10,0.41959590182689999
11,0.40768303821277085
12,0.41959590182689999
13,0.41959590182689999
14,0.41959590182689999
15,0.41959590182689999
16,0.41959590182689999
17,0.41959590182689999
18,0.40768303821277085
19,0.40768303821277085
20,0.41959590182689999
21,0.40768303821277085
22,0.41959590182689999
23,0.40768303821277085
24,0.41959590182689999
25,0.40768303821277085
26,0.41959590182689999
27,0.40768303821277085
28,0.40768303821277085
29,0.40768303821277085
30,0.41959590182689999
31,0.40768303821277085
32,0.40768303821277085
33,0.40768303821277085
34,0.40768303821277085
35,0.40768303821277085
36,0.40768303821277085
37,0.40768303821277085
38,0.41959590182689999
39,0.40768303821277085
40,0.40768303821277085
41,0.40768303821277085
42,0.41959590182689999
43,0.41959590182689999
44,0.40768303821277085
45,0.40768303821277085
46,0.41959590182689999
47,0.41959590182689999
48,0.41959590182689999
49,0.41959590182689999
50,0.40768303821277085
51,0.41959590182689999
52,0.41959590182689999
53,0.40768303821277085
54,0.41959590182689999
