subject,outer_fold,rank,score_session0_mode1,score_session1_mode1
1,2,1,0.46008004725804769,0.62492165471080852
2,3,1,0.2949787245390954,0.51198076534380377
3,4,1,1.2379794037380785,1.8103374096052354
4,0,1,-0.40988857124761796,-0.94821894443419197
5,5,1,1.106372056213047,1.1640148185828463
6,5,1,-0.88152578229802747,-0.23575675271149787
7,4,1,-0.76500224590326404,0.16922170923839747
8,2,1,-0.24026366085489809,-0.19944169663847977
9,2,1,0.57272218494045035,0.12276680117278252
10,0,1,-0.012057474049249353,-0.55016581102411155
11,0,1,-1.3740160671598824,-1.1728173566799134
12,3,1,-0.51844243391829237,-0.17456142019911969
13,3,1,-0.51960885124586154,-0.74297854894171689
14,2,1,-0.55646510127557181,-0.32453413926466501
15,4,1,-1.0204887425671909,-0.52617066540861712
16,1,1,-0.029478709095208683,-0.93714393456563116
17,2,1,0.082488606229048717,0.17335577739342292
18,0,1,1.4467664044773327,1.0447835717535447
19,2,1,0.87520145869129473,0.350855939747789
20,3,1,-0.59689625013348613,-0.084792128034864578
21,3,1,1.4375000941626659,1.8088828340131442
22,4,1,0.30380939868291734,-0.43811900449842028
23,4,1,1.5393752303806525,1.2106235174378688
24,5,1,-0.84250467866635592,-0.79257223525088316
25,3,1,-0.63778716163952753,-0.97222765865547722
26,4,1,-1.0002510235445454,-0.46048662157974019
27,5,1,-1.0992587352549161,-0.83561971393746726
28,5,1,0.68567224015720252,0.94231016299138659
29,1,1,0.48068030180424243,0.65887008102033651
30,1,1,-0.026414792681709605,-1.0165470522787636
31,0,1,-0.63935682093559698,-0.93346544297796952
32,3,1,1.5505152671676994,1.3913238057711326
33,4,1,1.5857325212211211,1.3733076082558289
34,5,1,-0.81117395664073144,-1.0987753914247658
35,4,1,-1.089293637976116,-1.2089101969757734
36,1,1,1.877441120384886,2.0026743641945273
37,0,1,1.5976636770617554,1.5187475834170432
38,1,1,-0.47497544650955154,-0.94163714504754281
39,3,1,0.85436170246019028,0.32696722952985907
40,2,1,-1.0634784016931078,-0.824704579688047
41,3,1,-1.217480365187491,-0.66469492588674484
42,2,1,-0.3317120610627256,-0.48285245724612358
43,0,1,0.42740672483888881,0.065072683406775356
44,5,1,1.6130242036369926,1.7230552806205233
45,0,1,0.56117519475343114,1.6077438816543965
46,0,1,0.16041087200768003,-0.46920177908623489
47,5,1,-0.96343123080662318,0.097926923647380065
48,5,1,-0.62580873506496837,-0.67120165441581159
49,1,1,-0.22549503867628395,-0.24510049311522275
50,2,1,-0.72294953234129355,-1.0945968078256196
51,1,1,-0.66107376403473606,-0.4360955917358153
52,1,1,0.096397245388861449,-0.32452261411263444
53,4,1,-0.95079816634495939,-0.61347789007416598
54,1,1,-0.80787808302631536,-0.49659440382985204
