subject,rank,delta_forward,delta_reverse,delta_average
1,1,0.34937193142529516,0.460882353924847,0.40512714267507111
2,1,1.6044512114869325,1.7269151281553912,1.6656831698211618
3,1,0.56269675636491234,0.69306355429276367,0.62788015532883801
4,1,0.72507312482643582,0.52867338658474361,0.62687325570558972
5,1,1.3605465567359647,1.4126007402849379,1.3865736485104514
6,1,1.125887170283987,1.2828061560431872,1.2043466631635871
7,1,0.13836972090390548,0.17697628453382411,0.15767300271886481
8,1,0.1046352111343101,0.14249561807874031,0.1235654146065252
9,1,0.64244462327423035,0.77581783646623803,0.70913122987023414
1,2,0.37392348262906838,0.23077761746243519,0.30235055004575179
2,2,0.77755061281218252,0.87433709700418571,0.82594385490818412
3,2,0.30914103560798806,0.51858301867459144,0.41386202714128972
4,2,0.32864446578624112,0.19672795811091837,0.26268621194857977
5,2,0.71869129358621953,0.74036812956639375,0.72952971157630664
6,2,0.60800094421772488,0.66788979368745693,0.63794536895259091
7,2,0.21990401862818457,0.16207403849433535,0.19098902856125996
8,2,0.091532167967441611,0.038759918359986177,0.06514604316371389
9,2,0.3974886353119953,0.52603028840323318,0.46175946185761424
1,3,0.41342071133940739,0.33430783107882756,0.37386427120911747
2,3,0.54617423002545584,0.55224219721907941,0.54920821362226757
3,3,0.23547497951580598,0.37810545060085532,0.30679021505833065
4,3,0.21901755200971357,0.086950309619459168,0.15298393081458636
5,3,0.50775626169864196,0.47193963391069205,0.48984794780466701
6,3,0.37649631232329617,0.52451064790045321,0.45050348011187469
7,3,0.15688826291035901,0.1238092327418053,0.14034874782608214
8,3,0.47100576511035486,0.29731686745181951,0.38416131628108718
9,3,0.32769792493439603,0.34886655406901568,0.33828223950170588
