session,omitted_subject,median_without_subject
0,1,0.45485291345049805
0,2,0.40773685192950138
0,3,0.40773685192950138
0,4,0.45485291345049805
0,5,0.40773685192950138
0,6,0.45485291345049805
0,7,0.40773685192950138
0,8,0.45485291345049805
0,9,0.45485291345049805
0,10,0.45485291345049805
0,11,0.40773685192950138
0,12,0.45485291345049805
0,13,0.40773685192950138
0,14,0.40773685192950138
0,15,0.45485291345049805
0,16,0.40773685192950138
0,17,0.45485291345049805
0,18,0.40773685192950138
0,19,0.45485291345049805
0,20,0.45485291345049805
0,21,0.40773685192950138
0,22,0.40773685192950138
0,23,0.40773685192950138
0,24,0.45485291345049805
0,25,0.40773685192950138
0,26,0.40773685192950138
0,27,0.45485291345049805
0,28,0.40773685192950138
0,29,0.40773685192950138
0,30,0.45485291345049805
0,31,0.45485291345049805
0,32,0.40773685192950138
0,33,0.40773685192950138
0,34,0.45485291345049805
0,35,0.45485291345049805
0,36,0.40773685192950138
0,37,0.40773685192950138
0,38,0.45485291345049805
0,39,0.45485291345049805
0,40,0.45485291345049805
0,41,0.45485291345049805
0,42,0.40773685192950138
0,43,0.45485291345049805
0,44,0.40773685192950138
0,45,0.40773685192950138
0,46,0.45485291345049805
0,47,0.45485291345049805
0,48,0.40773685192950138
0,49,0.45485291345049805
0,50,0.40773685192950138
0,51,0.45485291345049805
0,52,0.45485291345049805
0,53,0.40773685192950138
0,54,0.40773685192950138
1,1,0.38449206405639791
1,2,0.36109878926030031
1,3,0.36109878926030031
1,4,0.38449206405639791
1,5,0.38449206405639791
1,6,0.36109878926030031
1,7,0.38449206405639791
1,8,0.38449206405639791
1,9,0.38449206405639791
1,10,0.38449206405639791
1,11,0.36109878926030031
1,12,0.36109878926030031
1,13,0.36109878926030031
1,14,0.38449206405639791
1,15,0.36109878926030031
1,16,0.36109878926030031
1,17,0.38449206405639791
1,18,0.36109878926030031
1,19,0.38449206405639791
1,20,0.36109878926030031
1,21,0.36109878926030031
1,22,0.38449206405639791
1,23,0.36109878926030031
1,24,0.38449206405639791
1,25,0.36109878926030031
1,26,0.36109878926030031
1,27,0.36109878926030031
1,28,0.36109878926030031
1,29,0.36109878926030031
1,30,0.38449206405639791
1,31,0.38449206405639791
1,32,0.36109878926030031
1,33,0.38449206405639791
1,34,0.38449206405639791
1,35,0.36109878926030031
1,36,0.36109878926030031
1,37,0.36109878926030031
1,38,0.38449206405639791
1,39,0.38449206405639791
1,40,0.38449206405639791
1,41,0.38449206405639791
1,42,0.38449206405639791
1,43,0.36109878926030031
1,44,0.36109878926030031
1,45,0.36109878926030031
1,46,0.38449206405639791
1,47,0.36109878926030031
1,48,0.36109878926030031
1,49,0.38449206405639791
1,50,0.38449206405639791
1,51,0.38449206405639791
1,52,0.36109878926030031
1,53,0.38449206405639791
1,54,0.38449206405639791
