subject,outer_fold,session,rank,delta_forward,delta_reverse,delta_average
1,2,0,1,0.26946845177935619,0.23273290880819048,0.2511006802937733
2,3,0,1,0.21496154157258648,0.12823001813429522,0.17159577985344085
3,4,0,1,2.3133704091095182,2.2530086029754512,2.2831895060424845
4,0,0,1,0.22428771834025341,0.044303527321020303,0.13429562283063684
5,5,0,1,1.4603425417411433,1.738314396532989,1.5993284691370662
6,5,0,1,0.20582196090466881,0.11452107807387907,0.16017151948927394
7,4,0,1,0.44168636776809955,0.26259701397965146,0.35214169087387548
8,2,0,1,-0.028489383422565059,-0.084652403424183259,-0.056570893423374159
9,2,0,1,0.40433542880766182,0.33441713425068997,0.3693762815291759
10,0,0,1,0.015180442925730897,-0.051524232896931241,-0.018171894985600172
11,0,0,1,1.7109161078375199,1.506191237245335,1.6085536725414276
12,3,0,1,0.12425749399531637,0.14337614317626307,0.13381681858578973
13,3,0,1,0.091690803946851196,0.17633823954318503,0.1340145217450181
14,2,0,1,0.20337355081667854,0.238265583932428,0.22081956737455327
15,4,0,1,0.71497012717852759,0.53819697581397152,0.62658355149624956
16,1,0,1,-0.13869235946208888,-0.083480157556976589,-0.11108625850953274
17,2,0,1,0.03199328982860513,0.038643886098214668,0.035318587963409899
18,0,0,1,1.592576105935303,1.8413167553470784,1.7169464306411908
19,2,0,1,0.81995620340575481,0.74754985743764957,0.78375303042170219
20,3,0,1,0.14057839642494957,0.19318368973543321,0.16688104308019139
21,3,0,1,2.3050417437564112,2.3115251467786591,2.3082834452675351
22,4,0,1,0.2077197662079564,0.36968540828752061,0.28870258724773851
23,4,0,1,2.7407902689447114,2.7230065272078834,2.7318983980762974
24,5,0,1,0.26141866135039932,0.048116082617611133,0.15476737198400523
25,3,0,1,0.23378790344720496,0.30044746791741422,0.26711768568230959
26,4,0,1,0.72226320230825114,0.59811755899389663,0.66019038065107383
27,5,0,1,0.46030584795977814,0.098473930584366154,0.27938988927207214
28,5,0,1,0.80978503946554747,0.8375463386895966,0.82366568907757198
29,1,0,1,0.28481226712551622,0.29531496687636966,0.29006361700094296
30,1,0,1,-0.002122535372394603,0.0018554670290650823,-0.00013353417166476035
31,0,0,1,0.36555540186824864,0.17257097395335538,0.26906318791080203
32,3,0,1,2.8548128611954526,2.7819584994569135,2.8183856803261831
33,4,0,1,2.8177983928380241,2.7944185773936585,2.8061084851158413
34,5,0,1,-0.38372808214520721,0.0063266701384019873,-0.18870070600340261
35,4,0,1,0.67288846753646148,0.50743901736146313,0.5901637424489623
36,1,0,1,3.6029950475388044,3.6091473198137618,3.6060711836762831
37,0,0,1,1.8876487037116649,2.2268142095647665,2.0572314566382159
38,1,0,1,0.10309474421023009,0.10233277083516734,0.10271375752269871
39,3,0,1,0.63090763602751365,0.6330833963082253,0.63199551616786942
40,2,0,1,0.63766474561248476,0.69390568394316821,0.66578521477782648
41,3,0,1,0.84899050075525428,0.97223935765565705,0.91061492920545573
42,2,0,1,0.034032014170892994,0.083544437902901655,0.058788226036897324
43,0,0,1,0.070986199253098195,0.10338422594273371,0.087185212597915951
44,5,0,1,3.2173058327441808,3.2385868531735085,3.2279463429588446
45,0,0,1,0.13331241713683037,0.27889615323079636,0.20610428518381335
46,0,0,1,-0.0087062546895307243,0.024900528626765311,0.0080971369686172936
47,5,0,1,0.37313694240281092,0.15574913123928141,0.2644430368210462
48,5,0,1,0.12516597300167548,-0.093824231716928663,0.015670870642373408
49,1,0,1,-0.046166309127913051,-0.078011434874043731,-0.062088872000978387
50,2,0,1,0.39875004388021751,0.44287955290418601,0.42081479839220176
51,1,0,1,0.15870819328695748,0.16997537786085065,0.16434178557390405
52,1,0,1,0.029626109403525204,0.027782913260820753,0.028704511332172979
53,4,0,1,0.34980648356513444,0.4113477187908926,0.38057710117801352
54,1,0,1,0.29959336407745524,0.33083662499565292,0.31521499453655411
1,2,1,1,0.32596487769041782,0.39623404416088598,0.36109946092565193
2,3,1,1,0.23767927787482551,0.27148395280596932,0.25458161534039742
3,4,1,1,2.9960294530961082,3.3310535107398085,3.1635414819179584
4,0,1,1,0.48147578987170392,0.39483999724039676,0.43815789355605034
5,5,1,1,1.3268529625232481,1.2948594996654506,1.3108562310943492
6,5,1,1,-0.021599674048448991,0.0085406099530118094,-0.0065295320477185906
7,4,1,1,0.094639038891633123,0.029151189060376819,0.061895113976004973
8,2,1,1,-0.091933897567489944,-0.11097620856886195,-0.10145505306817595
9,2,1,1,0.032282264851736873,0.066481309649992631,0.049381787250864756
10,0,1,1,0.14939477842432478,0.094263325155601554,0.12182905178996317
11,0,1,1,1.0357463958839892,0.92428175488690156,0.98001407538544538
12,3,1,1,0.0056479594663569176,0.00071481347085640499,0.0031813864686066613
13,3,1,1,0.4145376675503491,0.4889926305597983,0.4517651490550737
14,2,1,1,-0.027131370837374748,-0.030620276228729159,-0.028875823533051952
15,4,1,1,0.18213924465040579,0.22289899139198974,0.20251911802119776
16,1,1,1,0.54112205719894224,0.45891781879104704,0.50001993799499467
17,2,1,1,0.01153817730236768,0.042145082144357152,0.026841629723362417
18,0,1,1,1.2232454008385347,1.4386134731161022,1.3309294369773186
19,2,1,1,0.07237064273111754,0.14677659084530895,0.10957361678821324
20,3,1,1,-0.0071626072398635852,0.0034002493700993307,-0.0018811789348821273
21,3,1,1,3.1590530870173485,3.2255761633660915,3.1923146251917203
22,4,1,1,0.036505467219197431,0.066630471652442347,0.051567969435819885
23,4,1,1,1.3341569652589218,1.4934143203506958,1.4137856428048088
24,5,1,1,0.32170169748269944,0.37725844511275636,0.3494800712977279
25,3,1,1,0.6149708294329479,0.73752534587856911,0.6762480876557585
26,4,1,1,0.11851313099816897,0.16033359300423436,0.13942336200120167
27,5,1,1,0.48217965980627076,0.54462535349644559,0.51340250665135811
28,5,1,1,0.94011276545507438,1.0429241430471938,0.99151845425113416
29,1,1,1,0.76883946370442391,0.74116309688462134,0.75500128029452263
30,1,1,1,0.44771054184590475,0.35596675188319488,0.40183864686454984
31,0,1,1,0.46374866858683927,0.3867923575037211,0.42527051304528019
32,3,1,1,1.93087316742994,1.984202235742609,1.9575377015862745
33,4,1,1,1.5266805464457343,1.8707795966250134,1.6987300715353739
34,5,1,1,0.49397860593727505,0.55534120032995848,0.52465990313361677
35,4,1,1,1.1015595265747651,1.2024108731987633,1.1519851998867643
36,1,1,1,4.9507667646134923,4.8825812756278095,4.9166740201206505
37,0,1,1,2.5381703511316251,2.6676423778825491,2.6029063645070871
38,1,1,1,0.38827696517075855,0.34228629361943497,0.36528162939509679
39,3,1,1,0.092062128029229862,0.081016532407926847,0.086539330218578348
40,2,1,1,0.5590809669983976,0.46148357198880402,0.51028226949360078
41,3,1,1,0.17151615788138172,0.30106970430050817,0.23629293109094496
42,2,1,1,0.18004964362159701,0.089551443925622073,0.13480054377360953
43,0,1,1,0.049243326297481481,0.046046880034098403,0.047645103165789945
44,5,1,1,3.3299565035820655,3.327894088358315,3.3289252959701905
45,0,1,1,2.6797506683598806,2.885992163758587,2.7828714160592338
46,0,1,1,0.0048286132450146291,0.063156512777120921,0.033992563011067775
47,5,1,1,0.078255576657458636,0.0070524424962539103,0.042654009576856271
48,5,1,1,0.31007453893126191,0.35798157796009233,0.33402805844567712
49,1,1,1,-0.1473745870242579,-0.00144293978384415,-0.074408763404051032
50,2,1,1,0.87146206720751374,0.79981181533642187,0.83563694127196775
51,1,1,1,-0.0043725369453758729,-0.39687167332983281,-0.20062210513760434
52,1,1,1,-0.016893881968057002,-0.087274536167335687,-0.052084209067696341
53,4,1,1,0.073842354082589198,0.11853767472482013,0.096190014403704671
54,1,1,1,-0.37457137511937705,0.034439511825913219,-0.17006593164673192
