protocol,target_subject,condition,class_label,recall
T2,1,STATIC,left_hand,0.75
T2,1,STATIC,right_hand,0.6944444444444444
T2,1,STATIC,feet,0.4027777777777778
T2,1,STATIC,tongue,0.625
T2,1,STATIC_PLUS_GRAM,left_hand,0.7361111111111112
T2,1,STATIC_PLUS_GRAM,right_hand,0.6944444444444444
T2,1,STATIC_PLUS_GRAM,feet,0.3888888888888889
T2,1,STATIC_PLUS_GRAM,tongue,0.6805555555555556
T2,1,STATIC_PLUS_SENSOR,left_hand,0.625
T2,1,STATIC_PLUS_SENSOR,right_hand,0.5416666666666666
T2,1,STATIC_PLUS_SENSOR,feet,0.4444444444444444
T2,1,STATIC_PLUS_SENSOR,tongue,0.6666666666666666
T2,2,STATIC,left_hand,0.3611111111111111
T2,2,STATIC,right_hand,0.2916666666666667
T2,2,STATIC,feet,0.2777777777777778
T2,2,STATIC,tongue,0.4027777777777778
T2,2,STATIC_PLUS_GRAM,left_hand,0.3611111111111111
T2,2,STATIC_PLUS_GRAM,right_hand,0.3194444444444444
T2,2,STATIC_PLUS_GRAM,feet,0.2777777777777778
T2,2,STATIC_PLUS_GRAM,tongue,0.3611111111111111
T2,2,STATIC_PLUS_SENSOR,left_hand,0.3055555555555556
T2,2,STATIC_PLUS_SENSOR,right_hand,0.3055555555555556
T2,2,STATIC_PLUS_SENSOR,feet,0.3055555555555556
T2,2,STATIC_PLUS_SENSOR,tongue,0.3611111111111111
T2,3,STATIC,left_hand,0.5833333333333334
T2,3,STATIC,right_hand,0.7083333333333334
T2,3,STATIC,feet,0.6805555555555556
T2,3,STATIC,tongue,0.6111111111111112
T2,3,STATIC_PLUS_GRAM,left_hand,0.5972222222222222
T2,3,STATIC_PLUS_GRAM,right_hand,0.7638888888888888
T2,3,STATIC_PLUS_GRAM,feet,0.6388888888888888
T2,3,STATIC_PLUS_GRAM,tongue,0.6527777777777778
T2,3,STATIC_PLUS_SENSOR,left_hand,0.6527777777777778
T2,3,STATIC_PLUS_SENSOR,right_hand,0.5138888888888888
T2,3,STATIC_PLUS_SENSOR,feet,0.6527777777777778
T2,3,STATIC_PLUS_SENSOR,tongue,0.5
T2,4,STATIC,left_hand,0.4861111111111111
T2,4,STATIC,right_hand,0.4722222222222222
T2,4,STATIC,feet,0.4861111111111111
T2,4,STATIC,tongue,0.4583333333333333
T2,4,STATIC_PLUS_GRAM,left_hand,0.4722222222222222
