dataset,stage,observed,null_median,effect,p_value,direction_positive,gate_pass,role
BNCI2014_001,R,0.74763691377525077,-0.0010625793724169,0.74869949314766782,0.00050000000000000001,True,,RETROSPECTIVE_DEVELOPMENT_ONLY
BNCI2014_001,I,0.77304114293468351,-0.18314568637672651,0.95618682931140997,7.4908050368173076e-06,True,,RETROSPECTIVE_DEVELOPMENT_ONLY
BNCI2014_001,C,0.77304114293468351,-0.00072311930006929996,0.77376426223475281,0.00050000000000000001,True,,RETROSPECTIVE_DEVELOPMENT_ONLY
OpenBMI,R,0.43794819693951098,-7.4505965558600623e-05,0.43802270290506962,0.00050000000000000001,True,True,PROSPECTIVE_EXTERNAL_REPLICATION
OpenBMI,I,0.33966986921013081,0.0240363936878519,0.31563347552227888,9.9999000009999908e-06,True,True,PROSPECTIVE_EXTERNAL_REPLICATION
OpenBMI,C,0.33966986921013081,0.00063253134082039998,0.3390373378693104,0.00050000000000000001,True,True,PROSPECTIVE_EXTERNAL_REPLICATION
