outer_fold,inner_fold,method,l2,kappa,mean_balanced_accuracy
1,0,GLOBAL_KAPPA,,0.5,0.66666666666666663
1,0,GLOBAL_KAPPA,,0.59999999999999998,0.66111111111111109
1,0,GLOBAL_KAPPA,,0.69999999999999996,0.65777777777777779
1,0,GLOBAL_KAPPA,,0.80000000000000004,0.65333333333333332
1,0,GLOBAL_KAPPA,,0.90000000000000002,0.65333333333333332
1,0,GLOBAL_KAPPA,,1,0.65777777777777779
1,1,SELECTIVE_GATE,0.0001,,0.72666666666666679
1,1,SELECTIVE_GATE,0.001,,0.72444444444444445
1,1,SELECTIVE_GATE,0.01,,0.72444444444444445
1,1,SELECTIVE_GATE,0.10000000000000001,,0.72333333333333327
1,1,SELECTIVE_GATE,1,,0.71666666666666667
1,1,SELECTIVE_GATE,10,,0.71333333333333326
1,1,GLOBAL_KAPPA,,0,0.69999999999999996
1,1,GLOBAL_KAPPA,,0.10000000000000001,0.71222222222222231
1,1,GLOBAL_KAPPA,,0.20000000000000001,0.71666666666666667
1,1,GLOBAL_KAPPA,,0.29999999999999999,0.71444444444444444
1,1,GLOBAL_KAPPA,,0.40000000000000002,0.71666666666666667
1,1,GLOBAL_KAPPA,,0.5,0.70777777777777784
1,1,GLOBAL_KAPPA,,0.59999999999999998,0.70777777777777773
1,1,GLOBAL_KAPPA,,0.69999999999999996,0.69888888888888889
1,1,GLOBAL_KAPPA,,0.80000000000000004,0.68888888888888877
1,1,GLOBAL_KAPPA,,0.90000000000000002,0.68555555555555558
1,1,GLOBAL_KAPPA,,1,0.68555555555555558
1,2,SELECTIVE_GATE,0.0001,,0.72444444444444445
1,2,SELECTIVE_GATE,0.001,,0.72111111111111115
1,2,SELECTIVE_GATE,0.01,,0.7155555555555555
1,2,SELECTIVE_GATE,0.10000000000000001,,0.7155555555555555
1,2,SELECTIVE_GATE,1,,0.71888888888888891
1,2,SELECTIVE_GATE,10,,0.71888888888888891
1,2,GLOBAL_KAPPA,,0,0.71333333333333337
1,2,GLOBAL_KAPPA,,0.10000000000000001,0.7155555555555555
1,2,GLOBAL_KAPPA,,0.20000000000000001,0.71111111111111114
1,2,GLOBAL_KAPPA,,0.29999999999999999,0.71444444444444444
1,2,GLOBAL_KAPPA,,0.40000000000000002,0.71333333333333337
1,2,GLOBAL_KAPPA,,0.5,0.71333333333333337
1,2,GLOBAL_KAPPA,,0.59999999999999998,0.71666666666666667
1,2,GLOBAL_KAPPA,,0.69999999999999996,0.70888888888888901
1,2,GLOBAL_KAPPA,,0.80000000000000004,0.70000000000000007
1,2,GLOBAL_KAPPA,,0.90000000000000002,0.68999999999999995
1,2,GLOBAL_KAPPA,,1,0.68333333333333335
1,3,SELECTIVE_GATE,0.0001,,0.67666666666666664
1,3,SELECTIVE_GATE,0.001,,0.68222222222222217
1,3,SELECTIVE_GATE,0.01,,0.69111111111111112
1,3,SELECTIVE_GATE,0.10000000000000001,,0.68888888888888888
1,3,SELECTIVE_GATE,1,,0.69888888888888889
1,3,SELECTIVE_GATE,10,,0.69333333333333325
1,3,GLOBAL_KAPPA,,0,0.69222222222222229
1,3,GLOBAL_KAPPA,,0.10000000000000001,0.69777777777777783
1,3,GLOBAL_KAPPA,,0.20000000000000001,0.69222222222222229
1,3,GLOBAL_KAPPA,,0.29999999999999999,0.69444444444444442
1,3,GLOBAL_KAPPA,,0.40000000000000002,0.69888888888888889
1,3,GLOBAL_KAPPA,,0.5,0.68333333333333335
1,3,GLOBAL_KAPPA,,0.59999999999999998,0.67666666666666675
1,3,GLOBAL_KAPPA,,0.69999999999999996,0.67444444444444451
1,3,GLOBAL_KAPPA,,0.80000000000000004,0.66888888888888898
1,3,GLOBAL_KAPPA,,0.90000000000000002,0.66555555555555568
1,3,GLOBAL_KAPPA,,1,0.65888888888888886
1,4,SELECTIVE_GATE,0.0001,,0.63777777777777778
1,4,SELECTIVE_GATE,0.001,,0.63
1,4,SELECTIVE_GATE,0.01,,0.6166666666666667
1,4,SELECTIVE_GATE,0.10000000000000001,,0.6066666666666668
1,4,SELECTIVE_GATE,1,,0.59444444444444455
1,4,SELECTIVE_GATE,10,,0.59222222222222232
1,4,GLOBAL_KAPPA,,0,0.64000000000000012
1,4,GLOBAL_KAPPA,,0.10000000000000001,0.62444444444444447
1,4,GLOBAL_KAPPA,,0.20000000000000001,0.61555555555555552
1,4,GLOBAL_KAPPA,,0.29999999999999999,0.60555555555555562
1,4,GLOBAL_KAPPA,,0.40000000000000002,0.59111111111111114
1,4,GLOBAL_KAPPA,,0.5,0.58888888888888902
1,4,GLOBAL_KAPPA,,0.59999999999999998,0.5855555555555555
1,4,GLOBAL_KAPPA,,0.69999999999999996,0.58111111111111113
1,4,GLOBAL_KAPPA,,0.80000000000000004,0.57444444444444442
1,4,GLOBAL_KAPPA,,0.90000000000000002,0.5722222222222223
1,4,GLOBAL_KAPPA,,1,0.56444444444444442
2,0,SELECTIVE_GATE,0.0001,,0.71222222222222209
2,0,SELECTIVE_GATE,0.001,,0.7088888888888889
2,0,SELECTIVE_GATE,0.01,,0.69777777777777783
2,0,SELECTIVE_GATE,0.10000000000000001,,0.68888888888888888
2,0,SELECTIVE_GATE,1,,0.68777777777777771
2,0,SELECTIVE_GATE,10,,0.68666666666666665
2,0,GLOBAL_KAPPA,,0,0.70555555555555549
2,0,GLOBAL_KAPPA,,0.10000000000000001,0.70666666666666655
2,0,GLOBAL_KAPPA,,0.20000000000000001,0.69444444444444442
2,0,GLOBAL_KAPPA,,0.29999999999999999,0.68666666666666665
2,0,GLOBAL_KAPPA,,0.40000000000000002,0.67555555555555558
2,0,GLOBAL_KAPPA,,0.5,0.68111111111111122
2,0,GLOBAL_KAPPA,,0.59999999999999998,0.68555555555555558
2,0,GLOBAL_KAPPA,,0.69999999999999996,0.68333333333333335
2,0,GLOBAL_KAPPA,,0.80000000000000004,0.67888888888888888
2,0,GLOBAL_KAPPA,,0.90000000000000002,0.67888888888888888
2,0,GLOBAL_KAPPA,,1,0.67666666666666664
2,1,SELECTIVE_GATE,0.0001,,0.68111111111111111
2,1,SELECTIVE_GATE,0.001,,0.681111111111111
2,1,SELECTIVE_GATE,0.01,,0.68333333333333335
2,1,SELECTIVE_GATE,0.10000000000000001,,0.68666666666666665
2,1,SELECTIVE_GATE,1,,0.69111111111111112
2,1,SELECTIVE_GATE,10,,0.69222222222222229
2,1,GLOBAL_KAPPA,,0,0.70888888888888901
2,1,GLOBAL_KAPPA,,0.10000000000000001,0.69888888888888889
2,1,GLOBAL_KAPPA,,0.20000000000000001,0.69333333333333336
2,1,GLOBAL_KAPPA,,0.29999999999999999,0.69444444444444442
2,1,GLOBAL_KAPPA,,0.40000000000000002,0.68666666666666654
2,1,GLOBAL_KAPPA,,0.5,0.67777777777777781
2,1,GLOBAL_KAPPA,,0.59999999999999998,0.67222222222222217
2,1,GLOBAL_KAPPA,,0.69999999999999996,0.66666666666666674
2,1,GLOBAL_KAPPA,,0.80000000000000004,0.66222222222222227
2,1,GLOBAL_KAPPA,,0.90000000000000002,0.65555555555555545
2,1,GLOBAL_KAPPA,,1,0.65222222222222226
2,2,SELECTIVE_GATE,0.0001,,0.60999999999999999
2,2,SELECTIVE_GATE,0.001,,0.60999999999999988
2,2,SELECTIVE_GATE,0.01,,0.60999999999999988
2,2,SELECTIVE_GATE,0.10000000000000001,,0.60222222222222221
2,2,SELECTIVE_GATE,1,,0.60444444444444456
2,2,SELECTIVE_GATE,10,,0.60555555555555562
2,2,GLOBAL_KAPPA,,0,0.63444444444444448
2,2,GLOBAL_KAPPA,,0.10000000000000001,0.62555555555555553
2,2,GLOBAL_KAPPA,,0.20000000000000001,0.62222222222222223
2,2,GLOBAL_KAPPA,,0.29999999999999999,0.60444444444444456
2,2,GLOBAL_KAPPA,,0.40000000000000002,0.60111111111111104
2,2,GLOBAL_KAPPA,,0.5,0.59777777777777785
2,2,GLOBAL_KAPPA,,0.59999999999999998,0.59444444444444444
2,2,GLOBAL_KAPPA,,0.69999999999999996,0.5855555555555555
2,2,GLOBAL_KAPPA,,0.80000000000000004,0.58888888888888891
2,2,GLOBAL_KAPPA,,0.90000000000000002,0.59111111111111114
2,2,GLOBAL_KAPPA,,1,0.58000000000000007
2,3,SELECTIVE_GATE,0.0001,,0.74777777777777776
2,3,SELECTIVE_GATE,0.001,,0.74999999999999989
2,3,SELECTIVE_GATE,0.01,,0.74444444444444435
2,3,SELECTIVE_GATE,0.10000000000000001,,0.7433333333333334
2,3,SELECTIVE_GATE,1,,0.74555555555555553
2,3,SELECTIVE_GATE,10,,0.7466666666666667
2,3,GLOBAL_KAPPA,,0,0.72777777777777775
2,3,GLOBAL_KAPPA,,0.10000000000000001,0.75777777777777766
2,3,GLOBAL_KAPPA,,0.20000000000000001,0.75444444444444447
2,3,GLOBAL_KAPPA,,0.29999999999999999,0.74777777777777787
2,3,GLOBAL_KAPPA,,0.40000000000000002,0.7466666666666667
2,3,GLOBAL_KAPPA,,0.5,0.74777777777777776
2,3,GLOBAL_KAPPA,,0.59999999999999998,0.74888888888888894
2,3,GLOBAL_KAPPA,,0.69999999999999996,0.75222222222222213
2,3,GLOBAL_KAPPA,,0.80000000000000004,0.75111111111111106
2,3,GLOBAL_KAPPA,,0.90000000000000002,0.75111111111111106
2,3,GLOBAL_KAPPA,,1,0.75
2,4,SELECTIVE_GATE,0.0001,,0.68666666666666665
2,4,SELECTIVE_GATE,0.001,,0.68666666666666665
2,4,SELECTIVE_GATE,0.01,,0.69222222222222218
2,4,SELECTIVE_GATE,0.10000000000000001,,0.69111111111111112
2,4,SELECTIVE_GATE,1,,0.69333333333333336
