dataset,direction,outer_fold,selected_l2,objective,optimizer_iterations,parameter_norm,intercept
openbmi,chronological,0,0.001,0.5815156998156934,51,2.3056882687822684,-1.9134108287468865
openbmi,chronological,1,0.0001,0.5858970201908309,47,4.3572801355207993,-2.334625487461484
openbmi,chronological,2,0.0001,0.56175095218626392,112,5.3534016557792157,-2.0684044856659662
openbmi,chronological,3,0.0001,0.58424493875944061,77,5.2745257846263911,-2.0636383694029368
openbmi,chronological,4,0.001,0.57491579570230333,53,1.8599969067693132,-2.3093557643274902
openbmi,chronological,5,0.0001,0.56890650082319638,128,4.6951799805633065,-1.8334091202767742
