null,observed_selective_minus_identity,null_mean,null_median,null_95_low,null_95_high,p_value,replicates
ENROLLMENT_SUBJECT_MEMORY_PERMUTATION,-0.0049966053822758909,-0.015268072111321954,-0.015159809454647991,-0.021567953516123978,-0.0093277336697920824,0.00050000000000000001,1999
RELIABILITY_FEATURE_PERMUTATION,-0.0049966053822758909,-0.0039471829313197284,-0.0039109484180110624,-0.0083375917332242418,0.000241442673484192,0.6875,1999
ENROLLMENT_CLASS_SEMANTICS_PERMUTATION,-0.0049966053822758909,-0.018939301786725198,-0.019017740572765868,-0.025397167689671762,-0.012180696458557077,0.00050000000000000001,1999
UNPAIRED_SOURCE_SESSION_GATE_TRAINING,-0.0049966053822758909,-0.008202686100152505,-0.0082235954089263114,-0.01071905503299374,-0.0054370603139234737,0.014999999999999999,1999
