dataset,direction,outer_fold,selected_l2,objective,optimizer_iterations,parameter_norm,intercept
stieger,chronological,0,0.01,1.4855636577020321,37,0.99254279996881323,-1.6194482832187642
stieger,chronological,1,10,1.5033362600571645,17,0.0037261523210158081,-1.6983973594884525
stieger,chronological,2,0.01,1.471975024673472,40,0.95666380858068811,-1.6117004488690123
stieger,chronological,3,0.10000000000000001,1.4801642174643133,19,0.22455811197172518,-1.6386715027877032
stieger,chronological,4,0.001,1.4403283106098321,102,2.4443124066524984,-2.2092719049678755
stieger,chronological,5,0.01,1.4558591772030112,50,1.0496163219046875,-1.3353085674903995
