outer_fold,inner_fold,method,l2,kappa,mean_balanced_accuracy
0,0,SELECTIVE_GATE,0.0001,,0.66555555555555557
0,0,SELECTIVE_GATE,0.001,,0.65555555555555556
0,0,SELECTIVE_GATE,0.01,,0.65888888888888886
0,0,SELECTIVE_GATE,0.10000000000000001,,0.64222222222222214
0,0,SELECTIVE_GATE,1,,0.64888888888888885
0,0,SELECTIVE_GATE,10,,0.65444444444444438
0,0,GLOBAL_KAPPA,,0,0.66222222222222227
0,0,GLOBAL_KAPPA,,0.10000000000000001,0.66666666666666663
0,0,GLOBAL_KAPPA,,0.20000000000000001,0.65555555555555556
0,0,GLOBAL_KAPPA,,0.29999999999999999,0.64777777777777779
0,0,GLOBAL_KAPPA,,0.40000000000000002,0.63777777777777778
0,0,GLOBAL_KAPPA,,0.5,0.63222222222222235
0,0,GLOBAL_KAPPA,,0.59999999999999998,0.62666666666666659
0,0,GLOBAL_KAPPA,,0.69999999999999996,0.60555555555555551
0,0,GLOBAL_KAPPA,,0.80000000000000004,0.60111111111111115
0,0,GLOBAL_KAPPA,,0.90000000000000002,0.58666666666666667
0,0,GLOBAL_KAPPA,,1,0.58444444444444443
0,1,SELECTIVE_GATE,0.0001,,0.63111111111111107
0,1,SELECTIVE_GATE,0.001,,0.63000000000000012
0,1,SELECTIVE_GATE,0.01,,0.62333333333333329
0,1,SELECTIVE_GATE,0.10000000000000001,,0.62222222222222223
0,1,SELECTIVE_GATE,1,,0.62444444444444447
0,1,SELECTIVE_GATE,10,,0.63888888888888895
0,1,GLOBAL_KAPPA,,0,0.65444444444444438
0,1,GLOBAL_KAPPA,,0.10000000000000001,0.65222222222222226
0,1,GLOBAL_KAPPA,,0.20000000000000001,0.64555555555555555
0,1,GLOBAL_KAPPA,,0.29999999999999999,0.64333333333333331
0,1,GLOBAL_KAPPA,,0.40000000000000002,0.62444444444444436
0,1,GLOBAL_KAPPA,,0.5,0.62111111111111106
0,1,GLOBAL_KAPPA,,0.59999999999999998,0.61555555555555552
0,1,GLOBAL_KAPPA,,0.69999999999999996,0.60555555555555562
0,1,GLOBAL_KAPPA,,0.80000000000000004,0.59777777777777785
0,1,GLOBAL_KAPPA,,0.90000000000000002,0.58888888888888902
0,1,GLOBAL_KAPPA,,1,0.58777777777777784
0,2,SELECTIVE_GATE,0.0001,,0.67888888888888888
0,2,SELECTIVE_GATE,0.001,,0.68777777777777771
0,2,SELECTIVE_GATE,0.01,,0.66999999999999993
0,2,SELECTIVE_GATE,0.10000000000000001,,0.67777777777777781
0,2,SELECTIVE_GATE,1,,0.67888888888888888
0,2,SELECTIVE_GATE,10,,0.6777777777777777
0,2,GLOBAL_KAPPA,,0,0.66222222222222227
0,2,GLOBAL_KAPPA,,0.10000000000000001,0.6677777777777778
0,2,GLOBAL_KAPPA,,0.20000000000000001,0.67555555555555558
0,2,GLOBAL_KAPPA,,0.29999999999999999,0.67333333333333334
0,2,GLOBAL_KAPPA,,0.40000000000000002,0.68555555555555558
0,2,GLOBAL_KAPPA,,0.5,0.681111111111111
0,2,GLOBAL_KAPPA,,0.59999999999999998,0.68888888888888877
0,2,GLOBAL_KAPPA,,0.69999999999999996,0.68666666666666665
0,2,GLOBAL_KAPPA,,0.80000000000000004,0.68888888888888877
0,2,GLOBAL_KAPPA,,0.90000000000000002,0.69111111111111123
0,2,GLOBAL_KAPPA,,1,0.69000000000000006
0,3,SELECTIVE_GATE,0.0001,,0.71666666666666667
0,3,SELECTIVE_GATE,0.001,,0.71777777777777774
0,3,SELECTIVE_GATE,0.01,,0.71000000000000008
0,3,SELECTIVE_GATE,0.10000000000000001,,0.71333333333333337
0,3,SELECTIVE_GATE,1,,0.71444444444444455
0,3,SELECTIVE_GATE,10,,0.71777777777777774
0,3,GLOBAL_KAPPA,,0,0.69111111111111123
0,3,GLOBAL_KAPPA,,0.10000000000000001,0.69999999999999996
0,3,GLOBAL_KAPPA,,0.20000000000000001,0.71555555555555561
0,3,GLOBAL_KAPPA,,0.29999999999999999,0.7155555555555555
0,3,GLOBAL_KAPPA,,0.40000000000000002,0.72111111111111115
0,3,GLOBAL_KAPPA,,0.5,0.72000000000000008
0,3,GLOBAL_KAPPA,,0.59999999999999998,0.71888888888888891
0,3,GLOBAL_KAPPA,,0.69999999999999996,0.71444444444444444
0,3,GLOBAL_KAPPA,,0.80000000000000004,0.7155555555555555
0,3,GLOBAL_KAPPA,,0.90000000000000002,0.70555555555555549
0,3,GLOBAL_KAPPA,,1,0.69999999999999996
0,4,SELECTIVE_GATE,0.0001,,0.71555555555555561
0,4,SELECTIVE_GATE,0.001,,0.72777777777777786
0,4,SELECTIVE_GATE,0.01,,0.72555555555555562
0,4,SELECTIVE_GATE,0.10000000000000001,,0.74444444444444446
0,4,SELECTIVE_GATE,1,,0.73444444444444446
0,4,SELECTIVE_GATE,10,,0.74555555555555564
0,4,GLOBAL_KAPPA,,0,0.71666666666666667
0,4,GLOBAL_KAPPA,,0.10000000000000001,0.73999999999999999
0,4,GLOBAL_KAPPA,,0.20000000000000001,0.74444444444444446
0,4,GLOBAL_KAPPA,,0.29999999999999999,0.72888888888888892
0,4,GLOBAL_KAPPA,,0.40000000000000002,0.74111111111111105
0,4,GLOBAL_KAPPA,,0.5,0.74111111111111116
0,4,GLOBAL_KAPPA,,0.59999999999999998,0.73222222222222222
0,4,GLOBAL_KAPPA,,0.69999999999999996,0.71888888888888891
0,4,GLOBAL_KAPPA,,0.80000000000000004,0.7022222222222223
0,4,GLOBAL_KAPPA,,0.90000000000000002,0.68555555555555558
0,4,GLOBAL_KAPPA,,1,0.67111111111111121
1,0,SELECTIVE_GATE,0.0001,,0.67111111111111121
1,0,SELECTIVE_GATE,0.001,,0.67666666666666653
1,0,SELECTIVE_GATE,0.01,,0.68111111111111122
1,0,SELECTIVE_GATE,0.10000000000000001,,0.68888888888888899
1,0,SELECTIVE_GATE,1,,0.67888888888888888
1,0,SELECTIVE_GATE,10,,0.67666666666666675
1,0,GLOBAL_KAPPA,,0,0.64999999999999991
1,0,GLOBAL_KAPPA,,0.10000000000000001,0.66666666666666663
1,0,GLOBAL_KAPPA,,0.20000000000000001,0.68333333333333335
1,0,GLOBAL_KAPPA,,0.29999999999999999,0.68666666666666676
1,0,GLOBAL_KAPPA,,0.40000000000000002,0.67999999999999994
1,0,GLOBAL_KAPPA,,0.5,0.68000000000000016
1,0,GLOBAL_KAPPA,,0.59999999999999998,0.67333333333333334
1,0,GLOBAL_KAPPA,,0.69999999999999996,0.66111111111111109
1,0,GLOBAL_KAPPA,,0.80000000000000004,0.6611111111111112
1,0,GLOBAL_KAPPA,,0.90000000000000002,0.65888888888888886
1,0,GLOBAL_KAPPA,,1,0.64444444444444438
