dataset,direction,outer_fold,subject,kappa,global_kappa,fixed_reliability_kappa,oracle_continuous_kappa,h_00,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23
openbmi,chronological,0,4,0.12497215261711984,0.10000000000000001,0.18724311938842017,0.050000000000000003,0.043765973571461697,0.42035542184307007,0.10878461427357397,0.18724311938842017,6.2435198461026102,50,0.32982512680748566,0.61957296071249846,-0.14463443545390267,0.27218509294839754,0.10878461427357397,0,4.4642325344461149,50,0.32982512680748566,0.61957296071249846,0.23216638259682607,0.56852575073774259,0.10878461427357398,0.37448623877684034,8.0228071577591056,50,0.32982512680748566,0.61957296071249846
openbmi,chronological,0,10,0.23138159364886762,0.10000000000000001,0.24765422068790083,0,0.14318987496709479,0.34970589191553164,0.11620517504473568,0.24765422068790083,5.6537535164544996,50,0.34088880158306123,0.78553542184720271,0.10300314297336399,0.32126141662747143,0.11620517504473568,0.18645971003709477,5.5205373492006125,50,0.34088880158306117,0.78553542184720271,0.18337660696082561,0.37815036720359185,0.11620517504473568,0.30884873133870688,5.7869696837083868,50,0.34088880158306123,0.78553542184720271
openbmi,chronological,0,11,0.16622610008233779,0.10000000000000001,0.24942372891337894,0.5,0.14470724710324634,0.28208168960195751,0.093955038438192667,0.24942372891337894,4.012577804239065,50,0.30652086134257267,0.40985551999275904,0.10419494687430467,0.25916921173886975,0.093955038438192667,0.18845712657965571,3.8812755127344007,50,0.30652086134257267,0.40985551999275904,0.18521954733218804,0.30499416746504526,0.093955038438192667,0.31039033124710214,4.1438800957437296,50,0.30652086134257267,0.40985551999275904
openbmi,chronological,0,18,0.91435241401187783,0.10000000000000001,0.73241466062651472,0.92000000000000004,0.58659045346273664,0.36052970543256535,0.33683619053983516,0.73241466062651472,4.6976938486725217,50,0.58037590451347576,1.4377115686561055,0.55721536218843992,0.32059312702715193,0.33683619053983505,0.70277371086597251,4.5856528950903019,50,0.58037590451347565,1.4377115686561055,0.61596554473703347,0.40046628383797878,0.33683619053983521,0.76205561038705694,4.8097348022547406,50,0.58037590451347576,1.4377115686561055
openbmi,chronological,0,31,0.1461953118431352,0.10000000000000001,0.04894374041451717,0.17000000000000001,-0.0056166277770956161,0.300523704621105,0.073798827787385446,0.04894374041451717,4.7567598007532972,50,0.27165939664842342,0.55647700077371764,-0.062928585817978278,0.26629938578817863,0.073798827787385446,0,4.5315716716201075,50,0.27165939664842342,0.55647700077371764,0.051695330263787045,0.33474802345403132,0.073798827787385446,0.09788748082903434,4.9819479298864877,50,0.27165939664842342,0.55647700077371764
openbmi,chronological,0,37,0.9018530530351635,0.10000000000000001,0.71363225946316411,0.88,0.56660199712043346,0.35623368364442787,0.31099320316201917,0.71363225946316411,5.1897654316812671,50,0.55766764579094885,1.430559581711089,0.48453470520618108,0.27608479465698849,0.31099320316201912,0.64920248401126601,4.839807107752069,50,0.55766764579094874,1.430559581711089,0.64866928903468579,0.43638257263186725,0.31099320316201917,0.77806203491506221,5.5397237556104653,50,0.55766764579094885,1.430559581711089
openbmi,chronological,0,43,0.2533476722495841,0.10000000000000001,0.18340610096452836,0,0.10305319689412046,0.2323453260192104,0.071132458341404803,0.18340610096452836,4.9969928877806966,50,0.26670668972000833,0.71821678990598814,0.10045944464331964,0.23099520159778419,0.071132458341404803,0.17866099425484872,4.8015555091359676,50,0.26670668972000833,0.71821678990598814,0.10564694914492126,0.23369545044063661,0.071132458341404803,0.18815120767420798,5.1924302664254256,50,0.26670668972000833,0.71821678990598814
openbmi,chronological,0,45,0.023368095987612258,0.10000000000000001,0.74355300190035423,0.080000000000000002,0.62908583983181043,0.35101456809317233,0.34219017057840073,0.74355300190035423,13.671874437901597,50,0.58497023050613506,1.3069629320699849,0.55146826320759068,0.25675475347347548,0.34219017057840068,0.67468792136626476,13.456832408372088,50,0.58497023050613495,1.3069629320699849,0.70670341645603019,0.44527438271286912,0.34219017057840079,0.81241808243444358,13.886916467431107,50,0.58497023050613506,1.3069629320699849
openbmi,chronological,0,46,0.14258215197650026,0.10000000000000001,0.22298434253224098,0,0.13526889036293366,0.46768480971972592,0.15047470576229144,0.22298434253224098,7.1219990022586988,50,0.38791069302391168,0.8598086215745302,0.03918722906687646,0.37721318516559199,0.15047470576229144,0.072673989547645493,6.4246639214519083,50,0.38791069302391168,0.8598086215745302,0.23135055165899088,0.55815643427385986,0.15047470576229144,0.37329469551683647,7.8193340830654883,50,0.38791069302391168,0.8598086215745302
openbmi,chronological,1,16,0.99595807982483575,0.10000000000000001,0.44982330775322238,0.040000000000000001,0.31907411595722496,2.1649230119105369,0.77076571048246223,0.44982330775322238,11.811308613528144,50,0.87793263436465452,1.70093776721649,-0.21409975111309487,0.30939579079038049,0.77076571048246212,0,8.9915825241165397,50,0.87793263436465452,1.70093776721649,0.85224798302754479,4.0204502330306937,0.77076571048246234,0.89964661550644476,14.631034702939751,50,0.87793263436465463,1.70093776721649
openbmi,chronological,1,29,9.2214078653138159e-06,0.10000000000000001,0.95739074936590129,0.14999999999999999,0.92818150119907605,0.39397911177653999,2.3115820268913767,0.95739074936590129,14.666276960717553,50,1.5203887749162635,3.0918776575031184,0.92493593213234448,0.33074843416686234,2.3115820268913767,0.95055228582945017,9.5662930823918799,50,1.5203887749162635,3.0918776575031184,0.93142707026580762,0.45720978938621759,2.3115820268913767,0.96422921290235253,19.766260839043227,50,1.5203887749162635,3.0918776575031184
openbmi,chronological,1,30,0.087337276774883621,0.10000000000000001,0.1695127190864863,0.53000000000000003,0.050076564672898276,0.26526533585957746,0.070723253839737474,0.1695127190864863,5.579823428267904,50,0.26593843994379129,0.5873932583900735,-0.10405201996275638,0.18698508686945237,0.07072325383973746,0,5.0890963340202164,50,0.26593843994379124,0.5873932583900735,0.20420514930855294,0.34354558484970255,0.070723253839737488,0.33902543817297259,6.0705505225155907,50,0.26593843994379129,0.5873932583900735
openbmi,chronological,1,36,0.99803159186373058,0.10000000000000001,0.90781193926267911,0,0.83997741070217435,0.39101960622493326,1.0603857026093912,0.90781193926267911,6.4803772330693867,50,1.0297503108081061,2.4234682992142074,0.80345202919032233,0.31356616960591277,1.0603857026093912,0.88955126382440453,5.6526339146313695,50,1.0297503108081061,2.4234682992142074,0.87650279221402638,0.46847304284395375,1.0603857026093912,0.92607261470095381,7.3081205515074039,50,1.0297503108081061,2.4234682992142074
openbmi,chronological,1,38,0.035550961171792059,0.10000000000000001,0.045186557242788014,0,-0.26602460808441991,0.61303187839132733,0.06985601339577685,0.045186557242788014,7.4391798923630059,50,0.26430288192862533,0.59953453906403975,-0.57939247818108808,0.25417163159825601,0.06985601339577685,0,5.6393109798808929,50,0.26430288192862533,0.59953453906403975,0.047343262012248241,0.97189212518439871,0.069856013395776864,0.090373114485576028,9.2390488048451189,50,0.26430288192862533,0.59953453906403975
openbmi,chronological,1,49,0.14409211968824151,0.10000000000000001,0,0.83000000000000007,-0.15908071266474846,0.49622485327572752,0.088622090363422057,0,4.5684316002069085,50,0.29769462602375285,0.66608755541013376,-0.24269023294859474,0.4112176875012607,0.088622090363422057,0,4.5590551658607055,50,0.2976946260237528,0.66608755541013376,-0.075471192380902205,0.58123201905019439,0.088622090363422057,0,4.5778080345531116,50,0.29769462602375285,0.66608755541013376
openbmi,chronological,1,51,0.0080329087640624956,0.10000000000000001,0,0.76000000000000001,-0.21594166521931768,0.42382541805799667,0.067875567249151142,0,5.739856339695999,50,0.26052939805164244,0.49317634600745081,-0.2848055646677588,0.36449531201937641,0.067875567249151142,0,5.372302447468094,50,0.26052939805164238,0.49317634600745081,-0.14707776577087656,0.48315552409661688,0.067875567249151142,0,6.107410231923903,50,0.26052939805164244,0.49317634600745081
openbmi,chronological,1,52,0.039162164176968099,0.10000000000000001,0,0.73999999999999999,-0.06092640188760895,0.33660690223713069,0.07448709295136155,0,5.0609048212753684,50,0.27292323637125798,0.65560236290690055,-0.067519473687687376,0.3321174776054498,0.07448709295136155,0,4.8443449981159654,50,0.27292323637125798,0.65560236290690055,-0.054333330087530531,0.34109632686881158,0.074487092951361564,0,5.2774646444347706,50,0.27292323637125798,0.65560236290690055
openbmi,chronological,1,54,0.0050913378523479436,0.10000000000000001,0.12096459096265176,0.040000000000000001,0.065513841871594591,0.30667348173678688,0.087218750969632691,0.12096459096265176,6.5521359909028156,50,0.29532820889585321,0.56220418921026194,0.031865149637441602,0.28598942415795175,0.087218750969632691,0.061676716082972288,4.8668581677828024,50,0.29532820889585315,0.56220418921026194,0.099162534105747588,0.32735753931562206,0.087218750969632705,0.18025246584233123,8.2374138140228297,50,0.29532820889585321,0.56220418921026194
openbmi,chronological,2,1,8.4228310027776936e-06,0.10000000000000001,0.071395545790494286,0,-0.21065834067633024,0.69890647616677282,0.092004729258014784,0.071395545790494286,16.697186121469532,50,0.30332281361284841,0.80507636431355822,-0.49848786033358611,0.31546909414602697,0.092004729258014784,0,14.127263959484665,50,0.30332281361284835,0.80507636431355822,0.077171178980925612,1.0823438581875187,0.092004729258014784,0.14279109158098857,19.267108283454398,50,0.30332281361284841,0.80507636431355822
openbmi,chronological,2,8,0.024267954388503491,0.10000000000000001,0,0.23000000000000001,-0.27613834868927595,0.49260014352658776,0.066334881553550606,0,7.4540455022200058,50,0.25755558924929317,0.58134809855746716,-0.43951285852339633,0.3323217823311635,0.066334881553550593,0,6.801480020845533,50,0.25755558924929317,0.58134809855746716,-0.11276383885515559,0.65287850472201203,0.066334881553550606,0,8.1066109835944786,50,0.25755558924929317,0.58134809855746716
openbmi,chronological,2,9,0.78231986172917167,0.10000000000000001,0.060491907143744486,0.44,-0.06851076151312141,0.37172838601817537,0.079026697716227085,0.060491907143744486,4.6402042576150553,50,0.28111687554507842,0.75049615391323343,-0.20346088365981121,0.27786298558341022,0.079026697716227085,0,4.6307691146921393,50,0.28111687554507842,0.75049615391323343,0.066439360633568409,0.46559378645294053,0.079026697716227098,0.12098381428748897,4.6496394005379722,50,0.28111687554507842,0.75049615391323343
openbmi,chronological,2,14,0.056407969740605364,0.10000000000000001,0.39281740699384982,0.01,0.24846566083734872,0.24480051856143509,0.10079361685543527,0.39281740699384982,5.9635342841161609,50,0.31748010466080434,0.66533066964120802,0.21461979361921701,0.22696365723608281,0.10079361685543525,0.34857635810193899,5.5760118852935454,50,0.31748010466080434,0.66533066964120802,0.28231152805548043,0.26263737988678737,0.10079361685543528,0.43705845588576064,6.3510566829387773,50,0.31748010466080434,0.66533066964120802
openbmi,chronological,2,17,0.17245315365114314,0.10000000000000001,0.27457472735417299,0.38,0.11761306594150484,0.31241866591836664,0.088316406784363033,0.27457472735417299,5.5971517379574047,50,0.29718076449252739,0.69272136177724064,-0.14359207200545387,0.15927000062552182,0.088316406784363033,0,5.5734977385082107,50,0.29718076449252739,0.69272136177724064,0.37881820388846354,0.46556733121121141,0.088316406784363047,0.54914945470834597,5.6208057374065987,50,0.29718076449252745,0.69272136177724064
openbmi,chronological,2,19,0.50496416367736952,0.10000000000000001,0.05733858289053579,0,-0.021517567697691746,0.78612875710157448,0.18436467427115152,0.05733858289053579,7.2357421284212249,50,0.42937707702106265,1.1507954890715766,-0.13140314445100454,0.65288902382188296,0.18436467427115152,0,7.0958524695877294,50,0.42937707702106265,1.1507954890715766,0.088368009055621047,0.91936849038126611,0.18436467427115152,0.11467716578107158,7.3756317872547204,50,0.42937707702106265,1.1507954890715766
openbmi,chronological,2,40,0.10178489830738366,0.10000000000000001,0.065442347139866269,0.17999999999999999,0.034141646948957098,0.30007763095981793,0.080272637552567722,0.065442347139866269,4.1781824226258317,50,0.28332426220245899,0.44279449941780136,0.018674404200448785,0.2907870461307549,0.080272637552567722,0.036507877337303596,3.9197851110093311,50,0.28332426220245899,0.44279449941780136,0.049608889697465415,0.30936821578888096,0.080272637552567735,0.094376816942428957,4.4365797342423328,50,0.28332426220245899,0.44279449941780136
openbmi,chronological,2,42,0.0035684576754658331,0.10000000000000001,0.57773857084955116,0.19,0.42822803101166007,0.34261412651585421,0.2028447916776778,0.57773857084955116,8.2864098988930319,50,0.45038293892828341,0.82197666163495797,0.33673745405606287,0.26234798549831262,0.20284479167767777,0.4788130076722999,7.932393046186081,50,0.45038293892828335,0.82197666163495797,0.51971860796725722,0.4228802675333958,0.20284479167767783,0.67666413402680237,8.640426751599982,50,0.45038293892828341,0.82197666163495797
openbmi,chronological,2,50,0.011539026097499374,0.10000000000000001,0.60669867612229678,0.44,0.43654412242470747,0.30226630962342099,0.19213405299891473,0.60669867612229678,5.559359703557571,50,0.43833098567054873,0.69325270772795022,0.42534302651309835,0.29316607573746667,0.1921340529989147,0.59485768054672539,5.284612873195492,50,0.43833098567054868,0.69325270772795022,0.44774521833631659,0.31136654350937532,0.19213405299891473,0.61853967169786817,5.8341065339196501,50,0.43833098567054873,0.69325270772795022
openbmi,chronological,3,2,0.81911834928036231,0.10000000000000001,0.46558237617627829,0.19,0.31515778878174006,0.23178803803404066,0.10843019939044832,0.46558237617627829,3.6032599138010442,50,0.32928741152745022,0.77001709787257422,0.19552672567732893,0.17159516807107578,0.10843019939044832,0.32679984533895101,3.5909951113155087,50,0.32928741152745017,0.77001709787257422,0.43478885188615124,0.29198090799700555,0.10843019939044833,0.60436490701360557,3.6155247162865791,50,0.32928741152745022,0.77001709787257422
openbmi,chronological,3,12,0.27907963595044699,0.10000000000000001,0.31080290845019931,0,0.18955411211675571,0.25555930414186562,0.092701821901348791,0.31080290845019931,4.7364923145509712,50,0.30446973889263412,0.60812662484512425,0.14608236133629912,0.23078669793173298,0.092701821901348791,0.24399568260023755,4.5826448562250626,50,0.30446973889263412,0.60812662484512425,0.2330258628972123,0.28033191035199823,0.092701821901348805,0.3776101343001611,4.8903397728768798,50,0.30446973889263412,0.60812662484512425
openbmi,chronological,3,13,0.18527382591658137,0.10000000000000001,0.26242929419985345,0.050000000000000003,0.1627269040109211,0.33426051887843,0.11329778835130808,0.26242929419985345,5.5485596920222511,50,0.33659736830716325,0.66567474822815864,0.068501098339004071,0.26992967353312464,0.11329778835130808,0.12047849736420892,5.5111615595988663,50,0.33659736830716319,0.66567474822815864,0.25695270968283812,0.39859136422373531,0.11329778835130808,0.40438009103549793,5.5859578244456358,50,0.33659736830716325,0.66567474822815864
openbmi,chronological,3,20,0.51608682566618747,0.10000000000000001,0.10757775747083001,0.059999999999999998,-0.05385178176790812,0.30560460963655739,0.064337232717864054,0.10757775747083001,4.873366701995641,50,0.25364785179035926,0.52026496860751903,-0.22824950153744034,0.20197888912926176,0.064337232717864054,0,4.8463175883436067,50,0.25364785179035926,0.52026496860751903,0.1205459380016241,0.40923033014385302,0.064337232717864054,0.21515551494166002,4.9004158156476745,50,0.25364785179035926,0.52026496860751903
openbmi,chronological,3,21,0.96551713912889858,0.10000000000000001,0.7335476636330891,0.35999999999999999,0.58290530222055337,0.31515709909449063,0.29569744386050933,0.7335476636330891,4.9219609058130844,50,0.54378069463756196,1.379427714911946,0.53209762853846798,0.26798873188433237,0.29569744386050928,0.6936687534587338,4.7011579031996922,50,0.54378069463756196,1.379427714911946,0.63371297590263875,0.3623254663046489,0.29569744386050933,0.77342657380744428,5.1427639084264767,50,0.54378069463756196,1.379427714911946
openbmi,chronological,3,25,0.16466485089804944,0.10000000000000001,0.056671323567685637,0,0.0025811399358747975,0.38791346685659489,0.09637991179165023,0.056671323567685637,5.4515019666969602,50,0.31045114235842364,0.5822600801166341,-0.059413736271716672,0.34182382983359066,0.09637991179165023,0,5.2534716445840495,50,0.31045114235842364,0.5822600801166341,0.064576016143466267,0.43400310387959906,0.09637991179165023,0.11334264713537127,5.6495322888098709,50,0.31045114235842364,0.5822600801166341
openbmi,chronological,3,32,0.99822093944989188,0.10000000000000001,0.902513815147028,0.35000000000000003,0.82754025857467428,0.26672308943825429,0.68400227643571798,0.902513815147028,5.9778058976140969,50,0.8270443013743084,1.9637248067835766,0.79069409854232098,0.21289078940425582,0.68400227643571798,0.88283833237143117,5.6731046339361422,50,0.8270443013743084,1.9637248067835766,0.86438641860702747,0.32055538947225276,0.68400227643571798,0.92218929792262472,6.2825071612920524,50,0.8270443013743084,1.9637248067835766
openbmi,chronological,3,39,0.7439402261281699,0.10000000000000001,0,0,-0.43725699726445288,0.91322692643436354,0.065392464288506508,0,6.0914653640429943,50,0.25571950314457148,0.76723332234193664,-0.69837548087192092,0.37233481838187177,0.065392464288506508,0,5.886149134926093,50,0.25571950314457148,0.76723332234193664,-0.17613851365698482,1.4541190344868553,0.065392464288506508,0,6.2967815931598956,50,0.25571950314457148,0.76723332234193664
openbmi,chronological,3,41,0.09175125531091638,0.10000000000000001,0.10390060428537033,0.73999999999999999,0.056111108181063643,0.28202696429171731,0.078681830844004597,0.10390060428537033,5.0528946825937213,50,0.2805028178895973,0.432185773469412,0.024449398374586366,0.26434865206556335,0.078681830844004597,0.047730354952400196,5.022198006994179,50,0.2805028178895973,0.432185773469412,0.087772817987540913,0.29970527651787127,0.078681830844004597,0.16007085361834048,5.0835913581932637,50,0.2805028178895973,0.432185773469412
openbmi,chronological,4,3,0.7068560507114986,0,0.77647101273386765,0,0.68619250302446866,0.40100606385708237,0.44849447577771295,0.77647101273386765,10.845197667511059,50,0.66969730160551855,1.587706872540694,0.62526588946620809,0.25997836755932052,0.4484944757777129,0.69785928844623957,9.5482016091860107,50,0.66969730160551855,1.587706872540694,0.74711911658272911,0.54203376015484428,0.44849447577771295,0.85508273702149573,12.142193725836105,50,0.66969730160551866,1.587706872540694
openbmi,chronological,4,7,0.096519688833962655,0,0.59255804720988814,0.01,0.42706248421049647,0.30941567488893063,0.1898526113796461,0.59255804720988814,11.315168236787301,50,0.43572079521139007,0.7755722915711375,0.34635768546267143,0.25001810661868462,0.1898526113796461,0.51434267814241119,10.595971150419848,50,0.43572079521139007,0.7755722915711375,0.50776728295832152,0.36881324315917668,0.1898526113796461,0.67077341627736509,12.034365323154752,50,0.43572079521139007,0.7755722915711375
openbmi,chronological,4,15,0.077640351338482697,0,0.40649913567045903,0,0.28572707636261446,0.55492203256710326,0.23374946268848612,0.40649913567045903,7.4019211570564494,50,0.48347643447068456,0.75034915581231965,0.10437791485652935,0.34643012337573037,0.23374946268848612,0.18351262396632889,6.6009274685270292,50,0.4834764344706845,0.75034915581231965,0.46707623786869962,0.76341394175847621,0.23374946268848615,0.62948564737458912,8.2029148455858696,50,0.48347643447068456,0.75034915581231965
openbmi,chronological,4,22,0.34445389691224804,0,0.52251558374872276,0,0.36861254239994573,0.24765770214531818,0.12966795026095562,0.52251558374872276,7.4528913628505347,50,0.3600943629952511,0.86586006351543354,0.34662155654601756,0.22984622719796111,0.12966795026095562,0.48817503369110582,7.4503255922844911,50,0.36009436299525105,0.86586006351543354,0.3906035282538739,0.26546917709267526,0.12966795026095565,0.55685613380633958,7.4554571334165782,50,0.3600943629952511,0.86586006351543354
openbmi,chronological,4,23,0.26623056021130292,0,0.25453441060867243,0.080000000000000002,0.15066023183831534,0.27116280368831192,0.090937397898786437,0.25453441060867243,5.0196467623695362,50,0.30155828275606433,0.91411835862958735,0.090087511250098229,0.23697062948135034,0.090937397898786437,0.16053520072188443,5.0069691594780004,50,0.30155828275606433,0.91411835862958735,0.21123295242653245,0.30535497789527344,0.090937397898786451,0.34853362049546049,5.032324365261073,50,0.30155828275606433,0.91411835862958735
openbmi,chronological,4,26,0.19842851817201745,0,0.5438429124094537,0.20999999999999999,0.38348874316742554,0.20149374176202389,0.11043001810434608,0.5438429124094537,6.339715723596214,50,0.33231012338528909,0.47667293198246813,0.37490746870690739,0.1988125834238218,0.11043001810434606,0.53777309918248228,6.2097663938248706,50,0.33231012338528909,0.47667293198246813,0.39207001762794363,0.20417490010022596,0.11043001810434608,0.54991272563642501,6.4696650533675566,50,0.33231012338528915,0.47667293198246813
openbmi,chronological,4,33,0.3608069515190519,0,0.30108477151641905,0.23000000000000001,0.18002287811695319,0.51800194592772542,0.16713435695461887,0.30108477151641905,5.1311022383752096,50,0.40882069046786135,1.147008820511549,-0.070765581413054057,0.26596455040626643,0.16713435695461887,0,4.9420376250176297,50,0.40882069046786129,1.147008820511549,0.43081133764696045,0.7700393414491844,0.16713435695461887,0.60216954303283809,5.3201668517327905,50,0.4088206904678614,1.147008820511549
openbmi,chronological,4,35,0.061261158352495876,0,0.16305327150962404,0,0.097433975803095513,0.20555341059392082,0.061399789137516383,0.16305327150962404,4.1755280423713055,50,0.2477898083810478,0.42002490594462466,0.00034776130254602413,0.1656779643857037,0.061399789137516377,0.00069340526375180893,4.0566777099353271,50,0.2477898083810478,0.42002490594462466,0.19452019030364501,0.24542885680213794,0.061399789137516383,0.32541313775549624,4.2943783748072839,50,0.2477898083810478,0.42002490594462466
openbmi,chronological,4,53,0.044592786578606769,0,0.14313649594043173,0.41999999999999998,0.079381993937541181,0.29383285728219077,0.085729190206686734,0.14313649594043173,5.4813870773215418,50,0.29279547504476011,0.55068653968180836,0.030692770733112374,0.26514453754985645,0.085729190206686734,0.059476777287910176,5.2777822540754489,50,0.29279547504476011,0.55068653968180836,0.12807121714196998,0.32252117701452504,0.085729190206686748,0.22679621459295329,5.6849919005676348,50,0.29279547504476011,0.55068653968180836
openbmi,chronological,5,5,0.913303132697037,0,0.27102748685516531,0.5,0.1581043994735471,0.2693868138248785,0.092385792663090438,0.27102748685516531,4.4011052794362673,50,0.30395031281953044,0.88655243437100739,0.1270627693275552,0.25198488277766712,0.092385792663090424,0.2239370995093429,4.3474322377368484,50,0.30395031281953044,0.88655243437100739,0.189146029619539,0.28678874487208994,0.092385792663090438,0.31811787420098775,4.4547783211356853,50,0.3039503128195305,0.88655243437100739
openbmi,chronological,5,6,0.0091919082981758125,0,0.077732974298724611,0.83999999999999997,0.014695968087236878,0.3330046497917164,0.08491554870897447,0.077732974298724611,6.5316658184988263,50,0.29140272598068551,0.47892337351376685,-0.05494189878107502,0.28685628951242148,0.084915548708974456,0,6.2743535315035466,50,0.29140272598068551,0.47892337351376685,0.084333834955548775,0.37915301007101132,0.08491554870897447,0.15546594859744922,6.7889781054941052,50,0.29140272598068551,0.47892337351376685
openbmi,chronological,5,24,0.15372024141135013,0,0.0036249988038385521,0.97999999999999998,-0.040979833268590143,0.38347033934646169,0.08798557806234103,0.0036249988038385521,4.5575847467591721,50,0.29662363031683947,0.55863846803090877,-0.085610377986168343,0.34939073132748694,0.087985578062341016,0,4.482507333797491,50,0.29662363031683942,0.55863846803090877,0.0036507114489880599,0.41754994736543649,0.087985578062341044,0.0072499976076771042,4.6326621597208542,50,0.29662363031683947,0.55863846803090877
openbmi,chronological,5,27,0.045068160135875869,0,0.10517113507530729,0,0.055817758686851668,0.28251438578523141,0.078929725241213583,0.10517113507530729,4.5711247489283373,50,0.28094434545157443,0.42783921546579329,0.044744077036423462,0.27633853229235439,0.078929725241213583,0.085609894129880806,4.1956081203655007,50,0.28094434545157443,0.42783921546579329,0.066891440337279867,0.28869023927810844,0.078929725241213597,0.12473237602073375,4.9466413774911739,50,0.28094434545157443,0.42783921546579329
