outer_fold,inner_fold,method,l2,kappa,mean_balanced_accuracy
1,0,GLOBAL_KAPPA,,0.5,0.36025985572038205
1,0,GLOBAL_KAPPA,,0.59999999999999998,0.36568913838650674
1,0,GLOBAL_KAPPA,,0.69999999999999996,0.3623275531170268
1,0,GLOBAL_KAPPA,,0.80000000000000004,0.36789496263180477
1,0,GLOBAL_KAPPA,,0.90000000000000002,0.37054531034794191
1,0,GLOBAL_KAPPA,,1,0.36526535934430676
1,1,SELECTIVE_GATE,0.0001,,0.32097473413262889
1,1,SELECTIVE_GATE,0.001,,0.30992486847750006
1,1,SELECTIVE_GATE,0.01,,0.30583525254577892
1,1,SELECTIVE_GATE,0.10000000000000001,,0.31815168552010659
1,1,SELECTIVE_GATE,1,,0.32556938517464828
1,1,SELECTIVE_GATE,10,,0.3263014518277676
1,1,GLOBAL_KAPPA,,0,0.30677098150782361
1,1,GLOBAL_KAPPA,,0.10000000000000001,0.31628979543453228
1,1,GLOBAL_KAPPA,,0.20000000000000001,0.32368855697803067
1,1,GLOBAL_KAPPA,,0.29999999999999999,0.32280617083248664
1,1,GLOBAL_KAPPA,,0.40000000000000002,0.33290475626001947
1,1,GLOBAL_KAPPA,,0.5,0.33349062408272934
1,1,GLOBAL_KAPPA,,0.59999999999999998,0.33341752466752472
1,1,GLOBAL_KAPPA,,0.69999999999999996,0.33036809365756736
1,1,GLOBAL_KAPPA,,0.80000000000000004,0.32150816229763601
1,1,GLOBAL_KAPPA,,0.90000000000000002,0.32545651854862384
1,1,GLOBAL_KAPPA,,1,0.3293068256226151
1,2,SELECTIVE_GATE,0.0001,,0.38971278603147802
1,2,SELECTIVE_GATE,0.001,,0.39094128725997929
1,2,SELECTIVE_GATE,0.01,,0.38075406654644267
1,2,SELECTIVE_GATE,0.10000000000000001,,0.37082278358884396
1,2,SELECTIVE_GATE,1,,0.37944498284571809
1,2,SELECTIVE_GATE,10,,0.38108737198810727
1,2,GLOBAL_KAPPA,,0,0.36430310601653487
1,2,GLOBAL_KAPPA,,0.10000000000000001,0.3859743591119365
1,2,GLOBAL_KAPPA,,0.20000000000000001,0.37676965714407662
1,2,GLOBAL_KAPPA,,0.29999999999999999,0.38435896210180265
1,2,GLOBAL_KAPPA,,0.40000000000000002,0.38978252425911103
1,2,GLOBAL_KAPPA,,0.5,0.39049645589409532
1,2,GLOBAL_KAPPA,,0.59999999999999998,0.3930456910284697
1,2,GLOBAL_KAPPA,,0.69999999999999996,0.3897688425503828
1,2,GLOBAL_KAPPA,,0.80000000000000004,0.38374249886924033
1,2,GLOBAL_KAPPA,,0.90000000000000002,0.38238019158588038
1,2,GLOBAL_KAPPA,,1,0.37988246095347483
1,3,SELECTIVE_GATE,0.0001,,0.38022023219391643
1,3,SELECTIVE_GATE,0.001,,0.3862513829619092
1,3,SELECTIVE_GATE,0.01,,0.38069079845395631
1,3,SELECTIVE_GATE,0.10000000000000001,,0.39295156400419556
1,3,SELECTIVE_GATE,1,,0.39537623748150064
1,3,SELECTIVE_GATE,10,,0.39536007299165193
1,3,GLOBAL_KAPPA,,0,0.36409076540655499
1,3,GLOBAL_KAPPA,,0.10000000000000001,0.39227175740333631
1,3,GLOBAL_KAPPA,,0.20000000000000001,0.40060095981148613
1,3,GLOBAL_KAPPA,,0.29999999999999999,0.4008775521933417
1,3,GLOBAL_KAPPA,,0.40000000000000002,0.40152502981450344
1,3,GLOBAL_KAPPA,,0.5,0.40278675804991598
1,3,GLOBAL_KAPPA,,0.59999999999999998,0.40346566662356137
1,3,GLOBAL_KAPPA,,0.69999999999999996,0.40073656192077239
1,3,GLOBAL_KAPPA,,0.80000000000000004,0.4015825035561878
1,3,GLOBAL_KAPPA,,0.90000000000000002,0.39864236245815193
1,3,GLOBAL_KAPPA,,1,0.40294481083954764
1,4,SELECTIVE_GATE,0.0001,,0.32569562984036665
1,4,SELECTIVE_GATE,0.001,,0.32311640587956375
1,4,SELECTIVE_GATE,0.01,,0.32567784890153312
1,4,SELECTIVE_GATE,0.10000000000000001,,0.32688596491228067
1,4,SELECTIVE_GATE,1,,0.32421882408724512
1,4,SELECTIVE_GATE,10,,0.32695807649755015
1,4,GLOBAL_KAPPA,,0,0.32374170222854431
1,4,GLOBAL_KAPPA,,0.10000000000000001,0.32025466255729418
1,4,GLOBAL_KAPPA,,0.20000000000000001,0.32891299193930779
1,4,GLOBAL_KAPPA,,0.29999999999999999,0.32416243310980153
1,4,GLOBAL_KAPPA,,0.40000000000000002,0.32614780193727566
1,4,GLOBAL_KAPPA,,0.5,0.3240414945020208
1,4,GLOBAL_KAPPA,,0.59999999999999998,0.32391200410937254
1,4,GLOBAL_KAPPA,,0.69999999999999996,0.32166353383458646
1,4,GLOBAL_KAPPA,,0.80000000000000004,0.32142439431913117
1,4,GLOBAL_KAPPA,,0.90000000000000002,0.31473876131770873
1,4,GLOBAL_KAPPA,,1,0.30865669240669236
2,0,SELECTIVE_GATE,0.0001,,0.32692578408038936
2,0,SELECTIVE_GATE,0.001,,0.32868314636406742
2,0,SELECTIVE_GATE,0.01,,0.32571254931452304
2,0,SELECTIVE_GATE,0.10000000000000001,,0.32569638482467433
2,0,SELECTIVE_GATE,1,,0.32629447094907627
2,0,SELECTIVE_GATE,10,,0.3269087215633269
2,0,GLOBAL_KAPPA,,0,0.32567924533385056
2,0,GLOBAL_KAPPA,,0.10000000000000001,0.32994944170931012
