dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,5,SELECTIVE_GATE,0.41253753753753758,0.40414951949068811,0.41216216216216217,1.4009800748411025,0.7544902073133436,0.129943182151111,0.1557193121827519,0.5,0.3783783783783784,0.21621621621621623,0.55555555555555558
stieger,chronological,0,5,GLOBAL_KAPPA,0.34479216058163425,0.30593370597427577,0.34459459459459457,1.5447689747394293,0.82225857552598669,0.22604802416401609,0.59999999999999998,0.52631578947368418,0.27027027027027029,0.027027027027027029,0.55555555555555558
stieger,chronological,0,5,FIXED_RELIABILITY_KAPPA,0.35831555239449975,0.31406537827618525,0.35810810810810811,1.4603404547253227,0.78985391381711934,0.1768225869130543,0.40736698420322659,0.55263157894736847,0.27027027027027029,0.027027027027027029,0.58333333333333337
stieger,chronological,0,5,CLASSWISE_SELECTIVE_GATE,0.35173660502607873,0.31013993316624894,0.35135135135135137,1.6031856290493121,0.83846513453869365,0.22405577625713907,0.40736698420322659,0.52631578947368418,0.27027027027027029,0.027027027027027029,0.58333333333333337
stieger,chronological,0,5,ORACLE_CONTINUOUS_KAPPA,0.42640666982772246,0.42946048721397667,0.42567567567567566,1.3979382547792867,0.75190004929144028,0.15673217771757536,0.089999999999999997,0.44736842105263158,0.35135135135135137,0.35135135135135137,0.55555555555555558
stieger,chronological,0,5,POPULATION_ONLY,0.38017622886043945,0.37896424320014377,0.3783783783783784,1.4027815106515695,0.75397339238162508,0.13588011764415778,,0.28947368421052633,0.29729729729729731,0.3783783783783784,0.55555555555555558
stieger,chronological,0,5,IDENTITY_RESIDUAL_CARRY,0.33090327169274536,0.30093112098815977,0.33108108108108109,1.7788652712683102,0.87003259015463563,0.2853413784671186,,0.52631578947368418,0.27027027027027029,0.027027027027027029,0.5
stieger,chronological,0,5,PAST_PROTOTYPE_DIRECT,0.32395882724830094,0.30240169092068775,0.32432432432432434,1.7211958036350805,0.84350678334645124,0.26979220344320987,,0.52631578947368418,0.21621621621621623,0.081081081081081086,0.47222222222222221
stieger,chronological,0,5,LRCM_HISTORICAL_CONTROL,0.36666271534692585,0.36207433923891563,0.36486486486486486,1.6041427815894915,0.80988444408216531,0.20768134350444578,,0.28947368421052633,0.24324324324324326,0.3783783783783784,0.55555555555555558
stieger,chronological,0,11,SELECTIVE_GATE,0.32610241820768138,0.27096906415843292,0.32666666666666666,1.4144015709581164,0.76889239878023297,0.11528727192132683,0.2274186863686701,0.078947368421052627,0.081081081081081086,0.65789473684210531,0.48648648648648651
stieger,chronological,0,11,GLOBAL_KAPPA,0.31258890469416784,0.28017101566164193,0.31333333333333335,1.4230094106775337,0.76405905240854355,0.14362666762595189,0.59999999999999998,0.078947368421052627,0.27027027027027029,0.65789473684210531,0.24324324324324326
stieger,chronological,0,11,FIXED_RELIABILITY_KAPPA,0.31934566145092463,0.25887111601397317,0.32000000000000001,1.4059465304294496,0.76343064345594713,0.12618680775255811,0.31088658150361237,0.078947368421052627,0.054054054054054057,0.65789473684210531,0.48648648648648651
stieger,chronological,0,11,CLASSWISE_SELECTIVE_GATE,0.31276671408250356,0.26207162444275844,0.31333333333333335,1.4662480259863764,0.79101077560170974,0.17543181155301329,0.31088658150361237,0.10526315789473684,0.054054054054054057,0.60526315789473684,0.48648648648648651
stieger,chronological,0,11,ORACLE_CONTINUOUS_KAPPA,0.35277382645803701,0.33114146020589352,0.35333333333333333,1.5300148455068034,0.7926787675745236,0.1682390797514321,0.96999999999999997,0.18421052631578946,0.43243243243243246,0.60526315789473684,0.1891891891891892
stieger,chronological,0,11,POPULATION_ONLY,0.33250355618776672,0.27151098901098902,0.33333333333333331,1.4693460826346778,0.79571377077265881,0.1090395286498516,,0.13157894736842105,0.027027027027027029,0.65789473684210531,0.51351351351351349
stieger,chronological,0,11,IDENTITY_RESIDUAL_CARRY,0.35277382645803701,0.33114146020589352,0.35333333333333333,1.5417399504437133,0.79524374114465568,0.17193982329348795,,0.18421052631578946,0.43243243243243246,0.60526315789473684,0.1891891891891892
stieger,chronological,0,11,PAST_PROTOTYPE_DIRECT,0.33819345661450922,0.32130991285403049,0.34000000000000002,1.5256445012954183,0.7866425834096944,0.15113756446623799,,0.34210526315789475,0.21621621621621623,0.60526315789473684,0.1891891891891892
stieger,chronological,0,11,LRCM_HISTORICAL_CONTROL,0.20803698435277385,0.18642936540794297,0.20666666666666667,1.4449711032191848,0.77492082143847929,0.11478712571084171,,0.052631578947368418,0.16216216216216217,0.15789473684210525,0.45945945945945948
stieger,chronological,0,15,SELECTIVE_GATE,0.37629405721510989,0.36834349328477939,0.3783783783783784,1.5171337645342156,0.78072882720078218,0.10220265333015661,0.23565707817365197,0.43243243243243246,0.48648648648648651,0.1388888888888889,0.44736842105263158
stieger,chronological,0,15,GLOBAL_KAPPA,0.36898411569464196,0.35360607008760953,0.3716216216216216,1.4907947313297043,0.77372163830304974,0.08924559208889131,0.59999999999999998,0.40540540540540543,0.51351351351351349,0.083333333333333329,0.47368421052631576
stieger,chronological,0,15,FIXED_RELIABILITY_KAPPA,0.33143669985775248,0.3176748993580677,0.33108108108108109,1.5543735626259421,0.78713485001385841,0.15433649188796417,0.1026368944590053,0.1891891891891892,0.1891891891891892,0.5,0.44736842105263158
stieger,chronological,0,15,CLASSWISE_SELECTIVE_GATE,0.38267543859649122,0.362303253796813,0.38513513513513514,1.497452598892667,0.77770724912254896,0.097565471980414389,0.1026368944590053,0.45945945945945948,0.54054054054054057,0.083333333333333329,0.44736842105263158
stieger,chronological,0,15,ORACLE_CONTINUOUS_KAPPA,0.40572151098466885,0.40935975329098773,0.40540540540540543,1.5989499713645805,0.77956262082207028,0.098645671037047453,0.97999999999999998,0.40540540540540543,0.48648648648648651,0.3888888888888889,0.34210526315789475
stieger,chronological,0,15,POPULATION_ONLY,0.30440967283072545,0.27839861192001553,0.30405405405405406,1.5929795268616809,0.79700680209845765,0.16193008371334153,,0.16216216216216217,0.10810810810810811,0.5,0.44736842105263158
stieger,chronological,0,15,IDENTITY_RESIDUAL_CARRY,0.40572151098466885,0.40849201489128001,0.40540540540540543,1.6087804043161411,0.7820486734459019,0.084501097268890893,,0.40540540540540543,0.48648648648648651,0.3888888888888889,0.34210526315789475
stieger,chronological,0,15,PAST_PROTOTYPE_DIRECT,0.36679113323850165,0.34807741589089769,0.36486486486486486,1.6859212128040444,0.81104616346409397,0.15201813737518388,,0.32432432432432434,0.59459459459459463,0.41666666666666669,0.13157894736842105
stieger,chronological,0,15,LRCM_HISTORICAL_CONTROL,0.29089615931721197,0.25850340136054423,0.29054054054054052,1.7677402229472219,0.83512340250972483,0.23376415375710016,,0.10810810810810811,0.10810810810810811,0.5,0.44736842105263158
stieger,chronological,0,26,SELECTIVE_GATE,0.44647937411095306,0.43288995950286274,0.44666666666666666,1.2668159920534565,0.6949928883084705,0.13503327018232505,0.025992261068003446,0.21621621621621623,0.34210526315789475,0.57894736842105265,0.64864864864864868
