kind,index,statistic
unrelated_derangement_median,117,-0.22319800059775038
unrelated_derangement_median,118,-0.254533133007322
unrelated_derangement_median,119,-0.065308272162323086
unrelated_derangement_median,120,-0.254533133007322
unrelated_derangement_median,121,-0.254533133007322
unrelated_derangement_median,122,-0.19743518978451347
unrelated_derangement_median,123,-0.254533133007322
unrelated_derangement_median,124,-0.254533133007322
unrelated_derangement_median,125,0.10122449776577896
unrelated_derangement_median,126,0.039709482130273026
unrelated_derangement_median,127,-0.079633587874157322
unrelated_derangement_median,128,-0.254533133007322
unrelated_derangement_median,129,-0.19743518978451347
unrelated_derangement_median,130,-0.254533133007322
unrelated_derangement_median,131,-0.254533133007322
unrelated_derangement_median,132,-0.254533133007322
unrelated_derangement_median,133,-0.254533133007322
unrelated_derangement_median,134,-0.19743518978451347
unrelated_derangement_median,135,-0.19743518978451347
unrelated_derangement_median,136,-0.254533133007322
unrelated_derangement_median,137,-0.32366855276225975
unrelated_derangement_median,138,-0.37316339100032092
unrelated_derangement_median,139,-0.079633587874157322
unrelated_derangement_median,140,-0.10597956781286057
unrelated_derangement_median,141,-0.10597956781286057
unrelated_derangement_median,142,-0.30381655940759217
unrelated_derangement_median,143,-0.254533133007322
unrelated_derangement_median,144,-0.30381655940759217
unrelated_derangement_median,145,-0.30381655940759217
unrelated_derangement_median,146,-0.254533133007322
unrelated_derangement_median,147,-0.254533133007322
unrelated_derangement_median,148,-0.22319800059775038
unrelated_derangement_median,149,-0.22319800059775038
unrelated_derangement_median,150,-0.254533133007322
unrelated_derangement_median,151,-0.254533133007322
unrelated_derangement_median,152,-0.254533133007322
unrelated_derangement_median,153,-0.254533133007322
unrelated_derangement_median,154,-0.28079500637030774
unrelated_derangement_median,155,-0.32366855276225975
unrelated_derangement_median,156,-0.40000086869641382
unrelated_derangement_median,157,-0.40000086869641382
unrelated_derangement_median,158,-0.32366855276225975
unrelated_derangement_median,159,-0.40000086869641382
unrelated_derangement_median,160,-0.42079667745030558
unrelated_derangement_median,161,-0.19638563766119355
unrelated_derangement_median,162,-0.254533133007322
unrelated_derangement_median,163,-0.254533133007322
unrelated_derangement_median,164,0.1608379789068145
unrelated_derangement_median,165,-0.10597956781286057
unrelated_derangement_median,166,0.039709482130273026
unrelated_derangement_median,167,-0.22319800059775038
unrelated_derangement_median,168,-0.19638563766119355
unrelated_derangement_median,169,-0.22319800059775038
unrelated_derangement_median,170,-0.22319800059775038
unrelated_derangement_median,171,-0.254533133007322
unrelated_derangement_median,172,-0.19638563766119355
unrelated_derangement_median,173,-0.254533133007322
unrelated_derangement_median,174,-0.254533133007322
unrelated_derangement_median,175,-0.254533133007322
unrelated_derangement_median,176,-0.28079500637030774
unrelated_derangement_median,177,-0.32366855276225975
unrelated_derangement_median,178,-0.37316339100032092
unrelated_derangement_median,179,-0.19743518978451347
unrelated_derangement_median,180,-0.19743518978451347
unrelated_derangement_median,181,-0.19743518978451347
unrelated_derangement_median,182,-0.19743518978451347
unrelated_derangement_median,183,-0.32366855276225975
unrelated_derangement_median,184,-0.40000086869641382
unrelated_derangement_median,185,-0.254533133007322
unrelated_derangement_median,186,-0.254533133007322
unrelated_derangement_median,187,-0.28079500637030774
unrelated_derangement_median,188,-0.28079500637030774
unrelated_derangement_median,189,-0.37316339100032092
unrelated_derangement_median,190,-0.32366855276225975
unrelated_derangement_median,191,-0.37316339100032092
unrelated_derangement_median,192,-0.40000086869641382
unrelated_derangement_median,193,-0.254533133007322
unrelated_derangement_median,194,-0.254533133007322
unrelated_derangement_median,195,-0.254533133007322
unrelated_derangement_median,196,-0.254533133007322
unrelated_derangement_median,197,-0.32366855276225975
unrelated_derangement_median,198,-0.40000086869641382
unrelated_derangement_median,199,-0.254533133007322
unrelated_derangement_median,200,-0.254533133007322
unrelated_derangement_median,201,-0.28079500637030774
unrelated_derangement_median,202,-0.28079500637030774
unrelated_derangement_median,203,-0.254533133007322
unrelated_derangement_median,204,-0.254533133007322
unrelated_derangement_median,205,-0.254533133007322
unrelated_derangement_median,206,-0.30381655940759217
unrelated_derangement_median,207,-0.30381655940759217
unrelated_derangement_median,208,-0.32366855276225975
unrelated_derangement_median,209,-0.40000086869641382
unrelated_derangement_median,210,-0.40000086869641382
unrelated_derangement_median,211,-0.40000086869641382
