class,R_frobenius_norm,Z_frobenius_norm
left_hand,0.6468648264754141,0.64651276190609686
right_hand,0.57817258009827333,0.57795981779355143
feet,0.5711267776094846,0.5713505262823334
tongue,0.77033607769193191,0.77069599608652217
