subject,RAW_T1,LE_T1,AIRM_T1,EA_T1,RAW_T2,LE_T2,AIRM_T2,EA_T2,RAW_status_T1,RAW_status_T2,LE_status_T1,LE_status_T2,AIRM_status_T1,AIRM_status_T2,EA_status_T1,EA_status_T2
1,0.4513888888888889,0.6631944444444444,0.6979166666666666,0.6701388888888888,0.4513888888888889,0.6631944444444444,0.6666666666666666,0.6493055555555556,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
2,0.2534722222222222,0.3472222222222222,0.34375,0.3368055555555556,0.2534722222222222,0.3402777777777778,0.3576388888888888,0.34375,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3,0.4375,0.7534722222222222,0.7291666666666665,0.7256944444444444,0.4375,0.7361111111111112,0.71875,0.7152777777777778,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4,,0.5,0.4930555555555555,0.4861111111111111,,0.5,0.4826388888888889,0.4375,FAILED,FAILED,PASS,PASS,PASS,PASS,PASS,PASS
5,0.2465277777777778,0.375,0.375,0.3472222222222222,0.2465277777777778,0.3576388888888889,0.375,0.3368055555555555,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
6,0.2708333333333333,0.3819444444444444,0.3784722222222222,0.4027777777777778,0.2708333333333333,0.3541666666666667,0.3680555555555556,0.392361111111111,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
7,0.3368055555555556,0.5034722222222222,0.5,0.5034722222222222,0.3368055555555556,0.5069444444444444,0.4965277777777778,0.4930555555555556,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
8,0.4861111111111111,0.7395833333333333,0.732638888888889,0.7291666666666667,0.4861111111111111,0.7326388888888888,0.732638888888889,0.7222222222222223,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
9,0.3125,0.5729166666666667,0.5972222222222222,0.6041666666666667,0.3125,0.5729166666666667,0.5902777777777778,0.6041666666666667,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
