subject,fit_n,normalized_d_le_le_airm,normalized_d_airm_le_airm,le_airm_coordinate_difference_mean_l2
1,288,0.1083472607001786,0.093062588872463,0.6816636789142743
2,288,0.0890463804514559,0.0773667844600013,0.5988914478057493
3,288,0.0986226578445782,0.0893574050636829,0.7014697235950185
4,288,0.0930695059078615,0.0796391332889154,0.6067631640895504
5,288,0.086688746738729,0.075061074441908,0.5671461022368631
6,288,0.1282526669115015,0.1088796185040537,0.8014654690452372
7,288,0.0961755641964142,0.081926827911331,0.6285919791345501
8,288,0.1150472800313083,0.0985254676315951,0.7500973174663784
9,288,0.1320332948913012,0.1120066945645335,0.8893678436612686
