condition,row_type,fold,balanced_accuracy,accuracy,evaluation_n,center_fit_n,center_evaluation_overlap_n
fold_safe,fold,0.0,0.6277777777777778,0.6277777777777778,540,2052,0
fold_safe,fold,1.0,0.5851851851851851,0.5851851851851851,540,2052,0
fold_safe,fold,2.0,0.6170634920634921,0.6170634920634921,504,2088,0
fold_safe,fold,3.0,0.5992063492063492,0.5992063492063492,504,2088,0
fold_safe,fold,4.0,0.6051587301587302,0.6051587301587301,504,2088,0
fold_safe,pooled_oof,,0.6068672839506173,0.6068672839506173,2592,2592,0
v1_all_sample,fold,0.0,0.6296296296296297,0.6296296296296297,540,2592,540
v1_all_sample,fold,1.0,0.5925925925925926,0.5925925925925926,540,2592,540
v1_all_sample,fold,2.0,0.6190476190476191,0.6190476190476191,504,2592,504
v1_all_sample,fold,3.0,0.6031746031746031,0.6031746031746031,504,2592,504
v1_all_sample,fold,4.0,0.6150793650793651,0.6150793650793651,504,2592,504
v1_all_sample,pooled_oof,,0.6118827160493827,0.6118827160493827,2592,2592,2592
