outer_fold,session,gamma
0,0,0.20108376344994378
0,1,0.20442178694784136
1,0,0.19238049387807277
1,1,0.1795095402774412
2,0,0.21317774727337999
2,1,0.21348465721017024
3,0,0.19862711559800461
3,1,0.19238733141058001
4,0,0.20932145622410378
4,1,0.20979251612109848
5,0,0.21280708699322537
5,1,0.20878390330542179
